"term","Group1","Group2","null.value","estimate","conf.low","conf.high","adj.p.value","Significant","Group1_CLD","Group2_CLD"
"site_number","40","3",0,-0.174877197360624,-3.10805466193708,2.75830026721583,1,"No","abc","abc"
"site_number","41","3",0,1.06964583135428,-1.86353163322217,4.00282329593074,0.99999999740191,"No","abc","abc"
"site_number","42","3",0,0.97396538029143,-1.95921208428502,3.90714284486788,0.999999999964626,"No","abc","abc"
"site_number","43","3",0,0.00548271448274473,-2.92769475009371,2.9386601790592,1,"No","abc","abc"
"site_number","44","3",0,0.718920967102977,-2.21425649747348,3.65209843167943,1,"No","abc","abc"
"site_number","45","3",0,1.50876266538597,-1.42441479919049,4.44194012996242,0.999456201386809,"No","abc","abc"
"site_number","46","3",0,0.966727332427134,-1.8159291384347,3.74938380328897,0.999999999705024,"No","abc","abc"
"site_number","47","3",0,0.70183227838896,-2.23134518618749,3.63500974296541,1,"No","abc","abc"
"site_number","48","3",0,0.789774780926662,-2.14340268364979,3.72295224550311,1,"No","abc","abc"
"site_number","49","3",0,1.68685084876188,-1.09580562209995,4.46950731962372,0.978294101218076,"No","ab","abc"
"site_number","50","3",0,1.71842332234627,-1.21475414223019,4.65160078692272,0.988647713557124,"No","abc","abc"
"site_number","51","3",0,1.76134407225816,-1.1718333923183,4.69452153683461,0.981753682003446,"No","ab","abc"
"site_number","52","3",0,1.60488683159169,-1.32829063298476,4.53806429616814,0.997424615006611,"No","abc","abc"
"site_number","53","3",0,0.829261971032924,-2.10391549354353,3.76243943560938,1,"No","abc","abc"
"site_number","54","3",0,1.69219405739371,-1.24098340718275,4.62537152197016,0.991691364985112,"No","abc","abc"
"site_number","55","3",0,1.90480728384749,-1.02837018072896,4.83798474842394,0.933225869975965,"No","ab","abc"
"site_number","56","3",0,1.60710070276496,-1.3260767618115,4.54027816734141,0.997339857888774,"No","abc","abc"
"site_number","57","3",0,1.12173764344495,-1.8114398211315,4.05491510802141,0.99999998013655,"No","abc","abc"
"site_number","58","3",0,0.729625331242209,-2.20355213333424,3.66280279581866,1,"No","abc","abc"
"site_number","59","3",0,2.3587439222142,-0.574433542362248,5.29192138679066,0.466669937584727,"No","ab","abc"
"site_number","60","3",0,-0.218944867425564,-3.15212233200202,2.71423259715089,1,"No","abc","abc"
"site_number","61","3",0,1.36646494607978,-1.41619152478206,4.14912141694161,0.999852052365546,"No","abc","abc"
"site_number","62","3",0,1.61847863850542,-1.31469882607103,4.55165610308187,0.996865396108493,"No","abc","abc"
