"metric","site_name","reporting_area","Ii","Z.Ii","p","p_fdr","cluster","sig_p05","sig_fdr05"
"ibr_bio","Kitsap St Boat Launch","10",0.19871122363266,0.884702592683665,0.376317056975646,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Lions Park","10",0.202677985133164,0.878333373154032,0.379762829873091,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Commencement Bay, Dick Gilmur Launch","11",0.247980375715999,0.864068066278366,0.387550500184288,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Miller Creek","11",-0.369802340555084,-0.844735742437137,0.398258398623969,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Everett Harbor","8.2",0.444926347774712,0.836670843160363,0.402777612520436,0.647946594054614,"NS",FALSE,FALSE
"ibr_bio","Salmon Beach","11",-0.0257241580335179,-0.798427788971798,0.42462228239815,0.653011752856018,"NS",FALSE,FALSE
"ibr_bio","Locust Beach","7",-0.293205820255225,-0.787282830240636,0.431116318404645,0.653011752856018,"NS",FALSE,FALSE
"ibr_bio","N Avenue Park","7",0.476937184935494,0.785091924412402,0.432399674188444,0.653011752856018,"NS",FALSE,FALSE
"ibr_bio","Chuckanut, Clark's Point","7",-0.216561170705491,-0.719429453753934,0.471876354464458,0.698377004607398,"NS",FALSE,FALSE
"ibr_bio","Discovery Bay","6",0.107349662501609,0.694450786815247,0.487399553452348,0.707207195205368,"NS",FALSE,FALSE
"ibr_bio","South of Skunk Island","9",0.117256601360765,0.674527448270392,0.499976041174905,0.711504366287365,"NS",FALSE,FALSE
"ibr_bio","Gig Harbor Boat Launch","11",-0.193906386249836,-0.648858530710983,0.516429821110103,0.714129620071282,"NS",FALSE,FALSE
"ibr_bio","Penn Cove Reference","8.1",0.185625138931221,0.634958812208389,0.525455278031551,0.714129620071282,"NS",FALSE,FALSE
"ibr_bio","Chambers Bay Park","13",0.138366416724936,0.626827957969664,0.530772014917845,0.714129620071282,"NS",FALSE,FALSE
"ibr_bio","Des Moines Marina","11",0.0554582818122386,0.601471963436473,0.5475256800574,0.717030872608036,"NS",FALSE,FALSE
"ibr_bio","Filucy Bay","13",0.0346232859369652,0.594305853876428,0.55230756403592,0.717030872608036,"NS",FALSE,FALSE
"ibr_bio","Cherry Point Aquatic Reserve, Conoco Phillips","7",-0.0635552263900047,-0.546035507548679,0.585041529811329,0.739319277884034,"NS",FALSE,FALSE
"ibr_bio","Purdy, Dexters","13",-0.561944989178035,-0.539622694927311,0.58945726209673,0.739319277884034,"NS",FALSE,FALSE
"ibr_bio","Kingston Marina","10",-0.0636354460047155,-0.48084855386522,0.630624138965094,0.777769771390283,"NS",FALSE,FALSE
"ibr_bio","Eagle Harbor Dr","10",0.127608998941333,0.463239080715814,0.643193006520688,0.78026692594313,"NS",FALSE,FALSE
"ibr_bio","Eld Inlet","13",-0.0864061745664572,-0.441715483327859,0.658695104022927,0.785640282715103,"NS",FALSE,FALSE
"ibr_bio","Point Defiance Ferry","11",0.13465382294713,0.427718723711017,0.668855916365561,0.785640282715103,"NS",FALSE,FALSE
"ibr_bio","Edmonds Marina","9",-0.0584778690763801,-0.356868814648395,0.721190016789622,0.833875956913,"NS",FALSE,FALSE
"ibr_bio","Meyer's Point, Henderson Inlet","13",-0.123638879965263,-0.339833133206362,0.733982194589919,0.835610498456216,"NS",FALSE,FALSE
"ibr_bio","Eastsound, Fishing Bay","7",0.0406023144211084,0.290078988495633,0.771755809793422,0.864205087898498,"NS",FALSE,FALSE
"ibr_bio","Maple Hollow Park","13",0.117304258541192,0.261244944952892,0.793903620119094,0.864205087898498,"NS",FALSE,FALSE
"ibr_bio","Three Tree Point","11",-0.0568803303489323,-0.260945669865048,0.794134405095917,0.864205087898498,"NS",FALSE,FALSE
"ibr_bio","Squaxin Island","13",0.0429081637672837,0.228461301052398,0.819287637891665,0.878656307304104,"NS",FALSE,FALSE
"ibr_bio","Arroyo Beach","11",-0.00767413077007419,-0.158206957504844,0.874293721505065,0.924253362733926,"NS",FALSE,FALSE
"ibr_bio","Donkey Creek Delta","11",0.0154947941483493,0.0887546573456516,0.929276893609049,0.968542114465769,"NS",FALSE,FALSE
"ibr_bio","Friday Harbor","7",0.00590996070464424,0.0658581801254641,0.947490735687177,0.973809922789598,"NS",FALSE,FALSE
"ibr_bio","West Bay Park","13",-0.0014734436201609,-0.0469158418474223,0.962580302028774,0.975766333563415,"NS",FALSE,FALSE
"ibr_bio","Aiston Preserve","7",-0.025950541151937,-0.0036261467769898,0.997106759811943,0.997106759811943,"NS",FALSE,FALSE
"ibr_combined","Tulalip Bay","8.2",0.0788491474478912,2.2306673791494,0.025703169972322,0.576074212666866,"NS",TRUE,FALSE
"ibr_combined","Tulalip Reservation","8.2",0.335310920047009,2.11209076004224,0.0346786653775457,0.576074212666866,"NS",TRUE,FALSE
"ibr_combined","Maristone Island Bridge","9",0.379117928658986,1.95195409073256,0.0509436554455468,0.576074212666866,"NS",FALSE,FALSE
"ibr_combined","Oak Bay County Park","9",0.589295714822353,1.82852200094571,0.0674712468441705,0.576074212666866,"NS",FALSE,FALSE
