metric,analyte,spearman_r,spearman_p,method,level,kendall_tau,kendall_p
ci1,z_PCB105,0.236974061,0.042064877,spearman,individual_analytes,NA,NA
shell,z_C1.fluorenes,0.23575909,0.043160843,spearman,individual_analytes,NA,NA
ibr_morph,z_C1.fluoranthenes_pyrenes,0.235430993,0.043460821,spearman,individual_analytes,NA,NA
ibr_bio,z_C3.benzanthracenes_chrysenes,-0.234491398,0.044329441,spearman,individual_analytes,NA,NA
shell,z_PCB052,0.233904912,0.044878858,spearman,individual_analytes,NA,NA
sod,z_BDE100,0.233807502,0.044970654,spearman,individual_analytes,NA,NA
shell,z_PCB070,0.233133316,0.045610239,spearman,individual_analytes,NA,NA
sod,z_C2.benzanthracenes_chrysenes,0.232118081,0.04658751,spearman,individual_analytes,NA,NA
ibr_bio,z_PCB044,-0.231211232,0.047474976,spearman,individual_analytes,NA,NA
shell,z_fluorene,0.230434167,0.04824646,spearman,individual_analytes,NA,NA
ibr_combined,z_ppDDD,-0.229371778,0.049317872,spearman,individual_analytes,NA,NA
