"","site_number","cluster_raw_p450","cluster_raw_sod","cluster_raw_shell","cluster_raw_ci","cluster_raw_ibr_bio","cluster_raw_ibr_morph","cluster_raw_ibr_combined","cluster_raw_chlordane_index","cluster_raw_ddt_index","cluster_raw_hch_index","cluster_raw_total_metal_index","cluster_raw_pah_lmw_index","cluster_raw_pah_hmw_index","cluster_raw_pah_add_index","cluster_raw_total_pah_index","cluster_raw_pbde_index","cluster_raw_pcb_index","cluster_raw_pesticide_index","cluster_raw_total_con_index","cluster_bh_p450","cluster_bh_sod","cluster_bh_shell","cluster_bh_ci","cluster_bh_ibr_bio","cluster_bh_ibr_morph","cluster_bh_ibr_combined","cluster_bh_chlordane_index","cluster_bh_ddt_index","cluster_bh_hch_index","cluster_bh_total_metal_index","cluster_bh_pah_lmw_index","cluster_bh_pah_hmw_index","cluster_bh_pah_add_index","cluster_bh_total_pah_index","cluster_bh_pbde_index","cluster_bh_pcb_index","cluster_bh_pesticide_index","cluster_bh_total_con_index"
"25",14,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","HH","HH","HH","NotSig","HH","NotSig","HH","HH","HH","HH","HH","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","LH","HH","HH","NotSig","NotSig","HH","NotSig","NotSig","NotSig","HH","HH","HH"
"26",66,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"27",63,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"28",59,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"29",61,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"30",58,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"31",29,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"32",2,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"33",36,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
"34",25,"NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig"
