,metric,site_number,site_name,reporting_area,latitude,longitude,local_i,e_i,var_i,z_i,p_value,lag_x,quad,sig,p_adj_bh,sig_bh
82,pah_add_index,22,Three Tree Point,11,47.44896,-122.372267,-0.28445714,-0.000444059,0.008546225,-3.07221192,0.002124788,14.14344078,LH,TRUE,0.067585136,FALSE
33,chlordane_index,19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,-0.441610535,-0.009538882,0.029080343,-2.533704793,0.011286377,4.148035035,LH,TRUE,0.075926535,FALSE
62,total_metal_index,69,Edmonds Ferry,9,47.81407,-122.3825,0.035379745,-0.000233074,0.00012044,3.24505325,0.001174287,12.75381309,HH,TRUE,0.08689721,FALSE
98,pbde_index,14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,0.363557248,0.008763708,0.019375578,2.548874017,0.010807133,4.823260169,HH,TRUE,0.088858652,FALSE
49,ddt_index,20,Miller Creek,11,47.4436,-122.360316,-0.315925923,-0.002166607,0.01778357,-2.352811635,0.01863207,7.073145104,LH,TRUE,0.091918211,FALSE
24,ibr_combined,67,Tulalip Bay,8.2,48.0617,-122.2939,0.132416604,-0.000509391,0.001941814,3.016519662,0.002556946,7.83433057,HH,TRUE,0.097734308,FALSE
25,ibr_combined,70,Tulalip Reservation,8.2,48.0697859,-122.2997764,0.570697116,-0.008048549,0.037051925,3.006646453,0.002641468,7.683798666,HH,TRUE,0.097734308,FALSE
118,total_con_index,20,Miller Creek,11,47.4436,-122.360316,-0.477791048,-0.004659042,0.035161889,-2.523168361,0.01163027,120.7780849,LH,TRUE,0.107580001,FALSE
36,chlordane_index,43,Point Defiance Ferry,11,47.3062,-122.5145,-0.403844756,0.002373793,0.029409144,-2.368746351,0.017848489,3.892698825,LH,TRUE,0.110065685,FALSE
37,chlordane_index,40,Salmon Beach,11,47.29464,-122.53053,-0.392159432,0.004568982,0.028929517,-2.332505719,0.019674102,3.813693804,LH,TRUE,0.111991044,FALSE
84,total_pah_index,14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,1.361862436,-0.028394947,0.248436856,2.789248434,0.005283052,65.99584418,HH,TRUE,0.116851695,FALSE
85,total_pah_index,20,Miller Creek,11,47.4436,-122.360316,-0.446801591,-0.009014639,0.027158286,-2.656511115,0.007895385,67.86971961,LH,TRUE,0.116851695,FALSE
87,total_pah_index,17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,0.728667558,-0.003390696,0.064393687,2.884855048,0.003915939,70.2890653,HH,TRUE,0.116851695,FALSE
89,total_pah_index,15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,1.48824563,-0.040399894,0.320456425,2.700363922,0.006926367,63.85524555,HH,TRUE,0.116851695,FALSE
86,total_pah_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,-0.130257363,-0.001543267,0.002575769,-2.536136649,0.011208299,64.13493657,LH,TRUE,0.123617031,FALSE
90,total_pah_index,22,Three Tree Point,11,47.44896,-122.372267,-0.352239107,-0.002260078,0.019268521,-2.521261159,0.011693503,65.06932592,LH,TRUE,0.123617031,FALSE
63,total_metal_index,68,Edmonds Marina,9,47.8111,-122.388,1.071009471,-0.00254836,0.135791005,2.913331758,0.003575945,12.41218753,HH,TRUE,0.132309954,FALSE
17,ibr_bio,67,Tulalip Bay,8.2,48.0617,-122.2939,0.087951363,-0.000351806,0.000824296,3.075634808,0.002100549,6.794869928,HH,TRUE,0.137110401,FALSE
18,ibr_bio,70,Tulalip Reservation,8.2,48.0697859,-122.2997764,0.650651802,-0.007903684,0.051491354,2.902185827,0.003705687,6.596512143,HH,TRUE,0.137110401,FALSE
35,chlordane_index,20,Miller Creek,11,47.4436,-122.360316,0.326144314,-0.001110308,0.021612862,2.226022997,0.026012641,3.782611497,HH,TRUE,0.137495388,FALSE
97,pbde_index,19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,0.456976542,0.001848833,0.037557524,2.348468822,0.018850777,4.243121291,HH,TRUE,0.139495752,FALSE
70,pah_lmw_index,20,Miller Creek,11,47.4436,-122.360316,-0.491044367,-0.004464945,0.028863534,-2.864039405,0.00418276,30.15494321,LH,TRUE,0.15476211,FALSE
65,total_metal_index,14,"Elliott Bay, Harbor Island, Pier 17",10,47.58766,-122.35065,0.212571535,0.002478038,0.00640779,2.624571931,0.008675797,12.24877043,HH,TRUE,0.160502236,FALSE
66,total_metal_index,17,"Seattle Aquarium, Pier 59",10,47.607,-122.342,-0.005869239,-4.05E-05,4.61E-06,-2.714850967,0.00663056,12.32521509,LH,TRUE,0.160502236,FALSE
88,total_pah_index,18,Shilshole Bay,10,47.671678,-122.406663,0.659934339,-0.019234038,0.081625139,2.377198733,0.017444687,58.39081365,HH,TRUE,0.161363351,FALSE
64,total_metal_index,19,Elliot Bay Myrtle Edwards,10,47.61862,-122.36108,0.03911889,0.000110559,0.000238243,2.527244151,0.011496155,12.15527668,HH,TRUE,0.170143097,FALSE
2,p450,71,"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,-1.366549706,-0.019250731,0.30361181,-2.445145175,0.014479385,1.75625148,LH,TRUE,0.236107271,FALSE
6,p450,22,Three Tree Point,11,47.44896,-122.372267,1.208450623,0.017685137,0.167531925,2.909225923,0.003623249,1.828968809,HH,TRUE,0.236107271,FALSE
7,p450,67,Tulalip Bay,8.2,48.0617,-122.2939,0.512904364,-0.005833965,0.046330623,2.409984598,0.015953194,1.723894041,HH,TRUE,0.236107271,FALSE
8,p450,70,Tulalip Reservation,8.2,48.0697859,-122.2997764,0.216129514,0.000230716,0.007382703,2.512710924,0.011980746,1.762296772,HH,TRUE,0.236107271,FALSE
9,p450,26,Williams Olson Park,10,47.66586,-122.56698,0.874575751,-0.02784833,0.133484859,2.469987028,0.013511795,0.244246078,LL,TRUE,0.236107271,FALSE
71,pah_lmw_index,22,Three Tree Point,11,47.44896,-122.372267,-0.340127026,-0.001248143,0.017560243,-2.557285703,0.010549253,28.26742318,LH,TRUE,0.260214919,FALSE
5,p450,24,Skiff Point,10,47.66142,-122.49884,-0.100905267,-0.000980361,0.001904306,-2.289841026,0.022030534,0.292125688,HL,TRUE,0.271709919,FALSE
75,pah_hmw_index,20,Miller Creek,11,47.4436,-122.360316,-0.300067511,0.002320397,0.019270605,-2.178295244,0.029384063,23.17185134,LH,TRUE,0.271802583,FALSE
1,p450,51,Maple Hollow Park,13,47.30008,-122.74566,0.891810993,-0.032816971,0.172622501,2.22545246,0.026050879,1.619745575,HH,TRUE,0.275395008,FALSE
3,p450,62,N Avenue Park,7,48.52108,-122.61531,-0.706585712,-0.023902125,0.11628624,-2.001959549,0.045289082,0.366031,HL,TRUE,0.278243297,FALSE
4,p450,50,Penrose Point State Park,13,47.2619,-122.7376,0.852073851,0.006665653,0.163471677,2.090957455,0.036531878,1.626899033,HH,TRUE,0.278243297,FALSE
99,pbde_index,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,0.521899183,-0.000226937,0.065601422,2.038537923,0.041496166,3.922359113,HH,TRUE,0.279156027,FALSE
61,total_metal_index,23,Brackenwood Lane,10,47.68234,-122.5064,-0.708205512,-0.001164313,0.105344071,-2.178410246,0.029375508,11.80472562,LH,TRUE,0.332220559,FALSE
68,total_metal_index,15,"Smith Cove, Terminal 91",10,47.63237,-122.37869,1.151434717,-0.074078811,0.324414172,2.151633023,0.031426269,11.63307377,HH,TRUE,0.332220559,FALSE
123,total_con_index,22,Three Tree Point,11,47.44896,-122.372267,-0.342214716,0.004473602,0.030067276,-1.999365361,0.045568837,106.3817316,LH,TRUE,0.374677104,FALSE
67,total_metal_index,24,Skiff Point,10,47.66142,-122.49884,-0.638722801,-0.014364501,0.096488455,-2.010000724,0.044431112,11.77862186,LH,TRUE,0.410987788,FALSE
13,shell,31,Eagle Harbor Dr,10,47.61889,-122.5275,-0.991713881,-0.017780467,0.159092173,-2.441770589,0.014615431,0.14385726,HL,TRUE,0.442112965,FALSE
14,shell,16,"Salmon Bay, Commodore Park",10,47.6663,-122.4018,0.524673754,-0.007229354,0.06444783,2.095213955,0.036151977,0.1759304,LL,TRUE,0.442112965,FALSE
15,shell,34,Suquamish Stormwater Outfall,10,47.7296079,-122.5506191,-1.753864895,-0.03534225,0.616290933,-2.189083714,0.028590756,0.164970893,HL,TRUE,0.442112965,FALSE
11,sod,67,Tulalip Bay,8.2,48.0617,-122.2939,0.013954178,-8.22E-06,2.79E-05,2.641412291,0.008256118,-4.879480468,LL,TRUE,0.455313584,FALSE
12,sod,70,Tulalip Reservation,8.2,48.0697859,-122.2997764,0.708048951,0.001476624,0.079671674,2.503252472,0.012305773,-4.590523831,LL,TRUE,0.455313584,FALSE
10,sod,55,Minter Bay,13,47.3539722,-122.69175,-0.349393772,3.56E-05,0.025306959,-2.196541513,0.028053207,-4.402541475,HL,TRUE,0.678170265,FALSE
22,ibr_combined,8,Chimacum Creek delta,9,48.04906,-122.7724,-0.522125508,0.00229326,0.064467375,-2.065419306,0.038883343,2.678513612,HL,TRUE,0.719341854,FALSE
23,ibr_combined,55,Minter Bay,13,47.3539722,-122.69175,-0.12276312,-3.95E-05,0.003452631,-2.088589889,0.036744656,6.758492787,LH,TRUE,0.719341854,FALSE
19,ibr_morph,56,Chambers Bay Park,13,47.1905742,-122.5834897,1.703646461,-0.063231066,0.629345706,2.227213296,0.025933022,1.286989734,HH,TRUE,0.731406369,FALSE
20,ibr_morph,8,Chimacum Creek delta,9,48.04906,-122.7724,-0.719473294,-0.008690993,0.11164925,-2.127201838,0.033403316,0.752824373,HL,TRUE,0.731406369,FALSE
21,ibr_morph,18,Shilshole Bay,10,47.671678,-122.406663,-0.171750499,0.003035958,0.006356121,-2.192359209,0.02835358,0.757812948,HL,TRUE,0.731406369,FALSE
16,ibr_bio,65,Mukilteo,8.2,47.94968,-122.30158,-0.010414306,-8.09E-05,2.77E-05,-1.961875512,0.049776979,5.692575463,LH,TRUE,0.760992547,FALSE
