latitude,longitude,site_name,analyte,dry_value,unit,qualifier,class
48.6793778,-122.6300583,Aiston Preserve,PCB194,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB195,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB198,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB199,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB205,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB206,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB208,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,PCB209,-1.095784314,ng/g,U,pcb
48.6793778,-122.6300583,Aiston Preserve,perylene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,phenanthrene,12.17538126,ng/g,D,lmw
48.6793778,-122.6300583,Aiston Preserve,ppDDD,-1.095784314,ng/g,U,ddt
48.6793778,-122.6300583,Aiston Preserve,ppDDE,1.82630719,ng/g,D,ddt
48.6793778,-122.6300583,Aiston Preserve,ppDDT,-0.974030501,ng/g,U,ddt
48.6793778,-122.6300583,Aiston Preserve,pyrene,5.844183007,ng/g,D,hmw
48.6793778,-122.6300583,Aiston Preserve,Retene,9.131535948,ng/g,D,lmw
48.6793778,-122.6300583,Aiston Preserve,trans_Nonachlor,-1.095784314,ng/g,U,chlordane
47.50159,-122.38577,Arroyo Beach,1_7_dimethylphenanthrene,9.004993342,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,2_3_5_trimethylnaphthalene,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,2_6_dimethylnaphthalene,-3.842130493,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,2_methylnaphthalene,-6.003328895,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,3_methylphenanthrene,7.203994674,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,9_methylphenanthrene,4.082263648,ng/g,D,lmw
47.50159,-122.38577,Arroyo Beach,acenaphthene,-3.902163782,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,acenaphthylene,-3.902163782,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,aldrin,-1.200665779,ng/g,U,pesticide
47.50159,-122.38577,Arroyo Beach,alpha_chlordane,1.320732357,ng/g,D,chlordane
47.50159,-122.38577,Arroyo Beach,alpha_hexachlorocyclohexane,-1.14063249,ng/g,U,hch
47.50159,-122.38577,Arroyo Beach,anthracene,-3.902163782,ng/g,U,lmw
47.50159,-122.38577,Arroyo Beach,BDE028,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE047,3.241797603,ng/g,D,pbde
47.50159,-122.38577,Arroyo Beach,BDE049,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE066,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE085,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE099,2.341298269,ng/g,D,pbde
47.50159,-122.38577,Arroyo Beach,BDE100,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE153,-1.200665779,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE154,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE155,-1.380765646,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,BDE183,-1.14063249,ng/g,U,pbde
47.50159,-122.38577,Arroyo Beach,benz_a_anthracene,13.20732357,ng/g,D,hmw
47.50159,-122.38577,Arroyo Beach,benzo_a_pyrene,-3.001664447,ng/g,U,hmw
47.50159,-122.38577,Arroyo Beach,benzo_b_fluoranthene,11.4063249,ng/g,D,hmw
