"","Aiston Preserve","Arroyo Beach","Blair Waterway","Blair Waterway #2","Brackenwood Ln","Broad Spit (Fisherman's Point)","Browns Point Lighthouse","Cap Sante","Chambers Bay Park","Cherry Point Aquatic Reserve, Conoco Phillips","Chimacum Creek delta","Chuckanut, Clark's Point","Comm Bay Skookum","Comm Bay, Dick Gilmur Launch","Comm Bay, Milwaukee Waterway","Des Moines Marina","Discovery Bay","Donkey Creek Delta","Eagle Harbor Dr","Eastsound, Fishing Bay","Edmonds Ferry","Edmonds Marina","Eld Inlet","Elliot Bay Myrtle Edwards","Elliott Bay, Harbor Island, Pier 17","Everett Harbor","Fidalgo Bay Aq Reserve, Weaverling Spit","Filucy Bay","Friday Harbor","Gig Harbor Boat Launch","Hood Canal Holly","Jamestown","Kingston Marina","Kitsap St Boat Launch","Kopachuck State Park","Lions Park","Locust Beach","Madrona Pont","Manchester, Stormwater Outfall","Maple Hollow Park","Maristone Island","Meyer's Point - Henderson Inlet","Miller Creek","Minter Bay","Mukilteo","N Avenue Park","North Camano","Oak Bay County Park","Penn Cove Reference","Pennrose Point State Park","Point Defiance Ferry","Port Angeles Yacht Club","Purdy - Dexters","Purdy, Burley Lagoon","Raft Island Park","Reach Island","Rich Passage","Rocky Point","S of Skunk Island","Salmon Bay, Commodore Park","Salmon Beach","Seattle Aquarium, Pier 59","Shilshole Bay","Silverdale, Dyes Inlet","Skiff Point","Smith Cove, Terminal 91","Squaxin Island","Suquamish Stormwater Outfall","Thea Foss Waterway","Three Tree Point","Tulalip Bay","Tulalip Reservation","West Bay Park"
"Edmonds Marina",0.534263736263736,0.451449192782526,0.47992017167382,0.481252344416027,0.299161392405063,0.323695481335953,0.765148148148148,0.524907421576129,0.754751389590702,0.413024202420242,0.405632896305125,0.367205438066465,0.852434625788999,0.552351738241309,0.596792380952381,0.780259350393701,0.413719912472648,0.472615923009624,0.323695481335953,0.398288723667906,0.810171808258187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eld Inlet",0.578152330925804,0.472615923009624,0.60717532874139,0.600792775665399,0.418976215098242,0.453949579831933,0.820941838649156,0.534263736263736,0.960448757763975,0.565872155287818,0.418976215098242,0.472615923009624,0.640295882352941,0.61110125,0.709281167108753,0.950154150197628,0.591384122919334,0.550762569832402,0.409806896551724,0.457168344007319,0.941274044265593,0.824331168831169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliot Bay Myrtle Edwards",0.475677419354839,0.413024202420242,0.299161392405063,0.299161392405063,0.383120567375887,0.954042386185243,0.323695481335953,0.666539540100953,0.299161392405063,0.299161392405063,0.793037481979817,0.835079816513762,0.299161392405063,0.389002717391304,0.299161392405063,0.299161392405063,0.448428571428571,0.75453036437247,0.524907421576129,0.783607142857143,0.299161392405063,0.323695481335953,0.323695481335953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elliott Bay, Harbor Island, Pier 17",0.389002717391304,0.299161392405063,0.299161392405063,0.323695481335953,0.299161392405063,0.299161392405063,0.884131962296487,0.421686734693878,1,0.300111111111111,0.299161392405063,0.299161392405063,0.329264761904762,0.299161392405063,0.709281167108753,0.990400912894637,0.299161392405063,0.299161392405063,0.299161392405063,0.299161392405063,0.888078689919183,0.840970695970696,0.95104135486412,0.299161392405063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Everett Harbor",0.803976588628763,0.753321501014199,0.531277777777778,0.66575014068655,0.299161392405063,0.323695481335953,0.606832599118943,0.819561296383278,0.959676677067083,0.400878345498783,0.299161392405063,0.323695481335953,0.992059022556391,0.440065365853659,0.744817016914403,0.649174063400576,0.470683646112601,0.362121451104101,0.299161392405063,0.421686734693878,0.774384577360356,0.534675675675676,0.630070524412297,0.299161392405063,0.323695481335953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fidalgo Bay Aq Reserve, Weaverling Spit",0.817558698727016,0.662279096045198,0.480177777777778,0.707679295624333,0.403037304452467,0.681950385887541,0.367205438066465,0.931493078175896,0.712664907651715,0.790123855421687,0.715807692307692,0.863119555555556,0.383120567375887,0.785935984481086,0.418976215098242,0.457168344007319,0.79120202020202,1,0.432697512437811,0.992059022556391,0.463167870036101,0.552351738241309,0.551109331476323,0.552351738241309,0.300111111111111,0.413024202420242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Filucy Bay",0.323695481335953,0.299161392405063,0.299161392405063,0.329390243902439,0.299161392405063,0.299161392405063,0.642493863237872,0.362121451104101,0.884131962296487,0.299161392405063,0.299161392405063,0.299161392405063,0.324538759689922,0.323695481335953,0.457168344007319,0.782879352623835,0.299161392405063,0.323695481335953,0.299161392405063,0.299161392405063,0.637691715976331,0.894257697174188,0.918295095594347,0.299161392405063,0.633727164179104,0.323695481335953,0.323695481335953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Friday Harbor",0.844139407744875,0.813877483443709,0.430751253761284,0.666539540100953,0.299161392405063,0.323695481335953,0.495824811399832,0.881193926247289,0.853457809694794,0.333941818181818,0.299161392405063,0.314605113636364,0.852563848920863,0.410625,0.61431891223733,0.546334279630944,0.515507618283881,0.337625,0.299161392405063,0.453949579831933,0.600981036662453,0.552351738241309,0.560823844608171,0.299161392405063,0.299161392405063,0.872667251975417,0.343675627240143,0.299161392405063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gig Harbor Boat Launch",0.884131962296487,0.774384577360356,0.841982199908718,0.866381100266193,0.389002717391304,0.482731914893617,0.389764556962025,0.941274044265593,0.701445043103448,0.927291632485644,0.633248803827751,0.61431891223733,0.508757477768795,0.959676677067083,0.39262656641604,0.445363724539282,0.923733085808581,0.680107913669065,0.443604470359572,0.768063247011952,0.418976215098242,0.418976215098242,0.58975322997416,0.495824811399832,0.299161392405063,0.435988188976378,0.808497616777884,0.299161392405063,0.457168344007319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hood Canal Holly",0.419599794238683,0.323695481335953,0.299161392405063,0.333941818181818,0.418976215098242,0.524907421576129,0.323695481335953,0.513647058823529,0.403037304452467,0.299161392405063,0.323695481335953,0.385857142857143,0.383120567375887,0.383120567375887,0.299161392405063,0.372825256975037,0.371038404726736,0.383120567375887,0.418976215098242,0.552351738241309,0.327867052023121,0.383120567375887,0.484853513971211,0.299161392405063,0.299161392405063,0.323695481335953,0.472615923009624,0.299161392405063,0.299161392405063,0.362121451104101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
