"metric","x","y","pred","pred_var"
"ibr_combined",-13670185.1803574,5963626.87278628,4.51639092754074,5.09928705060133
"ibr_combined",-13668185.1803574,5963626.87278628,4.51705475377884,5.1269506452928
"ibr_combined",-13666185.1803574,5963626.87278628,4.51458717937602,5.15501399665945
"ibr_combined",-13664185.1803574,5963626.87278628,4.50783904306684,5.1831951748768
"ibr_combined",-13662185.1803574,5963626.87278628,4.49655872044895,5.21152654703417
"ibr_combined",-13660185.1803574,5963626.87278628,4.48098105254056,5.2397896710224
"ibr_combined",-13658185.1803574,5963626.87278628,4.4616490189112,5.26752477717532
"ibr_combined",-13656185.1803574,5963626.87278628,4.4392704359308,5.29427717466117
"ibr_combined",-13654185.1803574,5963626.87278628,4.41462547926233,5.31982951709184
"ibr_combined",-13698185.1803574,5965626.87278628,4.9029767735203,5.71110748048456
"ibr_combined",-13696185.1803574,5965626.87278628,4.88574878280274,5.61631728026616
"ibr_combined",-13694185.1803574,5965626.87278628,4.8697636103845,5.5274537734496
"ibr_combined",-13692185.1803574,5965626.87278628,4.85518370907866,5.44513292058199
"ibr_combined",-13690185.1803574,5965626.87278628,4.84175246527167,5.36950669530192
"ibr_combined",-13688185.1803574,5965626.87278628,4.82866472304108,5.30042917821887
"ibr_combined",-13686185.1803574,5965626.87278628,4.81449520262185,5.23799356821127
"ibr_combined",-13684185.1803574,5965626.87278628,4.79710706996821,5.18323388687339
"ibr_combined",-13682185.1803574,5965626.87278628,4.77384381731378,5.1382731382333
"ibr_combined",-13680185.1803574,5965626.87278628,4.74308250309835,5.10451458674144
"ibr_combined",-13678185.1803574,5965626.87278628,4.7064639653336,5.0805195841959
"ibr_combined",-13676185.1803574,5965626.87278628,4.66883856502225,5.06433533355134
"ibr_combined",-13674185.1803574,5965626.87278628,4.63719977027274,5.05704935592772
"ibr_combined",-13672185.1803574,5965626.87278628,4.61712011843588,5.06091728931633
"ibr_combined",-13670185.1803574,5965626.87278628,4.606465645924,5.07371516409467
"ibr_combined",-13668185.1803574,5965626.87278628,4.59903705990943,5.09110259423805
"ibr_combined",-13666185.1803574,5965626.87278628,4.59044383574507,5.1109163626921
"ibr_combined",-13664185.1803574,5965626.87278628,4.57841263115845,5.13275598494127
"ibr_combined",-13662185.1803574,5965626.87278628,4.56201957266244,5.15646441240718
"ibr_combined",-13660185.1803574,5965626.87278628,4.54126570148139,5.18132333839883
"ibr_combined",-13658185.1803574,5965626.87278628,4.51670071489101,5.20620259947625
"ibr_combined",-13656185.1803574,5965626.87278628,4.48909491916583,5.23009319968386
"ibr_combined",-13654185.1803574,5965626.87278628,4.4592804715649,5.25246025882489
"ibr_combined",-13652185.1803574,5965626.87278628,4.4281299663525,5.27335779609362
"ibr_combined",-13650185.1803574,5965626.87278628,4.39657620839477,5.29342051977943
"ibr_combined",-13700185.1803574,5967626.87278628,4.98611615496606,5.81814327093359
"ibr_combined",-13698185.1803574,5967626.87278628,4.97127335275804,5.7206620359302
"ibr_combined",-13696185.1803574,5967626.87278628,4.95731400890805,5.62743396290504
"ibr_combined",-13694185.1803574,5967626.87278628,4.94452203725632,5.5389729604493
"ibr_combined",-13692185.1803574,5967626.87278628,4.93303067415177,5.4555406308103
"ibr_combined",-13690185.1803574,5967626.87278628,4.92272472508192,5.37710218507785
"ibr_combined",-13688185.1803574,5967626.87278628,4.91315605459289,5.30347328551641
"ibr_combined",-13686185.1803574,5967626.87278628,4.90339590476269,5.23478801932797
"ibr_combined",-13684185.1803574,5967626.87278628,4.89152094479211,5.17261540727917
"ibr_combined",-13682185.1803574,5967626.87278628,4.87343846443002,5.12198398276051
"ibr_combined",-13680185.1803574,5967626.87278628,4.84486249543536,5.08869707434479
"ibr_combined",-13678185.1803574,5967626.87278628,4.80911766150642,5.0689062068589
"ibr_combined",-13676185.1803574,5967626.87278628,4.77320869807681,5.05622217111027
"ibr_combined",-13674185.1803574,5967626.87278628,4.74223302451197,5.04903711129785
"ibr_combined",-13672185.1803574,5967626.87278628,4.71867358939316,5.04758594753155
"ibr_combined",-13670185.1803574,5967626.87278628,4.70154889137617,5.05117985906043
"ibr_combined",-13668185.1803574,5967626.87278628,4.68753201304636,5.05852692869011
"ibr_combined",-13666185.1803574,5967626.87278628,4.67307585638992,5.06928928447763
"ibr_combined",-13664185.1803574,5967626.87278628,4.65545860635695,5.08418876736724
"ibr_combined",-13662185.1803574,5967626.87278628,4.63326835574125,5.1034181960374
"ibr_combined",-13660185.1803574,5967626.87278628,4.60650118547642,5.12546629566928
"ibr_combined",-13658185.1803574,5967626.87278628,4.57592022816476,5.14803439115824
"ibr_combined",-13656185.1803574,5967626.87278628,4.54240842972003,5.16933170797717
"ibr_combined",-13654185.1803574,5967626.87278628,4.5068002927054,5.18846564628052
"ibr_combined",-13652185.1803574,5967626.87278628,4.46996119511186,5.20540448901863
"ibr_combined",-13650185.1803574,5967626.87278628,4.43290180600952,5.22094839424268
