"site_name","latitude","longitude","benz_a_anthracene","benzo_a_pyrene","benzo_b_fluoranthene","benzo_e_pyrene","benzo_ghi_perylene","benzo_k_fluoranthene","C1-benzanthracenes_chrysenes","C1-fluoranthenes_pyrenes","C2-benzanthracenes_chrysenes","C2-fluoranthenes_pyrenes","C3-benzanthracenes_chrysenes","C3-fluoranthenes_pyrenes","C4-benzanthracenes_chrysenes","C4-fluoranthenes_pyrenes","chrysene","dibenz_ah_anthracene","fluoranthene","indeno_123cd_pyrene","perylene","pyrene","z_benz_a_anthracene","z_benzo_a_pyrene","z_benzo_b_fluoranthene","z_benzo_e_pyrene","z_benzo_ghi_perylene","z_benzo_k_fluoranthene","z_C1-benzanthracenes_chrysenes","z_C1-fluoranthenes_pyrenes","z_C2-benzanthracenes_chrysenes","z_C2-fluoranthenes_pyrenes","z_C3-benzanthracenes_chrysenes","z_C3-fluoranthenes_pyrenes","z_C4-benzanthracenes_chrysenes","z_C4-fluoranthenes_pyrenes","z_chrysene","z_dibenz_ah_anthracene","z_fluoranthene","z_indeno_123cd_pyrene","z_perylene","z_pyrene","ai_z_benz_a_anthracene","ai_z_benzo_a_pyrene","ai_z_benzo_b_fluoranthene","ai_z_benzo_e_pyrene","ai_z_benzo_ghi_perylene","ai_z_benzo_k_fluoranthene","ai_z_C1-benzanthracenes_chrysenes","ai_z_C1-fluoranthenes_pyrenes","ai_z_C2-benzanthracenes_chrysenes","ai_z_C2-fluoranthenes_pyrenes","ai_z_C3-benzanthracenes_chrysenes","ai_z_C3-fluoranthenes_pyrenes","ai_z_C4-benzanthracenes_chrysenes","ai_z_C4-fluoranthenes_pyrenes","ai_z_chrysene","ai_z_dibenz_ah_anthracene","ai_z_fluoranthene","ai_z_indeno_123cd_pyrene","ai_z_perylene","ai_z_pyrene"
"Chimacum Creek delta",48.04887,-122.7711,0.56,0,0.51,0,0,0.64,0,0.94,0,0,0,0,0,0,1.3,0,2.8,0,0.51,1.9,-0.315693795338387,-0.30202774941334,-0.34208731837131,-0.362598028209658,-0.410055899093638,-0.358920425612585,-0.426388469241742,-0.313432808495238,-0.546982564549597,-0.431238719752306,-0.55083388742365,-0.483570098474977,-0.346068857529207,-0.395481463891053,-0.348700112674191,-0.283220911813946,-0.287970225371578,-0.35992791833364,-0.19590557508878,-0.282571674786014,0.0328880330494401,0,0.0399232339518005,0,0,0.0505373435887477,0,NA,0,0,0,0,0,0,0.0370582103550507,0,0.0183872173188618,0,0.193178351305641,0.0216087286963088
"Chuckanut, Clark's Point",48.691084,-122.504012,1.1,0,0.79,0,0,0.94,0.62,1.2,0,0.73,0,0,0,0,2.1,0,3.1,0,0.43,1.8,-0.283980334897856,-0.30202774941334,-0.320168680123263,-0.362598028209658,-0.410055899093638,-0.33523104580536,-0.34756576184037,-0.299773621605556,-0.546982564549597,-0.327602867296689,-0.55083388742365,-0.483570098474977,-0.346068857529207,-0.395481463891053,-0.306347872268419,-0.283220911813946,-0.283727021374918,-0.35992791833364,-0.226208061568096,-0.284870475711153,0.0646014934899716,0,0.0618418721998478,0,0,0.0742267233959732,0.0788227074013715,NA,0,0.103635852455618,0,0,0,0,0.0794104507608229,0,0.0226304213155223,0,0.162875864826325,0.0193099277711695
"Commencement Bay Skookum",47.28915,-122.4096,4.8,0,2.6,2.7,0,2.9,3.3,4.9,2.2,2.6,1.1,2.1,0,0,6.8,0,13,0,0,7.4,-0.0666844022497696,-0.30202774941334,-0.178480340019814,-0.124857698883268,-0.410055899093638,-0.18046043106482,-0.00684825242799016,-0.105392885098542,0.138875959279596,-0.0621247247049016,0.310823217476827,0.00449328191469851,-0.346068857529207,-0.395481463891053,-0.0575284598845073,-0.283220911813946,-0.143701289485124,-0.35992791833364,-0.389083926394421,-0.156137623903357,0.281897426138058,0,0.203530212303297,0.237740329326391,0,0.228997338136513,0.419540216813751,NA,0.685858523829193,0.369113995047405,0.861657104900476,0.488063380389675,0,0,0.328229863144735,0,0.162656153205316,0,0,0.148042779578966
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,3.1,0,1.7,2.8,0,2,2.5,4.5,1.9,2.5,0.99,1.9,0,0.82,5.2,0,14,0,0,8.8,-0.166523074006998,-0.30202774941334,-0.248933105817109,-0.116052501500809,-0.410055899093638,-0.251528570486496,-0.108554971655566,-0.126407018774976,0.0453497969392515,-0.0763214168221095,0.224657506986779,-0.0419889447890801,-0.346068857529207,0.0130874934296216,-0.142232940696052,-0.283220911813946,-0.129557276162922,-0.35992791833364,-0.389083926394421,-0.123954410951407,0.182058754380829,0,0.133077446506002,0.246545526708849,0,0.157929198714837,0.317833497586175,NA,0.592332361488848,0.354917302930197,0.775491394410429,0.441581153685896,0,0.408568957320675,0.24352538233319,0,0.176800166527518,0,0,0.180225992530916
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,1.9,0,1.1,1.3,0,1.1,2.2,2.9,2,1.7,1,1.6,0,0,3.5,0,6.9,0,0,4.5,-0.236997430541513,-0.30202774941334,-0.295901616348639,-0.248130462237692,-0.410055899093638,-0.322596709908173,-0.146694991365907,-0.210463553480712,0.0765251843860331,-0.189894953759773,0.232490753394965,-0.111712284844748,-0.346068857529207,-0.395481463891053,-0.232231451558318,-0.283220911813946,-0.229979770750552,-0.35992791833364,-0.389083926394421,-0.222802850732394,0.111584397846315,0,0.0861089359744716,0.114467565971966,0,0.0868610592931602,0.279693477875834,NA,0.62350774893563,0.241343765992534,0.783324640818615,0.371857813630229,0,0,0.153526871470924,0,0.0763776719398877,0,0,0.0813775527499287
"Des Moines Marina",47.402778,-122.331667,110,27,79,57,5.7,56,33,110,12,33,4.7,17,1.2,8.2,120,3,460,6.4,9.9,270,6.11156752060933,5.31883607341558,5.80217666766167,4.65636447979192,3.7478875748753,4.01255979481409,3.76901369889577,5.41607073838449,3.19406392906418,4.25366967892629,3.13079192442384,3.4674191713462,2.42741263647156,3.69020810931569,5.93531355753226,5.02717118469755,6.17867266553891,4.48894664804714,3.36084877542097,5.88051360551226,6.46014934899716,5.62086382282892,6.18418721998478,5.01896250800158,4.15794347396893,4.42201756401542,4.19540216813751,NA,3.74104649361378,4.6849083986786,3.68162581184749,3.95098926982118,2.77348149400077,4.08568957320675,6.3210718805615,5.31039209651149,6.48503010822935,4.84887456638078,3.74993270181539,6.18469400899458
"Discovery Bay",48.064974,-122.857218,2,0,1.5,0.55,0,1.5,0.68,1.8,0,0.83,0,0.44,0,0,2.4,0,6,0,0.44,3.1,-0.23112456749697,-0.30202774941334,-0.264589275994285,-0.314169442606134,-0.410055899093638,-0.291010870165206,-0.339937757898302,-0.268252421090905,-0.546982564549597,-0.313406175179481,-0.55083388742365,-0.381309199726664,-0.346068857529207,-0.395481463891053,-0.290465782116254,-0.283220911813946,-0.242709382740534,-0.35992791833364,-0.222420250758181,-0.254986063684343,0.117457260890858,0,0.117421276328825,0.048428585603524,0,0.118446899036127,0.0864507113434397,NA,0,0.117832544572825,0,0.102260898748313,0,0,0.0952925409129875,0,0.0636480599499064,0,0.166663675636239,0.0491943397979795
"Donkey Creek Delta",47.337909,-122.59023,2.5,0.71,3,1.9,0.81,3.9,2,2.9,1.3,1.5,0.74,1.2,0,0.65,5,0,8,0.69,0.75,5.3,-0.201760252274256,-0.154219848887099,-0.14716799966546,-0.195299277942939,0.180809752470368,-0.101495831707402,-0.172121671172801,-0.210463553480712,-0.141702527741437,-0.218288337994188,0.0288263467821251,-0.204676738252305,-0.346068857529207,-0.0716158269905183,-0.152821000797495,-0.283220911813946,-0.214421356096131,0.162841370854288,-0.104998115650831,-0.20441244333128,0.146821576113572,0.147807900526242,0.23484255265765,0.167298750266719,0.590865651564007,0.307961937493931,0.25426679806894,NA,0.405280036808159,0.212950381758118,0.579660234205775,0.278893360222671,0,0.323865636900535,0.232937322231747,0,0.0919360865943093,0.522769289187928,0.28408581074359,0.0997679601510425
"Eagle Harbor Dr",47.618875,-122.527234,4.9,2.2,9,6.3,1.7,11,4.1,5.7,2.5,3.2,1.2,2.7,0,1.3,8.6,0,16,1.9,1.2,11,-0.0608115392052267,0.155968562076423,0.322517105649839,0.192129406885253,0.830032505423413,0.459152823730268,0.0948584667995859,-0.0633646177456739,0.232402121619941,0.0230554279983457,0.389155681558688,0.143939962026034,-0.346068857529207,0.252249809910017,0.0377640810284802,-0.283220911813946,-0.101269249518519,1.07958171856065,0.0654533707953231,-0.0733807905983444,0.287770289182601,0.457996311489764,0.70452765797295,0.554727435094911,1.24008840451705,0.868610592931601,0.521246936041327,NA,0.779384686169537,0.454294147750652,0.939989568982338,0.627510060501011,0,0.64773127380107,0.423522404057722,0,0.205088193171921,1.4395096368943,0.454537297189744,0.230799612883979
"Eastsound, Fishing Bay",48.69395,-122.909933,3.7,0,3,2,0,3.9,1.8,3.5,0.94,1.7,0,1.2,0,0,6.4,0,14,0,0,7.2,-0.131285895739741,-0.30202774941334,-0.14716799966546,-0.18649408056048,-0.410055899093638,-0.101495831707402,-0.197548350979695,-0.178942352966061,-0.253933922549851,-0.189894953759773,-0.55083388742365,-0.204676738252305,-0.346068857529207,-0.395481463891053,-0.0787045800873933,-0.283220911813946,-0.129557276162922,-0.35992791833364,-0.389083926394421,-0.160735225753635,0.217295932648086,0,0.23484255265765,0.176103947649178,0,0.307961937493931,0.228840118262046,NA,0.293048641999746,0.241343765992534,0,0.278893360222671,0,0,0.307053742941849,0,0.176800166527518,0,0,0.143445177728688
