"site_name","latitude","longitude","acenaphthene","acenaphthylene","C1-dibenzothiophenes","C1-fluorenes","C1-naphthalenes","C1-phenanthrenes_anthracenes","C2-dibenzothiophenes","C2-fluorenes","C2-naphthalenes","C2-phenanthrenes_anthracenes","C3-dibenzothiophenes","C3-fluorenes","C3-naphthalenes","C3-phenanthrenes_anthracenes","C4-dibenzothiophenes","C4-naphthalenes","C4-phenanthrenes_anthracenes","dibenzothiophene","fluorene","naphthalene","phenanthrene","z_acenaphthene","z_acenaphthylene","z_C1-dibenzothiophenes","z_C1-fluorenes","z_C1-naphthalenes","z_C1-phenanthrenes_anthracenes","z_C2-dibenzothiophenes","z_C2-fluorenes","z_C2-naphthalenes","z_C2-phenanthrenes_anthracenes","z_C3-dibenzothiophenes","z_C3-fluorenes","z_C3-naphthalenes","z_C3-phenanthrenes_anthracenes","z_C4-dibenzothiophenes","z_C4-naphthalenes","z_C4-phenanthrenes_anthracenes","z_dibenzothiophene","z_fluorene","z_naphthalene","z_phenanthrene","ai_z_acenaphthene","ai_z_acenaphthylene","ai_z_C1-dibenzothiophenes","ai_z_C1-fluorenes","ai_z_C1-naphthalenes","ai_z_C1-phenanthrenes_anthracenes","ai_z_C2-dibenzothiophenes","ai_z_C2-fluorenes","ai_z_C2-naphthalenes","ai_z_C2-phenanthrenes_anthracenes","ai_z_C3-dibenzothiophenes","ai_z_C3-fluorenes","ai_z_C3-naphthalenes","ai_z_C3-phenanthrenes_anthracenes","ai_z_C4-dibenzothiophenes","ai_z_C4-naphthalenes","ai_z_C4-phenanthrenes_anthracenes","ai_z_dibenzothiophene","ai_z_fluorene","ai_z_naphthalene","ai_z_phenanthrene","pah_lmw_index"
"Lions Park",47.583016,-122.64217,0,0,0,0,0,2.9,0,0,1.4,4.2,0,0,0,3.9,0,0.86,2.8,0,0,0,3.4,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.271500947675911,-0.364053743114265,-0.460124335378337,0.0575836187928274,-0.234576958118036,-0.490803087785624,-0.531040675722351,-0.224736767440554,-0.332393176836471,-0.53363123868649,-0.338802892711809,-0.413676007883164,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.243322788741241,0,0,0,0,0.736191614095011,0.0725421128453627,0,0,1.24923139943118,0.146332566946574,0,0,0,0.280290661638406,0,0.0578188244138201,0.367190453556615,0,0,0,0.025551164032411,2.93514879695938
"Locust Beach",48.76652,-122.5395,0,0,0,0,0,2,0,0,1.6,2.7,0,0,0,1.4,0,0.85,2.8,0,0,0,2.9,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.315026215383128,-0.364053743114265,-0.460124335378337,0.236045247282996,-0.32237649828598,-0.490803087785624,-0.531040675722351,-0.224736767440554,-0.559901830763749,-0.53363123868649,-0.341115645688361,-0.413676007883164,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.257517879870359,0,0,0,0,0.736191614095011,0.0290168451381451,0,0,1.42769302792135,0.0585330267786296,0,0,0,0.0527820077111283,0,0.0555060714372673,0.367190453556615,0,0,0,0.0113560729032938,2.73826911954144
"Madrona Pont",47.579985,-122.67853,0,0,0,0,0,2.8,0,0,1.3,4,0,0,0,3.6,0,0.81,2.5,0,0,0,3.2,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.276337088532268,-0.364053743114265,-0.460124335378337,-0.0316471954522566,-0.246283563473762,-0.490803087785624,-0.531040675722351,-0.224736767440554,-0.359694215307745,-0.53363123868649,-0.350366657594573,-0.470458036783672,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.249000825192888,0,0,0,0,0.736191614095011,0.0677059719890051,0,0,1.16000058518609,0.134625961590848,0,0,0,0.252989623167132,0,0.0462550595310561,0.310408424656108,0,0,0,0.0198731275807642,2.72805036779602
"Manchester, Stormwater Outfall",47.556111,-122.542778,0,0,0,0,0.6,3.4,0,0.62,0,4.3,0,0.75,0,3.3,0,0.97,2.2,0,0,0,4.7,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,0.164736210458362,-0.247320243394123,-0.364053743114265,-0.198945360828866,-1.19164778063835,-0.228723655440173,-0.490803087785624,-0.300998026439469,-0.224736767440554,-0.386995253779018,-0.53363123868649,-0.313362609969728,-0.527240065684179,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.206415551805537,0,0,0,0,0.256066648380874,0.0967228171271502,0,0.261178974549471,0,0.152185869624437,0,0.230042649282882,0,0.225688584695859,0,0.0832591071559009,0.2536263957556,0,0,0,0.0624584009681158,1.62122944754029
"Maple Hollow Park",47.29954,-122.74554,0,0,0,0,0.55,2,0,0,0,2.7,0,0,1.3,1.5,0,0.52,1.9,0,0,0,2.6,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,0.124725796648851,-0.315026215383128,-0.364053743114265,-0.460124335378337,-1.19164778063835,-0.32237649828598,-0.490803087785624,-0.531040675722351,-0.0244457726923455,-0.550801484606658,-0.53363123868649,-0.417436493914604,-0.584022094584687,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.266034934547829,0,0,0,0,0.296077062190385,0.0290168451381451,0,0,0,0.0585330267786296,0,0,0.200290994748209,0.0618823538682194,0,0.0208147767889752,0.196844366855093,0,0,0,0.00283901822582344,0.866298444593479
"Maristone Island",48.018181,-122.699838,0,0,0,0,0,1.5,0,0,1.4,1.9,0,0,1.5,1.1,0,1,0.84,0,0,0,2.5,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.339206919664916,-0.364053743114265,-0.460124335378337,0.0575836187928274,-0.369202919708884,-0.490803087785624,-0.531040675722351,0.00636822649968662,-0.587202869235022,-0.53363123868649,-0.306424351040069,-0.784651930033147,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.268873952773652,0,0,0,0,0.736191614095011,0.00483614085635753,0,0,1.24923139943118,0.0117066053557259,0,0,0.231104993940241,0.025480969239855,0,0.0901973660855593,0.00378546859336726,0,0,0,0,2.35253455759729
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,0,0,0,0,0,2.1,0,0,1.6,2.6,0,0,1.7,1.4,0,1,1.2,0,0,0,2.6,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.310190074526771,-0.364053743114265,-0.460124335378337,0.236045247282996,-0.328229800963843,-0.490803087785624,-0.531040675722351,0.0371822256917187,-0.559901830763749,-0.53363123868649,-0.306424351040069,-0.716513495352538,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.266034934547829,0,0,0,0,0.736191614095011,0.0338529859945025,0,0,1.42769302792135,0.0526797241007666,0,0,0.261918993132273,0.0527820077111283,0,0.0901973660855593,0.0643529660872418,0,0,0,0.00283901822582344,2.72250770335365
"Miller Creek",47.443611,-122.361944,0,0,0,0,0.58,3,0,0.6,0,4.3,0,0.76,1.8,3.2,0,0.62,3,0,0,0,4.4,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,0.148732044934557,-0.266664806819553,-0.364053743114265,-0.207370489040139,-1.19164778063835,-0.228723655440173,-0.490803087785624,-0.297930791115697,0.0525892252877348,-0.396095599936109,-0.53363123868649,-0.394308964149076,-0.375821321949493,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.214932606483007,0,0,0,0,0.272070813904678,0.0773782537017202,0,0.252753846338198,0,0.152185869624437,0,0.233109884606654,0.277325992728289,0.216588238538768,0,0.00231275297655287,0.405045139490287,0,0,0,0.0539413462906455,1.94271213820023
"Minter Bay",47.35399,-122.69176,0,0,0,0,0,1.9,0,0,0,2.4,0,0,1.2,1.3,0,0,1.5,0,0,0,2.8,-0.229236898498506,-0.160755401802192,-0.234492817502003,-0.283694536416717,-0.315388755255776,-0.319862356239486,-0.364053743114265,-0.460124335378337,-1.19164778063835,-0.339936406319569,-0.490803087785624,-0.531040675722351,-0.0398527722883616,-0.56900217692084,-0.53363123868649,-0.53769964869535,-0.65973146645203,-0.185435908324517,-0.216105621731545,-0.375148115141266,-0.260356898096182,0,0,0,0,0.736191614095011,0.0241807042817876,0,0,0,0.0409731187450407,0,0,0.184883995152193,0.0436816615540372,0,0.141077931569721,0.121134994987749,0,0,0,0.00851705467747033,1.30064107506301
"Mukilteo",47.949831,-122.301703,0,0,0,0.68,0,4.7,0,0.73,1.7,5.2,0,0.71,0,4.1,0,1.6,3.3,0,0.76,0,6.6,-0.229236898498506,-0.160755401802192,-0.234492817502003,0.0344325822563825,-0.315388755255776,-0.184450412261475,-0.364053743114265,-0.152607155666863,0.32527606152808,-0.176043931339406,-0.490803087785624,-0.313266967734556,-0.224736767440554,-0.314192484522289,-0.53363123868649,-0.167659172446901,-0.319039293048985,-0.185435908324517,-0.108279812569272,-0.375148115141266,-0.152474205514891,0,0,0,0.3181271186731,0.736191614095011,0.159592648259798,0,0.307517179711474,1.51692384216643,0.204865593725204,0,0.217773707987795,0,0.298491353952588,0,0.228962544678727,0.461827168390795,0,0.107825809162273,0,0.116399747258761,4.67449832806196
