latitude,longitude,site_name,,,,,,,,,,,,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,pbde_index,pcb_index
47.346817,-122.822363,Reach Island,,,,,,,,,,,,0,0.761506611,0,4.30849316,2.666187494,6.974680654,5.063277824,0.233350879,4.395009033,0,20.30843057
47.578117,-122.524833,Rich Passage,,,,,,,,,,,,0,1.447498965,0,7.189033793,2.077246299,9.266280093,3.838967115,0.592981645,2.256234126,1.71594097,34.74117152
47.60253,-122.66991,Rocky Point,,,,,,,,,,,,0,1.248870842,1.509485334,5.901846332,3.147336098,9.04918243,7.398534306,1.670903411,4.077737718,0.865306945,30.30853381
47.666244,-122.401894,"Salmon Bay, Commodore Park",,,,,,,,,,,,10.04091987,10.03024255,12.30817693,11.74311206,3.969735822,15.71284788,9.941712506,2.401121273,4.729701586,3.330286997,36.68315434
47.294692,-122.530504,Salmon Beach,,,,,,,,,,,,0,0.791966875,0,5.582209774,0.726423716,6.308633489,3.841817117,9.91290398,3.938510529,0.837393818,16.05636475
47.607334,-122.344055,"Seattle Aquarium, Pier 59",,,,,,,,,,,,0,4.418864023,6.141993028,7.303417606,2.45312256,9.756540166,21.80245396,2.322251187,9.015358863,2.612343684,58.38632435
47.6707,-122.40605,Shilshole Bay,,,,,,,,,,,,5.817550869,11.62086054,0,12.88523118,3.262342163,16.14757334,14.58797324,38.72168671,5.294787621,3.369180761,45.5391262
47.6428,-122.6967,"Silverdale, Dyes Inlet",,,,,,,,,,,,0,2.061445753,1.509485334,7.546586799,3.084628996,10.63121579,3.065371547,20.62844284,2.427782468,1.938322917,20.26037771
47.6614139,-122.498892,Skiff Point,,,,,,,,,,,,0,1.066109255,0,6.498028842,1.614313604,8.112342446,4.919072941,2.216475572,4.690343948,0,13.9877027
47.6325,-122.3786,"Smith Cove, Terminal 91",,,,,,,,,,,,9.029739472,19.12217326,12.2709428,7.615970275,5.371177844,12.98714812,46.48325147,1.780836768,18.42985629,13.6681864,84.56391717
48.02655,-122.75089,South of Skunk Island,,,,,,,,,,,,0,0,0,7.102102714,3.018217272,10.12031999,3.643149467,70.12523609,3.425464716,0,19.1104512
47.176735,-122.905337,Squaxin Island,,,,,,,,,,,,0,0.609205289,0,5.734942956,0.391044689,6.125987645,4.71299683,1.003929189,3.28460613,0,19.188878
47.729875,-122.550882,Suquamish Stormwater Outfall,,,,,,,,,,,,0,1.410655163,0,6.752501671,0.640375598,7.392877269,2.977896268,0.766483077,1.606945946,1.55441406,11.92734923
47.25934,-122.43479,Thea Foss Waterway,,,,,,,,,,,,7.597104399,4.418155153,2.390018445,7.708197438,3.028967405,10.73716484,14.51681317,1.844797009,6.248778264,3.297345087,22.87715884
47.4485721,-122.3723967,Three Tree Point,,,,,,,,,,,,2.408924023,1.462092693,0,6.764608877,0.441505443,7.20611432,3.668658516,9.807046584,3.608835755,2.351067973,14.5272613
48.0616613,-122.293939,Tulalip Bay,,,,,,,,,,,,0,1.005188726,0,7.744838811,2.595981258,10.34082007,3.267227091,1.444326295,4.101211224,0.753654436,15.67748513
48.069978,-122.300216,Tulalip Reservation,,,,,,,,,,,,0,0.670125818,0,8.329601337,2.064114147,10.39371548,2.700374086,1.274629161,3.052282717,0.502436291,12.09977211
47.052373,-122.9101963,West Bay Park,,,,,,,,,,,,0,1.340251635,0,8.64876321,1.346707223,9.995470432,3.345995899,1.03200982,4.737316802,3.776897033,16.97944239
47.6609,-122.5668,Williams Olson Park,,,,,,,,,,,,0,1.09656952,0,7.245365732,3.174748306,10.42011404,6.223350794,3.159380508,3.224588701,0.669915054,23.3693068
,,,,,,,,,,,,,,,,,,,,,1.332190854,,,
