latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9192957.75,5.5,0.03425,0.65325,0.0465,0.85625,14,10,4,1,2,2,5,5,5,6,5,-1.369357496,-1.198187809,-1.369357496,-1.369357496,-1.141131247,-1.369357496,2.681658429,-1.369357496,-1.369357496,-1.369357496,1.71169687,1.027018122,-1.369357496,-1.369357496,-1.369357496,-1.141131247
47.9726,-122.22977,Everett Harbor,5813892.75,2.31775,0.0345,0.65825,0.04925,0.77625,66,8.2,4,1,2,2,3,3,3,4,3,-1.464631937,-1.2649094,-1.464631937,-1.464631937,-1.198335221,-1.464631937,1.86407701,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-0.798890147,-1.464631937,-1.464631937,-1.464631937,-1.198335221
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999,11.87725,0.03725,0.712,0.05525,0.7625,63,7,2,4,4,4,3,4,5,5,1,-2.035089451,-1.78070327,-2.035089451,-2.035089451,-1.653510179,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-1.081141271,-2.035089451,-2.035089451,-2.035089451,-1.653510179
47.19483,-122.748665,Filucy Bay,10877772,5.009,0.037,0.6525,0.04575,0.85625,59,13,1,3,1,1,1,1,1,1,4,-1.126875664,-0.948947928,-1.126875664,-1.126875664,-0.889638682,-1.126875664,1.364112646,-1.126875664,-1.126875664,-1.126875664,-1.067566419,-0.593092455,-1.126875664,-1.126875664,-1.126875664,-0.889638682
48.5069444,-123.0194444,Friday Harbor,5444136.6,6.7096,0.0328,0.6726,0.0458,0.75,61,7,2,4,4,4,5,4,3,5,1,-1.378736591,-1.190727056,-1.378736591,-1.378736591,-1.128057211,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-0.752038141,-1.378736591,-1.378736591,-1.378736591,-1.128057211
47.33785,-122.58277,Gig Harbor Boat Launch,3843185.75,14.972,0.03025,0.62675,0.05225,0.965,58,11,1,2,1,1,4,4,3,5,4,-1.231314168,-1.108182752,-1.231314168,-1.231314168,-0.985051335,-1.231314168,1.723839836,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-0.677222793,-1.231314168,-1.231314168,-1.231314168,-0.985051335
47.5706,-122.9717,Hood Canal Holly,788015,1.640416667,0.034333333,0.689833333,0.054833333,0.676666667,29,12,3,3,1,1,1,1,2,1,1,-1.57078341,-1.365898618,-1.57078341,-1.57078341,-1.297603687,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-1.57078341,-0.887834101,-1.57078341,-1.57078341,-1.57078341,-1.297603687
48.024789,-122.998135,Jamestown,3175079,7.752666667,0.033833333,0.7035,0.054833333,0.573333333,2,6,3,5,3,3,1,1,1,1,2,-1.392056221,-1.193191046,-1.392056221,-1.392056221,-1.126902655,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-1.392056221,-0.729172306,-1.392056221,-1.392056221,-1.392056221,-1.126902655
47.794695,-122.499858,Kingston Marina,5460804.75,4.371,0.03125,0.63675,0.04825,0.81125,36,10,4,1,2,2,3,2,2,3,3,-1.235049608,-1.105044386,-1.235049608,-1.235049608,-0.975039164,-1.235049608,1.690067885,-1.235049608,-1.235049608,-1.235049608,-1.235049608,-0.65002611,-1.235049608,-1.235049608,-1.235049608,-0.975039164
47.54167,-122.64034,Kitsap St Boat Launch,2852984.25,10.748,0.033,0.71075,0.05175,0.8325,25,10,4,1,2,2,4,4,5,5,5,-1.163306549,-1.011570912,-1.163306549,-1.163306549,-0.960992366,-1.163306549,4.60264765,-1.163306549,-1.163306549,-1.163306549,2.630084371,1.315042186,-1.163306549,-1.163306549,-1.163306549,-0.960992366
47.30973,-122.68868,Kopachuck State Park,7013734.75,4.72575,0.4115,0.6895,0.63125,0.7775,52,13,1,3,1,1,1,1,1,1,2,-1.079580553,-0.944632984,-1.079580553,-1.079580553,-0.877159199,-1.079580553,1.48442326,-1.079580553,-1.079580553,-1.079580553,-1.079580553,-0.587021926,-1.079580553,-1.079580553,-1.079580553,-0.877159199
47.5833538,-122.6414587,Lions Park,6373166.5,10.424,0.0275,0.678,0.05375,0.75,37,10,4,1,2,2,2,2,2,3,5,-1.579597031,-1.382147402,-1.579597031,-1.513780488,-1.250514316,-1.579597031,3.554093319,-1.579597031,-1.579597031,-1.579597031,3.027560976,-0.855615058,-1.579597031,-1.579597031,-1.579597031,-1.250514316
48.77636877,-122.5378679,Locust Beach,2368800.25,6.15025,0.03275,0.731,0.047,0.6875,76,7,2,4,4,4,1,1,2,1,1,-1.472050301,-1.28004374,-1.472050301,-1.408048114,-1.152039366,-1.408048114,-1.472050301,-1.472050301,-1.472050301,-1.472050301,-1.408048114,-0.768026244,-1.472050301,-1.472050301,-1.472050301,-1.152039366
47.57995505,-122.6786,Madrona Pont,7017559.75,4.52025,0.032,0.66025,0.0455,0.805,28,10,4,1,2,2,2,2,2,3,4,-1.265565749,-1.084770642,-1.265565749,-1.205300714,-1.024505607,-1.205300714,1.627155963,-1.265565749,-1.265565749,-1.265565749,-1.205300714,-0.662915392,-1.265565749,-1.265565749,-1.265565749,-1.024505607
47.55622,-122.54281,"Manchester, Stormwater Outfall",7715455.75,3.407625,0.03425,0.73075,0.062,0.60625,33,10,4,1,2,2,3,3,3,4,3,-1.368227249,-1.231404524,-1.368227249,-1.368227249,-1.094581799,-1.368227249,1.983929511,-1.368227249,-1.368227249,-1.368227249,-1.368227249,-0.752524987,-1.368227249,-1.368227249,-1.368227249,-1.094581799
