"latitude","longitude","site_name","qualifier","site","flagged","PCB101","PCB105","PCB011","PCB110","PCB118","PCB128","PCB138","PCB149","PCB151","PCB153","PCB156","PCB158","PCB017","PCB170","PCB171","PCB177","PCB018","PCB180","PCB183","PCB187","PCB191","PCB194","PCB195","PCB198","PCB199","PCB205","PCB206","PCB208","PCB209","PCB028","PCB031","PCB033","PCB044","PCB049","PCB052","PCB066","PCB070","PCB074","PCB082","PCB087","PCB095","PCB099"
47.68203,-122.50668,"Brackenwood Ln","D,LOQ","Brackenwood Ln",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.80934,-122.81556,"Broad Spit","D,LOQ","Broad Spit",FALSE,0.26,0.22,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA
47.80934,-122.81556,"Broad Spit","U","Broad Spit",TRUE,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0
47.80934,-122.81556,"Broad Spit","D,B,LOQ","Broad Spit",TRUE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.80934,-122.81556,"Broad Spit","D,B","Broad Spit",TRUE,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.304906,-122.44427,"Browns Point Lighthouse","D","Browns Point Lighthouse",FALSE,0.57,0.3,NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,0.28,NA,NA,NA,0.3,0.3
47.304906,-122.44427,"Browns Point Lighthouse","U","Browns Point Lighthouse",TRUE,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,NA
47.304906,-122.44427,"Browns Point Lighthouse","D,B","Browns Point Lighthouse",TRUE,NA,NA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.304906,-122.44427,"Browns Point Lighthouse","D,LOQ","Browns Point Lighthouse",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.37,0.25,0.2,NA,NA,0.21,NA,NA,NA,NA,NA,NA
48.52093,-122.600725,"Cap Sante","D","Cap Sante",FALSE,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.52093,-122.600725,"Cap Sante","D,B,LOQ","Cap Sante",TRUE,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
48.52093,-122.600725,"Cap Sante","U","Cap Sante",TRUE,NA,NA,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0
48.52093,-122.600725,"Cap Sante","U,B","Cap Sante",TRUE,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.52093,-122.600725,"Cap Sante","D,B","Cap Sante",TRUE,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.52093,-122.600725,"Cap Sante","D,LOQ","Cap Sante",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.2009,-122.58342,"Chambers Bay Park","D","Chambers Bay Park",FALSE,0.45,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.24
47.2009,-122.58342,"Chambers Bay Park","D,LOQ","Chambers Bay Park",FALSE,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.3,0.21,0.15,NA,0.24,0.16,0.24,NA,NA,0.17,NA,NA
