sample_id,site_number,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,site_name,reporting_area,km4,km5,hc4,hc5,p16,p42,phmw,plmw,pcb,p450_outlier,sod_outlier,ci1_outlier,ci2_outlier,ci3_outlier,shell_outlier
36,75,48.8208,-122.7101,3836041,1.463,0.975,0.034,0.627,0.051,"Cherry Point Aquatic Reserve, Conoco Phillips",7,2,4,4,4,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,45,47.29,-122.41,6405636,7.884,0.695,0.032,0.661,0.055,Comm Bay Skookum,11,1,2,1,1,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,45,47.29,-122.41,6222160,4.124,0.8,0.033,0.658,0.054,Comm Bay Skookum,11,1,2,1,1,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,45,47.29,-122.41,NA,17.324,0.66,0.033,0.686,0.05,Comm Bay Skookum,11,1,2,1,1,5,5,5,5,5,NA,FALSE,FALSE,FALSE,FALSE,FALSE
40,45,47.29,-122.41,4652774,6.966,0.865,0.032,0.664,0.053,Comm Bay Skookum,11,1,2,1,1,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,3,48.21423,-122.718972,1820616,3.648,0.545,0.036,0.727,0.06,Penn Cove Reference,8.1,3,5,3,3,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,3,48.21423,-122.718972,3013775,9.556,0.645,0.033,0.686,0.049,Penn Cove Reference,8.1,3,5,3,3,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,3,48.21423,-122.718972,956165,20.28,0.6,0.032,0.71,0.059,Penn Cove Reference,8.1,3,5,3,3,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,3,48.21423,-122.718972,3372681,16.888,0.635,0.033,0.692,0.062,Penn Cove Reference,8.1,3,5,3,3,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,35,47.6427936,-122.6967068,958897,11.048,0.805,0.033,0.69,0.057,"Silverdale, Dyes Inlet",10,4,1,2,2,3,3,4,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,35,47.6427936,-122.6967068,1900324,11.66,0.65,0.034,0.699,0.068,"Silverdale, Dyes Inlet",10,4,1,2,2,3,3,4,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,35,47.6427936,-122.6967068,1494268,16.963,0.635,0.034,0.698,0.048,"Silverdale, Dyes Inlet",10,4,1,2,2,3,3,4,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,35,47.6427936,-122.6967068,1326495,73.345,0.66,0.037,0.705,0.062,"Silverdale, Dyes Inlet",10,4,1,2,2,3,3,4,3,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
49,60,48.69368,-122.90985,5588536,0.0025,0.355,0.032,0.688,0.047,"Eastsound, Fishing Bay",7,2,4,4,4,4,4,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
50,60,48.69368,-122.90985,420155,9.767,0.405,0.033,0.703,0.048,"Eastsound, Fishing Bay",7,2,4,4,4,4,4,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,60,48.69368,-122.90985,5289198,12.773,0.58,0.03,0.673,0.051,"Eastsound, Fishing Bay",7,2,4,4,4,4,4,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,60,48.69368,-122.90985,776433,8.385,0.52,0.034,0.675,0.052,"Eastsound, Fishing Bay",7,2,4,4,4,4,4,5,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,25,47.54167,-122.64034,3525403,1.604,0.805,0.049,0.739,0.07,Kitsap St Boat Launch,10,4,1,2,2,4,4,5,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
54,25,47.54167,-122.64034,990428,21.209,0.8,0.027,0.695,0.034,Kitsap St Boat Launch,10,4,1,2,2,4,4,5,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
55,25,47.54167,-122.64034,1035758,10.072,0.855,0.033,0.696,0.052,Kitsap St Boat Launch,10,4,1,2,2,4,4,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,25,47.54167,-122.64034,5860348,10.107,0.87,0.023,0.713,0.051,Kitsap St Boat Launch,10,4,1,2,2,4,4,5,5,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,31,47.61889,-122.5275,2871510,11.306,0.815,0.043,0.703,0.055,Eagle Harbor Dr,10,4,1,2,2,5,5,6,4,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
58,31,47.61889,-122.5275,939065,1.798,0.91,0.05,0.725,0.064,Eagle Harbor Dr,10,4,1,2,2,5,5,6,4,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
59,31,47.61889,-122.5275,2018231,12.545,1.02,0.046,0.705,0.061,Eagle Harbor Dr,10,4,1,2,2,5,5,6,4,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,31,47.61889,-122.5275,1556797,24.79,0.825,0.038,0.674,0.052,Eagle Harbor Dr,10,4,1,2,2,5,5,6,4,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
61,63,48.482448,-122.583879,NA,5.992,0.73,0.039,0.737,0.054,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,2,4,4,4,3,4,5,5,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE
62,63,48.482448,-122.583879,1670358,13.528,0.755,0.035,0.696,0.048,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,2,4,4,4,3,4,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,63,48.482448,-122.583879,4330874,10.958,0.74,0.039,0.724,0.062,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,2,4,4,4,3,4,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,63,48.482448,-122.583879,3613765,17.031,0.825,0.036,0.691,0.057,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,2,4,4,4,3,4,5,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,71,47.11795,-122.83359,3127319,17.331,0.8,0.036,0.689,0.053,Meyer's Point - Henderson Inlet,13,1,3,1,1,1,2,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,71,47.11795,-122.83359,2281892,8.102,0.965,0.035,0.675,0.06,Meyer's Point - Henderson Inlet,13,1,3,1,1,1,2,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,71,47.11795,-122.83359,935926,6.983,0.535,0.036,0.729,0.054,Meyer's Point - Henderson Inlet,13,1,3,1,1,1,2,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,71,47.11795,-122.83359,2665542,28.431,0.855,0.037,0.717,0.058,Meyer's Point - Henderson Inlet,13,1,3,1,1,1,2,1,2,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
69,19,47.61862,-122.36108,1806125,13.395,0.89,0.033,0.675,0.061,Elliot Bay Myrtle Edwards,10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
