latitude,longitude,site_name,analyte,dry_value,units,qualifier,class
47.8142069,-122.3822018,Edmonds Ferry,zinc,89.20454545,mg/Kg,D,metal
47.81094,-122.387955,Edmonds Marina,mercury ,0.051954023,mg/Kg,D,metal
47.81094,-122.387955,Edmonds Marina,arsenic,8.275862069,mg/Kg,D,metal
47.81094,-122.387955,Edmonds Marina,cadmium,1.747126437,mg/Kg,D,metal
47.81094,-122.387955,Edmonds Marina,copper,8.563218391,mg/Kg,D,metal
47.81094,-122.387955,Edmonds Marina,lead,0.331034483,mg/Kg,D,metal
47.81094,-122.387955,Edmonds Marina,zinc,81.6091954,mg/Kg,D,metal
47.0769,-123.0034725,Eld Inlet,mercury ,0.028563218,mg/Kg,D,metal
47.0769,-123.0034725,Eld Inlet,arsenic,8.850574713,mg/Kg,D,metal
47.0769,-123.0034725,Eld Inlet,cadmium,1.712643678,mg/Kg,D,metal
47.0769,-123.0034725,Eld Inlet,copper,6.206896552,mg/Kg,D,metal
47.0769,-123.0034725,Eld Inlet,lead,0.250574713,mg/Kg,D,metal
47.0769,-123.0034725,Eld Inlet,zinc,91.95402299,mg/Kg,D,metal
47.62052,-122.36373,Elliot Bay Myrtle Edwards,mercury ,0.039329268,mg/Kg,D,metal
47.62052,-122.36373,Elliot Bay Myrtle Edwards,arsenic,8.170731707,mg/Kg,D,metal
47.62052,-122.36373,Elliot Bay Myrtle Edwards,cadmium,1.798780488,mg/Kg,D,metal
47.62052,-122.36373,Elliot Bay Myrtle Edwards,copper,6.402439024,mg/Kg,D,metal
47.62052,-122.36373,Elliot Bay Myrtle Edwards,lead,0.284756098,mg/Kg,D,metal
47.62052,-122.36373,Elliot Bay Myrtle Edwards,zinc,89.02439024,mg/Kg,D,metal
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17",mercury ,0.033390805,mg/Kg,D,metal
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17",arsenic,7.988505747,mg/Kg,D,metal
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17",cadmium,1.816091954,mg/Kg,D,metal
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17",copper,9.08045977,mg/Kg,D,metal
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17",lead,0.279310345,mg/Kg,D,metal
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17",zinc,94.82758621,mg/Kg,D,metal
47.97252,-122.22982,Everett Harbor,mercury ,0.041329114,mg/Kg,D,metal
47.97252,-122.22982,Everett Harbor,arsenic,8.35443038,mg/Kg,D,metal
47.97252,-122.22982,Everett Harbor,cadmium,1.702531646,mg/Kg,D,metal
47.97252,-122.22982,Everett Harbor,copper,6.455696203,mg/Kg,D,metal
47.97252,-122.22982,Everett Harbor,lead,0.365189873,mg/Kg,D,metal
47.97252,-122.22982,Everett Harbor,zinc,72.78481013,mg/Kg,D,metal
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit",mercury ,0.039759036,mg/Kg,D,metal
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit",arsenic,8.493975904,mg/Kg,D,metal
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit",cadmium,1.746987952,mg/Kg,D,metal
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit",copper,9.277108434,mg/Kg,D,metal
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit",lead,0.239156627,mg/Kg,D,metal
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit",zinc,81.92771084,mg/Kg,D,metal
47.19483,-122.748665,Filucy Bay,mercury ,0.042352941,mg/Kg,D,metal
47.19483,-122.748665,Filucy Bay,arsenic,8.117647059,mg/Kg,D,metal
47.19483,-122.748665,Filucy Bay,cadmium,1.741176471,mg/Kg,D,metal
47.19483,-122.748665,Filucy Bay,copper,5.747058824,mg/Kg,D,metal
47.19483,-122.748665,Filucy Bay,lead,0.228823529,mg/Kg,D,metal
47.19483,-122.748665,Filucy Bay,zinc,77.64705882,mg/Kg,D,metal
48.5069444,-123.0194444,Friday Harbor,mercury ,0.033333333,mg/Kg,D,metal
48.5069444,-123.0194444,Friday Harbor,arsenic,9.388888889,mg/Kg,D,metal
48.5069444,-123.0194444,Friday Harbor,cadmium,1.777777778,mg/Kg,D,metal
48.5069444,-123.0194444,Friday Harbor,copper,7,mg/Kg,D,metal
48.5069444,-123.0194444,Friday Harbor,lead,0.183888889,mg/Kg,D,metal
48.5069444,-123.0194444,Friday Harbor,zinc,93.33333333,mg/Kg,D,metal
47.3372,-122.58284,Gig Harbor Boat Launch,mercury ,0.036748466,mg/Kg,D,metal
