latitude,longitude,sample_id,site_number,site_name,reporting_area,p450_ibr2,sod_ibr2,shell_ibr2,weight_initial_g_ibr2,weight_change_g_ibr2,weight_final_g_ibr2,length_mm_ibr2,height_mm_ibr2,width_mm_ibr2,ibr2_biomarkers,ibr2_morphometrics,ibr2_overall,ci1_2,ci2_2,ci3_2
48.482448,-122.583879,63,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,1.635368026,1.475437122,0.931185487,-0.267755676,-0.01124048,-0.750685712,-1.914361631,-0.072702118,-0.955949031,1.555402574,-0.434501309,0.560450633,2.248733728,1.345627841,1.075415876
48.482448,-122.583879,64,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,1.158325512,2.732612601,2.086671128,-0.564159179,-0.627842506,-0.369091483,-2.060283933,-0.402036501,-0.762887109,1.945469056,-0.385661369,0.779903844,0.812284131,-0.362284419,0.427574987
47.11795,-122.83359,65,71,Meyer's Point - Henderson Inlet,13,0.834726976,2.794715786,1.74682241,-0.207301993,-0.293227075,-0.010939903,-0.531574101,-0.010563556,-0.99690156,1.814721381,-0.043383683,0.885668849,0.756053008,-0.465794253,-0.090697724
47.11795,-122.83359,66,71,Meyer's Point - Henderson Inlet,13,0.272323462,0.8842148,3.989823948,-0.137825373,-0.362099378,0.327676137,-2.143668106,-0.215620813,-0.154449537,0.578269131,0.186262411,0.382265771,0.582247719,-1.19036309,0.81627952
47.11795,-122.83359,67,71,Meyer's Point - Henderson Inlet,13,-0.623053676,0.652569919,-1.855574,-1.210652664,-0.955960549,-1.57899264,-2.115873382,-0.812151015,-0.938397947,0.014758122,-1.3525146,-0.668878239,0.715157646,1.604402425,0.038870453
47.11795,-122.83359,68,71,Meyer's Point - Henderson Inlet,13,0.527539002,5.092533637,2.49448959,-0.699503244,-0.529082224,-0.957762444,-2.164514149,-0.594666045,-0.610777716,2.810036319,-0.437402319,1.186317,1.251909275,0.983343422,0.557143165
47.61862,-122.36108,69,19,Elliot Bay Myrtle Edwards,10,-0.044171081,1.979921997,2.970277795,0.278583201,0.042687833,0.717084582,-1.636414389,1.319201687,-0.207102789,0.967875458,0.497759703,0.73281758,-0.598605864,-1.19036309,0.945847698
47.61862,-122.36108,70,19,Elliot Bay Myrtle Edwards,10,0.326078048,2.586877126,0.931185487,-1.527808924,-1.423772414,-1.55685236,-2.810741487,-1.68830475,-0.30655893,1.456477587,-1.197550483,0.129463552,0.21930138,0.724568837,-0.090697724
47.61862,-122.36108,71,19,Elliot Bay Myrtle Edwards,10,0.832612875,1.029743264,-0.768058102,-1.609917657,-1.759037583,-1.121860986,-4.214375061,-1.048277553,-1.207514566,0.931178069,-1.675577358,-0.372199645,-0.138533039,-0.983343422,0.298006809
47.61862,-122.36108,72,19,Elliot Bay Myrtle Edwards,10,0.086526683,-0.043606787,3.582005487,0.778905096,0.836018785,0.572521581,1.094417266,0.467903377,-0.53472302,0.021459948,0.971006939,0.496233444,1.640415216,0.207019668,0.168438631
47.61862,-122.36108,73,19,Elliot Bay Myrtle Edwards,10,0.67155933,2.619170782,3.64997523,2.16708406,2.289484258,1.666511862,1.004084413,2.338274116,0.723104653,1.645365056,1.976931227,1.811148142,0.842955653,0.414039336,1.593688587
47.386977,-122.6367089,74,47,"Purdy, Burley Lagoon",13,1.12350005,1.704390865,7.116432153,3.247580848,2.812523911,3.73858155,4.256067147,2.555759085,1.916578351,1.413945457,3.663360435,2.538652946,-1.002447566,-1.604402425,0.298006809
47.386977,-122.6367089,75,47,"Purdy, Burley Lagoon",13,1.458731465,1.901671983,0.455397282,-2.574469696,-2.568612003,-2.284876845,-3.206816308,-0.942641997,-2.787112108,1.680201724,-1.987018811,-0.153408543,-1.590318397,0.103509834,-1.386379503
47.386977,-122.6367089,76,47,"Purdy, Burley Lagoon",13,-0.418314468,1.179825961,2.154640872,0.089552657,0.227213623,-0.195876355,0.906802878,-0.656804608,2.378756892,0.380755747,0.70061228,0.540684013,-1.26826742,0.67281392,-0.220265902
47.386977,-122.6367089,77,47,"Purdy, Burley Lagoon",13,3.330112964,0.364204129,3.514035743,1.303137776,1.276541624,1.201565992,0.601060911,0.958798023,0.395484422,1.847158547,1.321517785,1.584338166,1.057656305,-0.155264751,0.945847698
47.607,-122.342,78,17,"Seattle Aquarium, Pier 59",10,0.558226068,9.781738137,1.135094718,-1.922111301,-1.892234016,-1.756114876,-3.227662351,-1.719374031,-1.418127571,5.169982103,-1.542932776,1.813524664,0.255084822,0.258774585,-0.479402258
47.607,-122.342,79,17,"Seattle Aquarium, Pier 59",10,0.338054852,1.014838499,3.174187025,0.103989357,0.109610919,0.080225954,0.997135732,-0.83700644,0.290177919,0.676446675,0.559760066,0.618103371,0.827619892,5.7459500436204e-15,-0.34983408
47.607,-122.342,80,17,"Seattle Aquarium, Pier 59",10,1.790271519,-0.433614789,3.174187025,0.370166019,0.307781222,0.451401228,1.844874821,-0.861861865,0.132218165,0.678328365,0.774109516,0.726218941,1.190566232,-0.362284419,-0.608970436
47.607,-122.342,81,17,"Seattle Aquarium, Pier 59",10,0.412155501,-0.602949474,1.814792154,0.354827025,0.640447437,-0.259692455,1.261185612,-0.333684082,-0.277307124,-0.095396986,0.457224081,0.180913547,1.972690034,1.345627841,-0.090697724
48.024789,-122.998135,82,2,Jamestown,6,0.733283373,0.851300112,-1.243846308,-1.061774193,-0.847454187,-1.3680088,-1.921310312,-1.184982391,-0.72193458,0.792291742,-1.192758681,-0.20023347,1.277468876,1.293872924,0.038870453
48.024789,-122.998135,83,2,Jamestown,6,1.978607482,1.788851197,-0.768058102,-0.186549237,-0.265288311,-0.007032795,-2.372974581,-0.706515458,0.857662962,1.883729339,-0.49267936,0.69552499,0.526016596,-0.465794253,1.075415876
48.024789,-122.998135,84,2,Jamestown,6,0.241510003,0.866825908,-1.719634513,-1.9875276,-2.018933063,-1.689694037,-4.554860433,-1.060705266,-1.283569262,0.554167955,-2.044989168,-0.745410606,-0.741739632,-0.207019668,0.038870453
48.024789,-122.998135,85,2,Jamestown,6,0.978048147,0.328391293,-3.011059641,-0.831238135,-0.660329441,-1.076278058,-2.449410072,-0.712729315,0.559294537,0.65321972,-1.168821446,-0.257800863,-0.174316481,0.983343422,0.686711342
48.024789,-122.998135,86,2,Jamestown,6,0.600830732,0.371449501,-0.836027846,-0.923272099,-1.226251849,-0.20759768,1.4488,1.151427568,-0.599076994,0.486140116,-0.170285557,0.15792728,-4.171838135,-1.811422093,-1.775084036
48.024789,-122.998135,87,2,Jamestown,6,0.666710467,0.664576535,-0.428209385,1.027035883,1.46366637,0.030735917,1.122211991,0.443047952,0.360382254,0.665643501,0.574124426,0.619883964,2.028921157,1.914931927,0.81627952
48.02218,-122.728709,88,10,Oak Bay County Park,9,0.236072412,1.801478844,1.882761897,-0.168503361,-0.413428735,0.3420022,-3.060894005,0.088858145,-1.09050734,1.018775628,-0.345673029,0.3365513,1.604631774,-1.345627841,1.334552232
48.02218,-122.728709,89,10,Oak Bay County Park,9,0.799597503,0.737858293,1.74682241,1.045984052,1.139446758,0.735317753,1.844874821,-0.56981062,0.746506098,0.768727898,0.95559161,0.862159754,2.044256917,0.362284419,0.168438631
48.02218,-122.728709,90,10,Oak Bay County Park,9,0.367062877,4.39283775,1.067124974,-1.068992543,-0.873443735,-1.334147196,-3.269354437,-0.756226309,-0.599076994,2.379950314,-0.97630232,0.701823997,1.011649022,1.19036309,0.81627952
48.02218,-122.728709,91,10,Oak Bay County Park,9,-0.171522072,-0.300506962,0.863215744,-1.917599832,-2.339903981,-0.845758677,-3.0261506,-0.638163039,-0.6283288,-0.236014517,-1.218955598,-0.727485058,-3.640198427,-3.001785183,-1.127243147
47.63237,-122.37869,92,15,"Smith Cove, Terminal 91",10,0.195635068,0.361512991,1.882761897,1.558035766,1.901590254,0.685827717,0.684445084,0.293915402,0.38963406,0.27857403,1.056601454,0.667587742,3.465370753,1.397382758,1.464120409
47.63237,-122.37869,93,15,"Smith Cove, Terminal 91",10,3.897113883,0.017254335,2.358550102,-1.329755442,-1.393884433,-1.045021193,-6.90351463,-0.619521471,0.413035506,1.957184109,-1.217158794,0.370012657,-0.138533039,-0.414039336,2.759802188
47.63237,-122.37869,94,15,"Smith Cove, Terminal 91",10,-0.169219711,0.798926425,-0.90399759,-1.860304178,-1.805169031,-1.752207767,-3.602891128,-1.15391311,-1.698944912,0.314853357,-1.825346817,-0.75524673,0.193741778,0.414039336,-0.090697724
47.63237,-122.37869,95,15,"Smith Cove, Terminal 91",10,1.62699544,1.939761937,0.387427538,-0.718451414,-0.853951574,-0.362579636,-2.727357315,-0.265331663,-0.07254448,1.783378688,-0.658969792,0.562204448,-0.52703898,-0.776323754,0.557143165
47.68234,-122.5064,96,23,Brackenwood Ln,10,-0.401038441,-0.792467694,-1.583695025,0.192865293,0.454622168,-0.35346305,1.198647482,-0.315042513,-0.172000621,-0.596753068,-0.082580895,-0.339666981,1.364371521,1.293872924,-0.220265902
47.68234,-122.5064,97,23,Brackenwood Ln,10,0.092477831,2.516907537,-0.632118615,0.217227225,-0.383540755,1.39561903,0.107704556,-0.712729315,0.635349234,1.304692684,0.08964448,0.697168582,-0.629277386,-3.0535401,-0.479402258
47.68234,-122.5064,98,23,Brackenwood Ln,10,-0.147037612,0.616550072,1.067124974,1.825565868,1.518244421,2.227833066,3.067842686,0.200707558,1.8639251,0.23475623,1.681606239,0.958181234,-0.026070793,-1.345627841,-0.220265902
47.68234,-122.5064,99,23,Brackenwood Ln,10,0.192430654,0.757938323,1.135094718,0.937708799,1.3986925,-0.096896282,2.025540528,1.120358286,0.834261517,0.475184489,1.050680009,0.762932249,0.004600728,2.070196678,0.298006809
48.04906,-122.7724,100,8,Chimacum Creek delta,9,0.717669091,-0.254964627,2.086671128,1.047337492,0.997803722,1.023141387,1.71284988,0.629463641,-0.25975604,0.231352232,1.033930173,0.632641203,1.170118551,-0.258774585,0.038870453
48.04906,-122.7724,101,8,Chimacum Creek delta,9,-0.059613068,-0.2056961,1.067124974,-1.946473233,-2.634885351,-0.337834618,-3.929479137,-1.495675205,-0.926697225,-0.132654584,-1.457702828,-0.795178706,-2.873410386,-4.91671711,-1.127243147
48.04906,-122.7724,102,8,Chimacum Creek delta,9,0.578425781,-0.792467694,4.39764241,-0.612883043,-1.011188339,0.25734819,-1.782336691,0.070216576,-1.31867143,-0.107020957,1.82390555668123e-05,-0.053501359,-0.409464814,-2.277216346,-0.220265902
48.04906,-122.7724,103,8,Chimacum Creek delta,9,0.809164843,-0.342323107,5.077339846,0.315577246,-0.795475091,2.505237745,-2.324333813,1.959228883,-0.909146141,0.233420868,0.832632668,0.533026768,-2.321322996,-5.537776114,0.427574987
47.5706,-122.9717,104,29,Hood Canal Holly,12,-0.687483209,-0.792467694,0.727276256,-0.0832366,-0.336759568,0.434470426,0.746983214,0.194493701,-0.07254448,-0.739975452,0.230097564,-0.254938944,-1.247819739,-1.345627841,-0.738538614
47.5706,-122.9717,105,29,Hood Canal Holly,12,0.253625174,1.241929146,0.251488051,-0.29617793,-0.341307739,-0.171131337,-1.64336307,0.405764815,-0.511321575,0.74777716,-0.329435541,0.20917081,-0.046518474,-0.258774585,0.557143165
47.5706,-122.9717,106,29,Hood Canal Holly,12,-1.051662114,-0.792467694,1.135094718,0.787928034,0.879551278,0.51131022,0.170242686,1.3316294,0.161469971,-0.922064904,0.711032329,-0.105516287,0.132398735,0.362284419,0.81627952
