site_name,site_number,reporting_area,pcb_group,pah_group,latitude,longitude,geo_group,p450,sod,ci_wet_volume,ci_wet_shell_weight,ci_pollution,shell_thickness,a83,a84,a85,a86,a87,a88,a91,a95,a97,a101,a103,a107,a109,a112,a113,a114,a119,a126,a128
Point Defiance Ferry,43,7,4,7,47.3062,-122.5145,1,2181856.75,10.88425,0.368,2.505,0.513912005,0.83875,21.4237393,5.79019981,17.37059943,13.31745956,19.10765937,3.705727878,25.47687916,9.843339676,13.89647954,5.095375833,10.42235966,-2.084471931,4.111041865,30.10903901,-3.010903901,-3.300413892,-3.068805899,4.111041865,52.69081827
Port Angeles Yacht Club,1,8,4,8,48.12823,-123.45715,5,5751355,7.3855,0.343833333,2.261666667,0.456050483,0.800833333,78.13402062,15.62680412,66.11340206,52.28969072,72.12371134,7.212371134,90.15463918,27.64742268,46.88041237,14.42474227,40.26907216,5.409278351,21.03608247,102.1752577,2.884948454,5.83,7.813402062,13.22268041,180.3092784
Purdy - Dexters,57,2,2,2,47.38566,-122.627255,1,4743078.25,1.760875,0.33775,2.1225,0.416554419,0.84375,3.38471142,-3.26997544,3.958391322,-3.26997544,6.310478919,-3.21260745,5.105751126,-2.409455587,-3.32734343,-2.409455587,-3.32734343,-2.409455587,-3.32734343,12.04727794,-3.26997544,-3.26997544,-3.26997544,-3.26997544,8.605198526
"Purdy, Burley Lagoon",47,8,3,8,47.386977,-122.6367089,2,3937679,11.214,0.32875,2.265,0.34046755,0.915,4.554622504,-4.369975645,5.724052606,-4.308426693,6.154895275,-4.308426693,6.770384803,-3.015898685,-4.062230882,-3.015898685,-4.062230882,-3.015898685,-4.062230882,15.38723819,-4.308426693,-4.000681929,-4.369975645,4.431524598,13.54076961
Raft Island Park,53,2,2,2,47.32598,-122.66724,5,4523051.5,3.778125,0.35525,2.6625,0.497745386,0.65375,3.799251337,-3.588181818,4.221390374,-3.588181818,5.909946524,-3.588181818,5.276737968,-2.673547237,-3.728894831,-2.673547237,-3.728894831,-2.673547237,-3.728894831,11.257041,-3.588181818,-3.658538324,-3.588181818,-3.588181818,11.96060606
Reach Island,39,5,1,5,47.346537,-122.82236,2,5905498,4.58375,0.323,2.0125,0.417686996,0.77,4.26182377,-2.335245902,6.42192623,3.386106557,7.58954918,-2.276864754,6.42192623,-1.868196721,3.79477459,-1.868196721,-2.977438525,-1.868196721,-2.977438525,12.26004098,-2.276864754,-2.977438525,-2.335245902,-2.335245902,12.84385246
Rich Passage,32,2,4,2,47.578117,-122.524833,4,3203053.25,2.245,0.34675,2.48,0.516413574,0.81,10.7039604,-3.686919692,9.514631463,5.233047305,10.10929593,-3.627453245,12.4879538,4.341050605,6.541309131,-2.557057206,4.519449945,-2.557057206,-3.567986799,19.62392739,-3.686919692,-3.567986799,-3.686919692,4.043718372,17.83993399
Rocky Point,27,4,5,4,47.60255,-122.66992,2,4508401,9.8955,0.33875,2.505,0.432911383,0.68875,6.088630807,-2.19190709,10.35067237,7.915220049,11.56839853,3.348746944,3.957610024,5.236222494,-2.922542787,3.409633252,-2.922542787,-1.765702934,-2.922542787,15.22157702,-2.19190709,-2.861656479,2.618111247,2.800770171,20.09248166
S of Skunk Island,9,4,1,4,48.02667,-122.75076,3,3556922.75,11.307,0.33925,2.47,0.460856191,0.78625,7.206958355,-2.702609383,7.807538218,4.984812862,9.008697944,-2.642551397,11.4110174,-2.162087507,5.225044808,-2.162087507,-3.543421191,-2.162087507,-3.543421191,15.01449657,-2.642551397,-3.483363205,-2.702609383,2.76266737,25.22435424
"Salmon Bay, Commodore Park",16,8,7,8,47.6663,-122.4018,2,3756618.5,1.48175,0.344,2.5725,0.332214468,0.7075,29.76470588,9.673529412,29.76470588,38.69411765,39.43823529,11.90588235,32.74117647,26.04411765,26.04411765,14.13823529,25.3,-3.497352941,9.673529412,45.39117647,-5.506470588,-5.580882353,8.185294118,11.90588235,63.99411765
