site_name,reporting_area,geo_group,pcb_group,latitude,longitude,lat_range,long_range,pah_group,p450,sod,cf,at,at_no,cf_no,p450_no,sod_no,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62
Edmonds Ferry,9,2,2,47.81407,-122.3825,47.5 - 47.97,-0.6,5,4710936.75,0.206375,0.1806,0.69,0.69,0.1806,4710936.75,0.206375,2.806205607,1.695415888,-1.169252336,2.981593458,3.215443925,-1.227714953,4.560084112,2.338504673,-1.169252336,4.384696262,-1.169252336,-1.227714953,-1.169252336,-1.169252336,-1.169252336,-1.169252336,1.987728972,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,-1.169252336,2.104654206,2.221579439,1.461565421,-1.169252336,-1.169252336,1.636953271,-1.169252336,1.636953271,-1.227714953,-1.169252336,-1.169252336,1.695415888,1.28617757
Edmonds Marina,9,2,2,47.8111,-122.388,47.5 - 47.97,-0.6,7,16253739,16.62475,0.162375,0.765,0.765,0.162375,4099252.667,10.71466667,2.752819945,1.698548476,-0.937130194,2.987102493,3.221385042,-0.937130194,4.627080332,2.518537396,-0.937130194,4.68565097,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,1.815689751,-0.937130194,-0.937130194,1.112842105,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,-0.937130194,1.991401662,2.108542936,1.347124654,1.054271468,-0.937130194,1.581407202,1.171412742,1.698548476,-0.937130194,-0.937130194,1.171412742,1.757119114,1.405695291
Eld Inlet,13,4,1,47.074603,-123.003527,47.05 - 47.57,-0.33,2,4644880.75,20.791,0.21035,0.7075,0.7075,0.21035,4644880.75,15.855,2.73484507,1.447859155,-1.179737089,2.359474178,2.949342723,-1.233361502,4.450826291,2.091352113,-1.179737089,4.236328638,-1.179737089,-1.233361502,-1.179737089,-1.179737089,-1.179737089,-1.179737089,1.394234742,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,-1.179737089,1.501483568,1.501483568,1.179737089,-1.179737089,-1.179737089,1.340610329,-1.179737089,1.286985915,-1.233361502,-1.179737089,-1.179737089,1.286985915,1.501483568
Elliot Bay Myrtle Edwards,10,2,5,47.61862,-122.36108,47.5 - 47.97,-0.6,8,2469547.6,34.8252,0.18824,0.824,0.824,0.18824,2469547.6,24.262,8.052281134,3.489321825,-1.409149199,7.381257707,7.381257707,1.945967941,13.42046856,8.052281134,2.281479655,12.74944513,-1.409149199,-1.409149199,-1.409149199,-1.409149199,-1.409149199,1.476251541,3.019605425,3.153810111,1.610456227,3.489321825,-1.409149199,-1.409149199,-1.409149199,-1.409149199,-1.409149199,-1.409149199,-1.342046856,-1.409149199,-1.409149199,3.220912454,4.026140567,2.549889026,2.348581998,1.878865598,4.09324291,3.086707768,5.502392109,1.67755857,-1.409149199,2.751196054,5.032675709,3.824833539
"Elliott Bay, Harbor Island, Pier 17",10,2,5,47.58766,-122.35065,47.5 - 47.97,-0.6,8,9194071.75,5.56325,0.16225,0.85625,0.85625,0.16225,8194665.333,5.56325,7.417353103,2.738714992,-1.369357496,6.276221856,5.705656233,1.882866557,13.69357496,10.27018122,2.567545305,14.83470621,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496,1.825809995,1.882866557,3.936902801,2.168149368,4.507468424,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496,-1.369357496,2.339319055,2.282262493,1.483470621,1.768753432,1.597583745,3.594563427,2.225205931,2.567545305,-1.369357496,-1.369357496,1.825809995,5.078034047,3.594563427
Everett Harbor,8.2,2,2,47.9726,-122.22977,47.5 - 47.97,-0.6,5,5271456.5,0.375875,0.14555,0.77625,0.77625,0.14555,5271456.5,0.375875,2.5298188,1.797502831,-1.464631937,2.929263873,3.12898641,-1.464631937,4.260747452,2.196947905,-1.464631937,4.061024915,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,2.196947905,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,-1.464631937,2.330096263,2.5298188,1.597780294,-1.464631937,-1.464631937,1.730928652,-1.464631937,1.797502831,-1.464631937,-1.464631937,-1.464631937,1.531206116,-1.464631937
"Fidalgo Bay Aq Reserve, Weaverling Spit",7,3,1,48.482448,-122.583879,48.02 - 48.82,-0.48,7,3477566.5,18.015,0.1738,0.7625,0.7625,0.1738,3477566.5,18.015,2.162282542,-1.971492906,-2.035089451,2.480265268,2.925441086,-2.035089451,3.179827267,-2.035089451,-2.035089451,2.86184454,-2.035089451,-2.035089451,-2.035089451,-1.971492906,-2.035089451,-2.035089451,-2.035089451,-2.035089451,-1.971492906,-2.035089451,-2.035089451,-2.035089451,-1.971492906,-1.971492906,-2.035089451,-1.971492906,-1.971492906,-2.035089451,-2.035089451,2.162282542,3.243423812,-1.971492906,-2.035089451,-2.035089451,-2.035089451,-2.035089451,3.879389266,-2.035089451,-2.035089451,-1.971492906,-2.035089451,-1.971492906
Filucy Bay,13,4,2,47.19483,-122.748665,47.05 - 47.57,-0.33,2,6265039.75,5.313125,0.159275,0.85625,0.85625,0.159275,6265039.75,5.313125,3.617863974,1.601349628,-1.067566419,2.846843783,3.736482465,-1.126875664,5.159904357,2.668916047,-1.126875664,5.219213603,-1.126875664,-1.126875664,-1.067566419,-1.067566419,-1.126875664,-1.126875664,1.542040383,-1.126875664,-1.067566419,1.245494155,-1.067566419,-1.126875664,-1.067566419,-1.067566419,-1.126875664,-1.067566419,-1.067566419,-1.126875664,-1.067566419,1.660658874,2.075823592,1.245494155,-1.126875664,-1.126875664,1.957205101,1.126875664,1.482731137,-1.126875664,-1.126875664,-1.067566419,1.719968119,2.372369819
Friday Harbor,7,5,1,48.5069444,-123.0194444,48.02 - 48.69,-0.6,2,3660262,2.297,0.0909,0.735,0.735,0.159075,3660262,2.297,1.754755662,-1.378736591,-1.378736591,1.942765197,2.256114422,-1.378736591,3.008152563,-1.378736591,-1.378736591,2.694803337,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,1.504076281,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,1.566746126,1.629415971,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591,-1.378736591
Friday Harbor,7,5,1,48.5069444,-123.0194444,48.02 - 48.69,-0.6,6,4027738.5,7.81275,0.159075,0.75375,0.75375,0.15425,4027738.5,7.81275,4.863690965,1.846971253,-1.231314168,3.632376797,4.371165298,-1.231314168,7.38788501,4.309599589,-1.231314168,8.003542094,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,1.416011294,1.600708419,-1.231314168,2.524194045,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,-1.231314168,1.723839836,1.970102669,1.354445585,-1.231314168,-1.231314168,2.093234086,1.477577002,1.662274127,-1.231314168,-1.231314168,-1.231314168,2.524194045,2.893588296
