reporting_area,site_name,avg_sod,a94,a96,a100,a102,a104,a105,a106,a108,a110,a111,a89,a91,a95,a97,a101,a103
7,Locust Beach,6.150276481,12.8004374,-4.352148715,17.28059049,-4.352148715,-4.352148715,12.16041553,8.960306178,-4.352148715,5.440185894,17.92061236,-3.200109349,-4.352148715,-3.200109349,-4.352148715,-3.200109349,-4.352148715
10,Madrona Pont,4.520043667,16.87420999,-3.555637105,24.10601427,-3.555637105,-3.555637105,11.45035678,21.69541284,-3.555637105,4.88146789,15.06625892,6.629153925,8.437104995,5.905973496,5.544383282,-2.591396534,5.122528033
10,"Manchester, Stormwater Outfall",2.792783701,23.25986323,-3.899447659,29.41688585,-3.899447659,5.130852183,13.68227249,22.57574961,-3.899447659,6.635902157,15.05049974,8.209363493,14.36638611,4.788795371,6.841136244,-2.462809048,4.720384008
13,Maple Hollow Park,2.576942008,13.08641975,-3.271604938,17.66666667,-3.271604938,-3.271604938,8.50617284,9.814814815,-3.271604938,3.402469136,12.43209877,3.795061728,5.954320988,-2.355555556,-3.271604938,-2.355555556,-3.271604938
9,Maristone Island,5.722065262,10.5832866,-4.727201346,13.40549635,-4.727201346,-4.727201346,10.5832866,7.761076837,-4.727201346,7.055524397,5.926640494,-3.598317443,-4.727201346,-3.598317443,-4.727201346,-3.598317443,-4.727201346
13,Meyer's Point - Henderson Inlet,15.21190078,15.61287313,-5.650373134,19.33022388,-5.650373134,-5.650373134,12.63899254,10.40858209,-5.650373134,7.434701493,8.921641791,-3.940391791,6.616884328,-3.940391791,-5.650373134,-3.940391791,-5.650373134
11,Miller Creek,3.631343581,19.0641412,-3.55863969,27.32526905,-3.55863969,4.829582437,11.43848472,20.33508394,-3.55863969,3.939922514,19.0641412,6.990185105,9.532070598,4.575393887,5.46505381,-2.541885493,4.130563926
13,Minter Bay,5.009746273,12.5002551,-3.684285714,15.78979592,-3.684285714,-3.684285714,7.894897959,8.552806122,-3.684285714,-3.684285714,9.868622449,3.618494898,5.921173469,-2.697423469,-3.684285714,-2.697423469,-3.684285714
8.2,Mukilteo,7.606435702,30.4254246,-4.337241379,33.6621719,-4.337241379,4.596181163,18.12578487,26.54132784,-4.337241379,10.35759135,21.36253217,8.415542975,18.12578487,4.855120947,7.120844056,-2.783602676,-4.337241379
7,N Avenue Park,0.692149127,130.2431762,14.10967742,227.9255583,22.79255583,81.40198511,86.82878412,195.3647643,23.33523573,97.68238213,97.68238213,40.70099256,86.82878412,32.01811414,46.67047146,20.07915633,36.90223325
8.1,North Camano,3.101924016,14.60024331,-3.49136253,20.94817518,-3.49136253,-3.49136253,9.52189781,11.42627737,-3.49136253,5.840097324,16.50462287,-2.475693431,4.760948905,-2.475693431,-3.49136253,-2.475693431,-3.49136253
9,Oak Bay County Park,11.83915658,10.90086207,-4.167976673,14.10699797,-4.167976673,-4.167976673,8.977180527,9.618407708,-4.167976673,5.322185598,6.412271805,-3.077890467,4.93744929,-3.077890467,-4.167976673,-3.077890467,-4.167976673
8.1,Penn Cove Reference,12.59276789,13.89857973,-3.218618464,10.97256294,-3.218618464,-3.218618464,10.24105875,8.778050355,-3.218618464,-3.218618464,13.16707553,-2.340813428,5.92518399,-2.340813428,-3.218618464,-2.340813428,-3.218618464
13,Penrose Point State Park,4.423060585,14.52279843,-3.762725049,19.80381605,-3.762725049,-3.762725049,9.901908023,14.52279843,-3.762725049,6.601272016,10.56203523,4.22481409,7.261399217,-2.772534247,3.960763209,-2.772534247,-3.762725049
11,Point Defiance Ferry,6.454028929,44.00551855,4.747963844,50.37473834,7.527259753,14.47549952,20.26569933,38.21531874,4.747963844,13.31745956,26.05589914,14.47549952,25.47687916,9.843339676,13.89647954,5.095375833,10.42235966
6,Port Angeles Yacht Club,7.9878217,102.1752577,10.8185567,114.1958763,16.82886598,19.83402062,21.03608247,120.2061856,16.22783505,13.82371134,96.16494845,45.67835052,90.15463918,27.64742268,46.88041237,14.42474227,40.26907216
13,Purdy - Dexters,0.734050309,11.47359804,-3.32734343,16.06303725,-3.32734343,-3.32734343,6.884158821,9.178878428,-3.32734343,-3.32734343,9.75255833,3.614183381,5.105751126,-2.409455587,-3.32734343,-2.409455587,-3.32734343
13,"Purdy, Burley Lagoon",10.05044241,14.77174866,-4.062230882,19.08017535,-4.062230882,4.123779834,9.84783244,11.69430102,-4.062230882,6.770384803,12.30979055,4.800818315,6.770384803,-3.015898685,-4.062230882,-3.015898685,-4.062230882
13,Raft Island Park,3.042678154,11.257041,-3.728894831,15.47843137,-3.728894831,-3.728894831,7.739215686,7.739215686,-3.728894831,-3.658538324,6.54315508,-2.673547237,5.276737968,-2.673547237,-3.728894831,-2.673547237,-3.728894831
13,Reach Island,4.58367038,15.17909836,-2.977438525,23.35245902,-2.977438525,-2.977438525,9.924795082,12.26004098,-2.977438525,6.42192623,16.34672131,3.56125,6.42192623,-1.868196721,3.79477459,-1.868196721,-2.977438525
10,Rich Passage,2.319743024,22.59724972,-3.567986799,25.57057206,-3.567986799,5.411446645,13.67728273,19.62392739,-3.567986799,7.730638064,13.67728273,7.730638064,12.4879538,4.341050605,6.541309131,-2.557057206,4.519449945
10,Rocky Point,9.895474753,20.70134474,-2.922542787,34.09633252,3.287860636,6.088630807,12.17726161,29.83429095,3.044315403,7.915220049,20.09248166,6.027744499,3.957610024,5.236222494,-2.922542787,3.409633252,-2.922542787
9,S of Skunk Island,10.11133775,20.41971534,-3.543421191,27.02609383,-3.543421191,3.603479178,12.61217712,18.61797575,-3.543421191,8.408118081,14.41391671,4.564406958,11.4110174,-2.162087507,5.225044808,-2.162087507,-3.543421191
10,"Salmon Bay, Commodore Park",3.794299859,37.20588235,8.185294118,69.94705882,12.65,15.62647059,25.3,104.1764706,6.771470588,19.34705882,74.41176471,29.02058824,32.74117647,26.04411765,26.04411765,14.13823529,25.3
11,Salmon Beach,7.299085618,26.19574468,-5.120077369,37.50754352,-5.120077369,-5.120077369,16.07466151,29.17253385,-5.120077369,10.12108317,19.05145068,10.12108317,16.67001934,5.001005803,9.525725338,-3.036324952,5.953578337
10,"Seattle Aquarium, Pier 59",15.6176361,162.007874,17.49685039,181.4488189,21.38503937,24.62519685,39.52992126,155.5275591,13.60866142,27.86535433,90.72440945,103.6850394,174.9685039,60.26692913,97.20472441,25.27322835,71.28346457
10,Shilshole Bay,9.906528332,75.17138599,11.2757079,97.72280179,13.53084948,28.56512668,26.3099851,105.2399404,15.0342772,21.79970194,75.17138599,60.88882265,90.20566319,38.33740686,46.60625931,17.28941878,36.08226528
10,"Silverdale, Dyes Inlet",28.25379124,20.56221719,-3.564117647,30.84332579,5.414717195,7.539479638,13.7081448,31.52873303,5.414717195,6.648450226,21.93303167,8.224886878,10.2811086,6.511368778,6.854072398,3.975361991,6.648450226
10,Skiff Point,4.778817931,31.37320132,-5.62349835,43.80409241,-5.62349835,7.103366337,15.98257426,32.55709571,-5.62349835,9.471155116,24.26983498,9.471155116,18.35036304,4.913161716,8.287260726,-3.906851485,-5.62349835
10,"Smith Cove, Terminal 91",7.5954936,325.1489573,33.81549156,325.1489573,38.36757696,65.02979146,78.03574975,260.1191658,35.7663853,59.82740814,136.5625621,214.5983118,390.1787488,97.54468719,188.5863952,35.11608739,123.5566038
13,Squaxin Island,5.883833595,12.94719101,-2.589438202,21.36286517,-2.589438202,-2.589438202,9.710393258,12.29983146,-2.589438202,4.466780899,12.29983146,3.172061798,5.437820225,2.395230337,3.366269663,-1.618398876,-2.589438202
10,"Suquamish, Stormwater Outfall",5.819212897,25.13208525,2.770973502,28.35414747,4.704210829,5.47750576,12.24383641,22.55443548,3.157620968,7.732949309,14.82148618,8.377361751,15.46589862,4.897534562,7.088536866,-1.67547235,4.704210829
11,Thea Foss Waterway,11.78727617,53.22256461,9.086779324,84.37723658,14.92828032,16.87544732,31.15467197,103.8489066,9.73583499,22.71694831,71.39612326,29.85656064,41.53956262,27.26033797,29.85656064,15.57733598,27.90939364
11,Three Tree Point,7.915689936,21.20815109,-4.064895626,30.04488072,-4.064895626,5.77333002,11.78230616,25.92107356,-4.064895626,6.48026839,20.02992048,7.658499006,11.78230616,5.537683897,5.537683897,-3.004488072,4.712922465
8.2,Tulalip Bay,6.253865979,26.60465882,-4.41248,31.79581176,-4.41248,-4.41248,17.52014118,21.41350588,-4.41248,9.084517647,-4.41248,5.840047059,14.27567059,-2.855134118,5.061374118,-2.855134118,-4.41248
8.2,Tulalip Reservation,3.733327306,18.86440678,-3.654978814,21.22245763,-3.654978814,-3.654978814,11.20074153,14.7378178,-3.654978814,5.777224576,11.79025424,4.185540254,9.43220339,-2.593855932,4.303442797,-2.593855932,-3.654978814
13,West Bay Park,4.627812352,20.24581855,-4.656538267,26.99442473,-4.656538267,-4.656538267,12.14749113,23.62012164,-4.656538267,5.398884947,31.71844906,11.47263051,14.17207299,7.423466802,7.423466802,-3.374303092,6.748606183
10,Williams Olson Park,6.391730801,19.2801956,-3.494535452,28.9202934,-3.494535452,4.277793399,12.05012225,20.48520782,-3.494535452,7.832579462,12.65262836,5.543056235,11.44761614,3.253533007,5.723808068,-2.169022005,4.097041565
