SiteName,Analyte,Units,DryValue,Comments
Penrose Point State Park,SumPAHsLMW,ng/g,125.4241683,NA
Point Defiance Ferry,SumPAHsLMW,ng/g,370.5727878,NA
Port Angeles Yacht Club,SumPAHsLMW,ng/g,781.3402062,dNPH Surrogate recovery below minimum QA value (60%)
Purdy - Dexters,SumPAHsLMW,ng/g,91.78878428,NA
"Purdy, Burley Lagoon",SumPAHsLMW,ng/g,129.2528008,NA
Raft Island Park,SumPAHsLMW,ng/g,91.46345811,NA
Reach Island,SumPAHsLMW,ng/g,110.9241803,NA
Rich Passage,SumPAHsLMW,ng/g,190.2926293,NA
Rocky Point,SumPAHsLMW,ng/g,176.5702934,dNPH Surrogate recovery below minimum QA value (60%)
S of Skunk Island,SumPAHsLMW,ng/g,162.156563,dNPH Surrogate recovery below minimum QA value (60%)
"Salmon Bay, Commodore Park",SumPAHsLMW,ng/g,476.2352941,NA
Salmon Beach,SumPAHsLMW,ng/g,202.4216634,dNPH Surrogate recovery below minimum QA value (60%)
"Seattle Aquarium, Pier 59",SumPAHsLMW,ng/g,1101.653543,NA
Shilshole Bay,SumPAHsLMW,ng/g,714.1281669,NA
"Silverdale, Dyes Inlet",SumPAHsLMW,ng/g,212.4762443,NA
Skiff Point,SumPAHsLMW,ng/g,236.7788779,dNPH Surrogate recovery below minimum QA value (60%)
"Smith Cove, Terminal 91",SumPAHsLMW,ng/g,2145.983118,NA
Squaxin Island,SumPAHsLMW,ng/g,97.10393258,NA
"Suquamish, Stormwater Outfall",SumPAHsLMW,ng/g,231.9884793,NA
Thea Foss Waterway,SumPAHsLMW,ng/g,584.1500994,NA
Three Tree Point,SumPAHsLMW,ng/g,176.7345924,NA
Tulalip Bay,SumPAHsLMW,ng/g,188.1792941,NA
Tulalip Reservation,SumPAHsLMW,ng/g,135.5879237,NA
West Bay Park,SumPAHsLMW,ng/g,182.212367,NA
Williams Olson Park,SumPAHsLMW,ng/g,144.601467,NA
