"site_name","mercuryTotal","arsenic","cadmium","copper","lead","Zinc","Sum40CBs","SumBDEs","SumCHLDs","SumDDTs","SumHCHs","SumPCBs2x17","SumPAHsHMW","SumPAHsLMW","SumPAHs","SumPAHs16","SumPAHs42_DMNcorrected"
"Locust Beach",0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927,20.48069984,-1.472050301,-1.472050301,4.352148715,-1.216041553,28.80098414,27.5209404,121.6041553,147.2050301,46.08157463,147.2050301
"Madrona Pont",0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273,53.0332314,1.627155963,-1.265565749,2.591396534,-1.024505607,72.31804281,120.5300714,138.6095821,259.1396534,108.4770642,259.1396534
"Manchester, Stormwater Outfall",0.029810127,8.164556962,1.930379747,5.113924051,0.270253165,83.5443038,41.04681746,1.983929511,-1.368227249,2.394397685,-1.162993161,55.41320358,171.0284061,198.3929511,369.4213572,171.0284061,369.4213572
"Maple Hollow Park",0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974,35.98765432,1.57037037,-1.177777778,1.504938272,-0.981481481,49.07407407,64.77777778,111.2345679,176.6666667,71.97530864,176.6666667
"Maristone Island",NA,NA,NA,NA,NA,NA,31.04430735,-1.411104879,-1.411104879,1.340549635,-1.199439148,36.68872686,23.98878295,112.8883904,134.0549635,41.62759394,134.0549635
"Maristone Island Bridge",0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyer's Point - Henderson Inlet",0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333,49.06902985,-1.338246269,-1.338246269,1.412593284,-1.115205224,56.50373134,52.7863806,148.6940299,200.7369403,66.16884328,200.7369403
"Miller Creek",0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135,43.84752475,4.384752475,1.270942746,3.685733965,-1.016754197,54.01506672,120.7395609,171.5772708,292.3168317,114.3848472,285.962118
"Minter Bay",0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,31.57959184,2.894795918,-1.25002551,1.710561224,-1.052653061,42.10612245,65.79081633,98.68622449,164.4770408,78.94897959,164.4770408
"Mukilteo",0.050645161,8.129032258,1.858064516,7.225806452,0.265806452,70.96774194,31.07277406,2.977807514,-1.229963973,1.942048379,-1.035759135,42.07771487,194.2048379,245.9927946,440.1976325,207.1518271,440.1976325
"N Avenue Park",0.036420455,10.28409091,1.926136364,5.795454545,0.447159091,94.88636364,26.59131514,3.364615385,-1.248163772,10.31091811,1.031091811,35.81687345,1085.359801,1248.163772,2333.523573,976.8238213,2333.523573
"North Camano",0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,19.04379562,-1.52350365,-1.52350365,4.316593674,-1.269586375,26.66131387,54.59221411,107.9148418,165.0462287,63.47931873,165.0462287
"Oak Bay County Park",0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394,30.13767748,-1.346577079,-1.346577079,-1.346577079,-1.090086207,36.54994929,33.98504057,102.5963489,141.0699797,47.45081136,141.0699797
"Penn Cove Baseline 1",-0.0184,7.122641509,1.650943396,4.764150943,0.123584906,68.39622642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penn Cove Baseline 2",-0.02,8.29015544,2.155440415,4.772020725,0.152849741,80.31088083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penn Cove Baseline 3",-0.0198,7.424242424,1.681818182,6.313131313,0.161111111,67.67676768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Penn Cove Reference",0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,24.87114267,-1.389857973,-1.389857973,4.315874758,-1.097256294,34.38069722,46.81626856,109.7256294,160.9309232,64.37236927,160.9309232
"Penrose Point State Park",0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452,42.2481409,1.452279843,-1.122216243,1.386267123,-0.924178082,50.16966732,85.8165362,125.4241683,204.6394325,85.8165362,204.6394325
"Point Defiance Ferry",0.027377049,8.087431694,1.546448087,6.93989071,0.39726776,92.89617486,48.05865842,2.200275928,-1.158039962,3.416217888,-0.984333968,63.69219791,335.831589,370.5727878,694.8239772,335.831589,694.8239772
"Port Angeles Yacht Club",0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655,57.69896907,-1.442474227,-1.382371134,7.813402062,-1.202061856,72.12371134,1202.061856,781.3402062,1983.402062,1081.85567,1983.402062
"Purdy - Dexters",0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,32.6997544,1.434199754,-1.089991813,1.663671715,-0.917887843,44.74703234,57.36799018,91.78878428,149.1567745,68.84158821,149.1567745
"Purdy, Burley Lagoon",0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485,44.93073551,2.708153921,-1.046332197,2.031115441,-0.861685339,59.08699464,86.16853385,129.2528008,215.4213346,86.16853385,215.4213346
"Raft Island Park",0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095,33.06755793,-1.336773619,-1.336773619,1.407130125,-1.1257041,43.62103387,61.91372549,91.46345811,147.7486631,70.35650624,147.7486631
"Reach Island",0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024,21.01721311,-1.459528689,-1.459528689,1.459528689,-1.226004098,30.35819672,81.73360656,110.9241803,192.6577869,81.73360656,192.6577869
"Rich Passage",0.033011364,8.465909091,1.710227273,7.102272727,0.303409091,89.20454545,55.89845985,3.270654565,-0.8919967,3.092255226,-0.773063806,71.35973597,142.7194719,190.2926293,338.9587459,142.7194719,338.9587459
"Rocky Point",0.03422619,8.69047619,2,6.130952381,0.411904762,101.1904762,60.88630807,1.88747555,-1.217726161,2.496338631,0.730635697,85.2408313,133.9498778,176.5702934,310.5201711,133.9498778,310.5201711
"S of Skunk Island",0.028685714,8,1.748571429,5.702857143,0.462285714,76,18.01739589,-1.561507644,-1.561507644,-1.561507644,-1.321275698,28.22725356,132.1275698,162.156563,294.2841328,144.1391671,294.2841328
"Salmon Bay, Commodore Park",0.039481481,7.703703704,1.955555556,7.555555556,0.556296296,80.74074074,96.73529412,7.441176471,6.845882353,23.06764706,4.167058824,126.5,535.7647059,476.2352941,1041.764706,409.2647059,1041.764706
"Salmon Beach",0.023798883,7.877094972,1.832402235,4.770949721,0.187150838,79.32960894,34.53075435,1.786073501,-1.547930368,1.547930368,-1.309787234,47.62862669,226.2359768,202.4216634,428.6576402,214.3288201,428.6576402
