site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
Eld Inlet,47.074603,-123.003527,13,72,188,16612698.02,1,1,1,1,31.10215962,-1.233361502,-1.233361502,1.447859155,-1.01886385
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,69,1806125.391,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,70,2362697.601,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,71,3124140.742,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,72,2002595.476,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
Elliot Bay Myrtle Edwards,47.61862,-122.36108,10,19,73,2882039.042,3,4,4,5,120.784217,6.173415536,-1.409149199,22.81479655,-1.20784217
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,29,6895112.507,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,30,12184392.72,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,31,8570642.497,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,32,9121682.642,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
Everett Harbor,47.9726,-122.22977,8.2,66,206,8135083.408,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,207,6115909.82,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,208,5808286.72,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,209,3196291.185,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,64,3613765.45,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,63,4330873.92,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,62,1670358.346,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
Filucy Bay,47.19483,-122.748665,13,59,177,10820612.01,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
