Individual ,Valve,notch,top,opp,bottom
136,R,0.5,0.3,0.71,2.47
137,L,0.77,0.7,0.64,1.75
137,R,0.31,0.34,0.53,1.77
138,L,0.43,0.53,0.63,1.97
138,R,0.47,0.21,0.52,1.92
139,L,0.54,0.28,0.49,1.26
139,R,0.39,0.44,0.47,2.01
140,L,0.43,0.47,0.64,2.34
140,R,0.49,0.58,0.58,2.46
141,L,0.47,0.38,0.44,1.44
141,R,0.41,0.61,0.61,1.6
142,L,0.77,0.56,0.53,1.82
142,R,0.79,0.62,0.63,2.04
143,L,0.6,0.42,0.66,1.95
143,R,0.54,0.66,0.69,1.67
144,L,0.57,0.56,0.45,1.73
144,R,0.59,0.49,0.53,1.6
145,L,0.5,0.19,0.42,1.95
145,R,0.54,0.24,0.47,2.09
146,L,0.51,0.41,0.51,1.91
146,R,0.59,0.4,0.52,2.16
147,L,0.63,0.38,0.59,2.25
147,R,0.53,0.52,0.61,2.17
148,L,0.43,0.29,0.57,1.61
148,R,0.35,0.5,0.45,1.63
149,L,0.42,0.46,0.38,2.23
149,R,0.47,0.31,0.56,2.28
150,L,0.56,0.33,0.4,1.43
150,R,0.36,0.37,0.35,1.65
151,L,0.73,0.62,0.84,2.11
151,R,0.64,0.76,0.74,2.12
152,L,0.63,0.24,0.38,1.59
152,R,0.39,0.64,0.31,1.49
153,L,0.22,0.23,0.41,1.72
153,R,0.47,0.22,0.45,1.95
154,L,0.4,0.27,0.5,1.87
154,R,0.29,0.37,0.48,2.1
155,L,0.3,0.17,0.31,1.7
155,R,0.47,0.43,0.6,1.79
156,L,0.49,0.27,0.78,2.43
156,R,0.53,0.32,0.56,2.66
157,L,0.35,0.21,0.62,2.11
157,R,0.36,0.27,0.34,2.29
158,L,0.54,0.53,0.54,2.31
158,R,0.46,0.46,0.6,2.2
159,L,0.48,0.41,0.43,1.64
159,R,0.52,0.45,0.46,1.62
160,L,0.39,0.22,0.48,1.83
160,R,0.39,0.4,0.52,1.77
161,L,0.49,0.45,0.48,1.92
161,R,0.39,0.44,0.57,1.87
162,L,0.31,0.51,0.49,1.72
162,R,0.25,0.43,0.37,1.85
163,L,0.37,0.44,0.53,1.79
163,R,0.41,0.36,0.54,2.01
164,L,0.38,0.42,0.54,1.57
164,R,0.45,0.34,0.51,1.77
165,L,0.58,0.39,0.5,2.09
165,R,0.36,0.8,0.41,1.88
166,L,0.46,0.15,0.45,2
166,R,0.47,0.13,0.64,2.18
167,L,0.24,0.38,0.57,2.22
167,R,0.29,0.27,0.47,2.33
168,L,0.54,0.24,0.55,2.43
168,R,0.45,0.2,0.3,2.28
169,L,0.35,0.09,0.46,1.77
169,R,0.3,0.11,0.46,2.13
170,L,0.16,0.2,0.61,2.56
170,R,0.28,0.33,0.54,2.52
171,L,0.33,0.46,0.55,2.06
171,R,0.37,0.39,0.42,2.07
172,L,0.44,0.39,0.39,1.62
172,R,0.31,0.42,0.48,1.92
173,L,0.33,0.2,0.34,1.99
173,R,0.23,0.24,0.38,2.37
174,L,0.29,0.34,0.53,2.12
174,R,0.26,0.26,0.37,2.18
175,L,0.24,0.55,0.56,1.94
175,R,0.24,0.52,0.48,1.99
176,L,0.41,0.68,0.49,2.62
176,R,0.36,0.83,0.54,2.49
177,L,0.45,0.2,0.58,1.57
177,R,0.5,0.26,0.57,1.94
178,L,0.34,0.46,0.79,2.13
178,R,0.66,0.42,0.62,2.16
179,L,0.57,0.17,0.68,3.24
179,R,0.58,0.41,0.52,2.55
180,L,0.47,0.21,0.51,2.16
180,R,0.28,0.08,0.49,2.38
181,L,0.41,0.27,0.47,1.89
181,R,0.4,0.47,0.51,1.98
182,L,0.23,0.45,0.54,1.89
182,R,0.24,0.18,0.68,2.02
183,L,0.23,0.18,0.53,1.8
183,R,0.29,0.3,0.28,1.65
184,L,0.47,0.47,0.73,1.92
184,R,0.47,0.11,0.62,1.97
185,L,0.2,0.28,0.64,2.08
185,R,0.26,0.34,0.53,2.09
186,L,0.33,0.17,0.42,1.58
186,R,0.32,0.25,0.38,1.57
187,L,0.21,0.25,0.34,1.36
187,R,0.29,0.28,0.54,1.69
188,L,0.38,0.37,0.52,2.06
188,R,0.47,0.31,0.5,2.07
189,L,0.28,0.21,0.62,1.82
189,R,0.29,0.3,0.42,2.01
190,L,0.55,0.54,0.85,1.6
190,R,0.22,0.29,0.63,2.06
191,L,0.3,0.2,0.61,1.57
191,R,0.33,0.39,0.88,2.28
192,L,0.46,0.68,0.47,1.25
192,R,0.73,0.76,0.57,1.68
193,L,0.34,0.18,0.55,1.14
193,R,0.4,0.37,0.43,1.71
194,L,0.51,0.48,0.79,1.57
194,R,0.62,0.49,0.81,1.44
195,L,0.55,0.45,0.56,1.62
195,R,0.48,0.52,0.27,1.94
196,L,0.39,0.64,0.66,1.35
196,R,0.49,0.79,0.52,1.72
197,L,0.79,0.52,0.58,1.44
197,R,0.76,0.96,0.75,1.69
198,L,0.49,0.73,0.59,1.4
198,R,0.48,0.47,0.62,2.01
199,L,0.68,0.63,0.6,1.43
199,R,0.82,0.56,0.81,2.09
200,L,0.53,0.36,0.78,1.82
200,R,0.49,0.52,0.56,2.35
201,L,0.46,0.33,0.51,1.52
201,R,0.2,0.45,0.39,1.67
202,L,0.53,0.39,0.88,1.55
202,R,0.43,0.44,0.53,1.62
203,L,0.49,0.36,0.4,1.66
203,R,0.29,0.29,0.37,1.46
204,L,0.44,0.56,0.43,1.34
204,R,0.3,0.52,0.62,1.67
205,L,0.63,0.57,0.57,1.27
205,R,0.54,0.56,0.74,2.3
206,L,0.86,0.28,0.83,1.42
206,R,0.53,0.39,0.81,1.96
207,L,0.55,0.35,0.98,1.58
207,R,0.77,0.44,0.63,1.6
208,L,0.48,0.34,0.61,1.26
208,R,0.56,0.33,0.45,1.37
209,L,0.36,0.54,0.55,1.21
209,R,0.29,0.39,0.39,1.67
210,L,0.38,0.43,0.65,2.44
210,R,0.37,0.38,0.45,2.06
211,L,0.35,0.29,0.47,1.8
211,R,0.32,0.52,0.65,1.91
212,L,0.63,0.35,0.71,1.62
212,R,0.71,0.24,0.61,2.23
213,L,0.24,0.26,0.56,1.85
213,R,0.3,0.37,0.49,1.6
214,L,0.44,0.42,0.47,2.14
214,R,0.42,0.58,0.55,2.6
215,L,0.34,0.42,0.64,1.51
215,R,0.29,0.31,0.59,1.69
216,L,0.22,0.43,0.36,1.39
216,R,0.23,0.28,0.3,1.6
217,L,0.48,0.21,0.74,1.96
217,R,0.59,0.39,0.64,2.02
218,L,0.24,0.31,0.43,1.31
218,R,0.24,0.22,0.2,1.68
219,L,0.37,0.33,0.34,0.86
219,R,0.33,0.2,0.55,1.74
220,L,0.45,0.46,0.71,1.45
220,R,0.48,0.48,0.61,1.8
221,L,0.33,0.19,0.62,1.35
221,R,0.4,0.32,0.36,1.52
222,L,0.61,0.59,0.51,1.3
222,R,0.58,0.57,0.62,2.38
223,L,0.21,0.31,0.53,1.28
223,R,0.47,0.18,0.39,1.65
224,L,0.42,0.61,0.73,1.09
224,R,0.36,0.64,0.49,1.55
225,L,0.47,0.64,0.61,1.65
225,R,0.46,0.59,0.44,1.92
226,L,0.4,0.34,0.5,1.24
226,R,0.33,0.39,0.54,1.45
227,L,0.36,0.73,0.69,1.46
227,R,0.44,1.09,0.55,1.75
228,L,0.26,0.41,0.35,0.94
228,R,0.45,0.36,0.45,2.08
229,L,0.5,0.62,0.47,1.37
229,R,0.42,0.5,0.69,1.98
230,L,0.46,0.54,0.64,1.46
230,R,N/A,N/A,N/A,N/A
231,L,0.64,0.5,0.79,2.01
231,R,0.35,0.49,0.67,2.22
232,L,0.37,0.16,0.77,1.8
232,R,0.46,0.19,0.47,1.71
233,L,0.31,0.26,0.59,2.39
233,R,0.3,0.46,0.36,2.47
234,L,0.27,0.15,0.57,1.61
234,R,0.38,0.59,0.33,1.59
235,L,0.25,0.31,0.36,1.8
235,R,0.13,0.37,0.34,1.75
236,L,0.35,0.21,0.34,1.4
