"","X","sample_id","latitude","longitude","lat_range.x","long_range.x","label.x","site_name","site_number","reporting_area","geo_group","p16.x","p42.x","plmw.x","phmw.x","pcb.x","p450","sod","shell","ci1","ci2","ci3","geo","lat_range.y","long_range.y","label.y","Analyte.x","Units.x","DryValue.x","Comments.x","pcb.y","DryValue_Group.x","Analyte.y","Units.y","DryValue.y","Comments.y","p16.y","DryValue_Group.y","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","p42.y","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","DryValue_Group.x.x","Analyte.x.x.x","Units.x.x.x","plmw.y","Comments.x.x.x","DryValue_Group.y.y","Analyte.y.y.y","Units.y.y.y","DryValue.x.x.x","Comments.y.y.y","phmw","DryValue_Group","Analyte","Units","DryValue.y.y.y","Comments","p42"
"158",158,158,47.2694,-122.4243,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Comm Bay, Milwaukee Waterway",49,11,3,1,1,1,1,4,13167667,16.268,0.955,0.035,0.683,0.055,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",47.1132075,NA,3,"3","SumPAHs16","ng/g",195.1832884,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2,"SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHsLMW","ng/g",390.3665768,NA,"2","SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2
"159",159,159,47.2694,-122.4243,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Comm Bay, Milwaukee Waterway",49,11,3,1,1,1,1,4,3461399,5.768,0.75,0.037,0.678,0.056,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",47.1132075,NA,3,"3","SumPAHs16","ng/g",195.1832884,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2,"SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHsLMW","ng/g",390.3665768,NA,"2","SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2
"160",160,160,47.2694,-122.4243,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Comm Bay, Milwaukee Waterway",49,11,3,1,1,1,1,4,8190625,13.784,0.75,0.035,0.695,0.053,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",47.1132075,NA,3,"3","SumPAHs16","ng/g",195.1832884,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2,"SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHsLMW","ng/g",390.3665768,NA,"2","SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2
"161",161,161,47.2694,-122.4243,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Comm Bay, Milwaukee Waterway",49,11,3,1,1,1,1,4,7886778,0.00354,0.83,0.034,0.622,0.049,"5","47.19 - 47.5","-122.64 - -122.33","Group 5
Lat: 47.19 - 47.5
Long: -122.64 - -122.33","Sum40CBs","ng/g",47.1132075,NA,3,"3","SumPAHs16","ng/g",195.1832884,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2,"SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHsLMW","ng/g",390.3665768,NA,"2","SumPAHsHMW","ng/g",215.3746631,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",599.0107817,NA,2
"162",162,162,48.064957,-122.857524,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Discovery Bay",12,6,3,2,2,2,1,3,5436068,17.512,0.745,0.034,0.675,0.046,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",11.7676906,NA,1,"1","SumPAHs16","ng/g",117.6769062,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1,"SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHsLMW","ng/g",136.5052112,NA,"1","SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1
"163",163,163,48.064957,-122.857524,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Discovery Bay",12,6,3,2,2,2,1,3,5773098,1.485,0.805,0.033,0.686,0.061,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",11.7676906,NA,1,"1","SumPAHs16","ng/g",117.6769062,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1,"SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHsLMW","ng/g",136.5052112,NA,"1","SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1
"164",164,164,48.064957,-122.857524,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Discovery Bay",12,6,3,2,2,2,1,3,1513621,15.957,0.75,0.033,0.683,0.069,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",11.7676906,NA,1,"1","SumPAHs16","ng/g",117.6769062,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1,"SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHsLMW","ng/g",136.5052112,NA,"1","SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1
"165",165,165,48.064957,-122.857524,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Discovery Bay",12,6,3,2,2,2,1,3,3207158,2.376,0.875,0.035,0.689,0.06,"2","47.78 - 48.21","-123.46 - -122.7","Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Sum40CBs","ng/g",11.7676906,NA,1,"1","SumPAHs16","ng/g",117.6769062,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1,"SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHsLMW","ng/g",136.5052112,NA,"1","SumPAHsHMW","ng/g",98.84860121,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",235.3538124,NA,1
"166",166,166,47.794695,-122.499858,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Kingston Marina",36,10,1,1,1,1,1,2,2382760,4.546,0.815,0.035,0.672,0.055,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",36.4014621,NA,2,"2","SumPAHs16","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1,"SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHsLMW","ng/g",149.5060052,NA,"1","SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1
"167",167,167,47.794695,-122.499858,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Kingston Marina",36,10,1,1,1,1,1,2,7415597,7.722,0.845,0.033,0.657,0.045,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",36.4014621,NA,2,"2","SumPAHs16","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1,"SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHsLMW","ng/g",149.5060052,NA,"1","SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1
"168",168,168,47.794695,-122.499858,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Kingston Marina",36,10,1,1,1,1,1,2,4668354,3.94,0.875,0.027,0.614,0.051,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",36.4014621,NA,2,"2","SumPAHs16","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1,"SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHsLMW","ng/g",149.5060052,NA,"1","SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1
"169",169,169,47.794695,-122.499858,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Kingston Marina",36,10,1,1,1,1,1,2,7376508,1.276,0.71,0.03,0.604,0.042,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",36.4014621,NA,2,"2","SumPAHs16","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1,"SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHsLMW","ng/g",149.5060052,NA,"1","SumPAHsHMW","ng/g",123.5049608,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",273.0109661,NA,1
"170",170,170,47.578117,-122.524833,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Rich Passage",32,10,2,1,1,1,1,2,1476766,3.506,0.9,0.035,0.717,0.054,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",55.8984598,NA,4,"3","SumPAHs16","ng/g",142.7194719,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2,"SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHsLMW","ng/g",190.2926293,NA,"1","SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2
"171",171,171,47.578117,-122.524833,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Rich Passage",32,10,2,1,1,1,1,2,11738656,2.631,0.83,0.035,0.694,0.053,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",55.8984598,NA,4,"3","SumPAHs16","ng/g",142.7194719,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2,"SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHsLMW","ng/g",190.2926293,NA,"1","SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2
"172",172,172,47.578117,-122.524833,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Rich Passage",32,10,2,1,1,1,1,2,2880897,1.143,0.745,0.034,0.723,0.058,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",55.8984598,NA,4,"3","SumPAHs16","ng/g",142.7194719,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2,"SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHsLMW","ng/g",190.2926293,NA,"1","SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2
"173",173,173,47.578117,-122.524833,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Rich Passage",32,10,2,1,1,1,1,2,4148180,1.999,0.765,0.035,0.715,0.049,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",55.8984598,NA,4,"3","SumPAHs16","ng/g",142.7194719,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2,"SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHsLMW","ng/g",190.2926293,NA,"1","SumPAHsHMW","ng/g",142.7194719,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",338.9587459,NA,2
"174",174,174,47.19483,-122.748665,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Filucy Bay",59,13,2,1,1,1,1,2,12472188,6.866,0.795,0.027,0.599,0.034,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",41.5164718,NA,3,"2","SumPAHs16","ng/g",65.24017003,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1,"SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHsLMW","ng/g",88.96386823,NA,"1","SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1
"175",175,175,47.19483,-122.748665,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Filucy Bay",59,13,2,1,1,1,1,2,6726341,2.006,0.815,0.045,0.694,0.053,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",41.5164718,NA,3,"2","SumPAHs16","ng/g",65.24017003,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1,"SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHsLMW","ng/g",88.96386823,NA,"1","SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1
"176",176,176,47.19483,-122.748665,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Filucy Bay",59,13,1,1,1,1,1,3,13491947,10.585,1.055,0.042,0.669,0.05,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",41.5164718,NA,3,"2","SumPAHs16","ng/g",65.24017003,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1,"SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHsLMW","ng/g",88.96386823,NA,"1","SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1
"177",177,177,47.19483,-122.748665,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Filucy Bay",59,13,1,1,1,1,1,3,10820612,0.579,0.76,0.034,0.648,0.046,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",41.5164718,NA,3,"2","SumPAHs16","ng/g",65.24017003,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1,"SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHsLMW","ng/g",88.96386823,NA,"1","SumPAHsHMW","ng/g",59.30924548,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",148.2731137,NA,1
"178",178,178,47.3539722,-122.69175,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Minter Bay",55,13,1,1,1,1,1,3,5146723,8.582,0.95,0.042,0.631,0.052,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.5795918,NA,2,"2","SumPAHs16","ng/g",78.94897959,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1,"SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHsLMW","ng/g",98.68622449,NA,"1","SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1
"179",179,179,47.3539722,-122.69175,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Minter Bay",55,13,1,1,1,1,1,3,6537218,5.088,1.095,0.029,0.643,0.049,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.5795918,NA,2,"2","SumPAHs16","ng/g",78.94897959,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1,"SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHsLMW","ng/g",98.68622449,NA,"1","SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1
"180",180,180,47.3539722,-122.69175,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Minter Bay",55,13,5,1,1,2,1,3,11216182,2.002,0.825,0.033,0.663,0.048,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.5795918,NA,2,"2","SumPAHs16","ng/g",78.94897959,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1,"SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHsLMW","ng/g",98.68622449,NA,"1","SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1
"181",181,181,47.3539722,-122.69175,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Minter Bay",55,13,5,1,1,2,1,3,9219025,4.367,0.8,0.043,0.665,0.055,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.5795918,NA,2,"2","SumPAHs16","ng/g",78.94897959,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1,"SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHsLMW","ng/g",98.68622449,NA,"1","SumPAHsHMW","ng/g",65.79081633,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",164.4770408,NA,1
"182",182,182,47.052362,-122.910912,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","West Bay Park",73,13,5,1,1,2,1,3,10107487,2.621,0.78,0.032,0.672,0.057,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",46.5653827,NA,3,"3","SumPAHs16","ng/g",161.9665484,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2,"SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHsLMW","ng/g",182.212367,NA,"1","SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2
"183",183,183,47.052362,-122.910912,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","West Bay Park",73,13,5,1,1,2,1,3,4200104,9.357,0.66,0.033,0.719,0.067,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",46.5653827,NA,3,"3","SumPAHs16","ng/g",161.9665484,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2,"SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHsLMW","ng/g",182.212367,NA,"1","SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2
"184",184,184,47.052362,-122.910912,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","West Bay Park",73,13,1,1,1,1,1,2,15718988,5.789,0.845,0.035,0.696,0.058,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",46.5653827,NA,3,"3","SumPAHs16","ng/g",161.9665484,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2,"SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHsLMW","ng/g",182.212367,NA,"1","SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2
"185",185,185,47.052362,-122.910912,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","West Bay Park",73,13,1,1,1,1,1,2,4006827,0.745,0.805,0.031,0.66,0.043,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",46.5653827,NA,3,"3","SumPAHs16","ng/g",161.9665484,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2,"SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHsLMW","ng/g",182.212367,NA,"1","SumPAHsHMW","ng/g",202.4581855,NA,2,"1","SumPAHs42_DMNcorrected","ng/g",384.6705525,NA,2
"186",186,186,47.074603,-123.003527,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Eld Inlet",72,13,1,1,1,1,1,2,5090881,10.975,0.63,0.034,0.733,0.066,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.1021596,NA,2,"2","SumPAHs16","ng/g",64.34929577,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1,"SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHsLMW","ng/g",96.52394366,NA,"1","SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1
"187",187,187,47.074603,-123.003527,"47.05 - 47.57",-0.33,"Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Eld Inlet",72,13,1,1,1,1,1,2,1009809,12.54,0.62,0.035,0.687,0.061,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.1021596,NA,2,"2","SumPAHs16","ng/g",64.34929577,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1,"SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHsLMW","ng/g",96.52394366,NA,"1","SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1
"188",188,188,47.074603,-123.003527,"47.81 - 48.26",-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23","Eld Inlet",72,13,6,2,2,2,2,2,16612698,7.04,0.835,0.034,0.72,0.064,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.1021596,NA,2,"2","SumPAHs16","ng/g",64.34929577,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1,"SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHsLMW","ng/g",96.52394366,NA,"1","SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1
"189",189,189,47.074603,-123.003527,"47.81 - 48.26",-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23","Eld Inlet",72,13,6,2,2,2,2,2,16495985,8.89,0.745,0.033,0.722,0.058,"1","47.05 - 47.57","-123 - -122.67","Group 1
Lat: 47.05 - 47.57
Long: -123 - -122.67","Sum40CBs","ng/g",31.1021596,NA,2,"2","SumPAHs16","ng/g",64.34929577,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1,"SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHsLMW","ng/g",96.52394366,NA,"1","SumPAHsHMW","ng/g",75.0741784,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",171.5981221,NA,1
"190",190,190,48.0697859,-122.2997764,"47.81 - 48.26",-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23","Tulalip Reservation",70,8.2,6,2,2,2,2,2,9509258,2.633,0.845,0.031,0.673,0.055,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",22.9909958,NA,1,"1","SumPAHs16","ng/g",123.7976695,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1,"SumPAHsHMW","ng/g",117.9025424,NA,1,"1","SumPAHsLMW","ng/g",135.5879237,NA,"1","SumPAHsHMW","ng/g",117.9025424,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1
"191",191,191,48.0697859,-122.2997764,"47.81 - 48.26",-0.28,"Group 6
Lat: 47.81 - 48.26
Long: -122.51 - -122.23","Tulalip Reservation",70,8.2,6,2,2,2,2,2,3760566,3.166,0.82,0.034,0.694,0.049,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",22.9909958,NA,1,"1","SumPAHs16","ng/g",123.7976695,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1,"SumPAHsHMW","ng/g",117.9025424,NA,1,"1","SumPAHsLMW","ng/g",135.5879237,NA,"1","SumPAHsHMW","ng/g",117.9025424,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1
"192",192,192,48.0697859,-122.2997764,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Tulalip Reservation",70,8.2,4,4,4,5,4,1,4598260,0.00354,0.83,0.031,0.691,0.046,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",22.9909958,NA,1,"1","SumPAHs16","ng/g",123.7976695,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1,"SumPAHsHMW","ng/g",117.9025424,NA,1,"1","SumPAHsLMW","ng/g",135.5879237,NA,"1","SumPAHsHMW","ng/g",117.9025424,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",253.4904661,NA,1
