"","X","sample_id","latitude","longitude","lat_range.x","long_range.x","label.x","site_name","site_number","reporting_area","geo_group","p16.x","p42.x","plmw.x","phmw.x","pcb.x","p450","sod","shell","ci1","ci2","ci3","geo","lat_range.y","long_range.y","label.y","Analyte.x","Units.x","DryValue.x","Comments.x","pcb.y","DryValue_Group.x","Analyte.y","Units.y","DryValue.y","Comments.y","p16.y","DryValue_Group.y","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","p42.y","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","DryValue_Group.x.x","Analyte.x.x.x","Units.x.x.x","plmw.y","Comments.x.x.x","DryValue_Group.y.y","Analyte.y.y.y","Units.y.y.y","DryValue.x.x.x","Comments.y.y.y","phmw","DryValue_Group","Analyte","Units","DryValue.y.y.y","Comments","p42"
"22",22,22,47.8111,-122.388,"47.5 - 47.79",-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34","Edmonds Marina",68,9,3,2,2,2,1,2,6702704,11.402,0.885,0.035,0.703,0.053,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",40.999446,NA,3,"2","SumPAHs16","ng/g",374.8520776,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3,"SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHsLMW","ng/g",304.567313,NA,"1","SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3
"23",23,23,47.8111,-122.388,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Edmonds Marina",68,9,2,1,1,1,1,1,52691211,23.271,0.865,0.033,0.662,0.05,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",40.999446,NA,3,"2","SumPAHs16","ng/g",374.8520776,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3,"SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHsLMW","ng/g",304.567313,NA,"1","SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3
"24",24,24,47.8111,-122.388,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Edmonds Marina",68,9,2,1,1,1,1,1,NA,13.708,0.645,0.031,0.703,0.048,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",40.999446,NA,3,"2","SumPAHs16","ng/g",374.8520776,NA,3,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3,"SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHsLMW","ng/g",304.567313,NA,"1","SumPAHsHMW","ng/g",374.8520776,NA,2,"2","SumPAHs42_DMNcorrected","ng/g",702.8476454,NA,3
"25",25,25,48.68975,-122.50434,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Chuckanut, Clark's Point",74,7,2,1,1,1,1,1,4394757,2.552,0.985,0.034,0.667,0.055,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.378803,NA,1,"1","SumPAHs16","ng/g",80.33416459,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1,"SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHsLMW","ng/g",131.9775561,NA,"1","SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1
"26",26,26,48.68975,-122.50434,"47.78 - 48.21",-0.76,"Group 2
Lat: 47.78 - 48.21
Long: -123.46 - -122.7","Chuckanut, Clark's Point",74,7,2,1,1,1,1,1,2351039,8.472,0.8,0.037,0.708,0.067,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.378803,NA,1,"1","SumPAHs16","ng/g",80.33416459,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1,"SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHsLMW","ng/g",131.9775561,NA,"1","SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1
"27",27,27,48.68975,-122.50434,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chuckanut, Clark's Point",74,7,5,2,2,2,1,3,3154062,13.731,0.475,0.032,0.729,0.042,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.378803,NA,1,"1","SumPAHs16","ng/g",80.33416459,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1,"SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHsLMW","ng/g",131.9775561,NA,"1","SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1
"28",28,28,48.68975,-122.50434,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chuckanut, Clark's Point",74,7,5,2,2,2,1,3,1063513,20.089,0.65,0.032,0.657,0.056,"4","48.26 - 48.82","-123.02 - -122.5","Group 4
Lat: 48.26 - 48.82
Long: -123.02 - -122.5","Sum40CBs","ng/g",22.378803,NA,1,"1","SumPAHs16","ng/g",80.33416459,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1,"SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHsLMW","ng/g",131.9775561,NA,"1","SumPAHsHMW","ng/g",74.59600998,NA,1,"1","SumPAHs42_DMNcorrected","ng/g",206.5735661,NA,1
"29",29,29,47.58766,-122.35065,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Elliott Bay, Harbor Island, Pier 17",14,10,5,2,2,2,1,3,6895113,1.234,0.785,0.034,0.657,0.044,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",108.407468,NA,7,"5","SumPAHs16","ng/g",1882.866557,NA,5,"3","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5,"SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHsLMW","ng/g",1141.131247,"dNPH Surrogate recovery below minimum QA value (60%)","3","SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5
"30",30,30,47.58766,-122.35065,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Elliott Bay, Harbor Island, Pier 17",14,10,5,2,2,2,1,3,12184393,6.551,0.66,0.034,0.668,0.045,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",108.407468,NA,7,"5","SumPAHs16","ng/g",1882.866557,NA,5,"3","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5,"SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHsLMW","ng/g",1141.131247,"dNPH Surrogate recovery below minimum QA value (60%)","3","SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5
"31",31,31,47.58766,-122.35065,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Elliott Bay, Harbor Island, Pier 17",14,10,4,1,2,2,1,1,8570642,13.24,1.04,0.036,0.631,0.047,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",108.407468,NA,7,"5","SumPAHs16","ng/g",1882.866557,NA,5,"3","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5,"SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHsLMW","ng/g",1141.131247,"dNPH Surrogate recovery below minimum QA value (60%)","3","SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5
"32",32,32,47.58766,-122.35065,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Elliott Bay, Harbor Island, Pier 17",14,10,4,1,2,2,1,1,9121683,0.975,0.94,0.033,0.657,0.05,"3","47.54 - 48.07","-122.7 - -122.23","Group 3
Lat: 47.54 - 48.07
Long: -122.7 - -122.23","Sum40CBs","ng/g",108.407468,NA,7,"5","SumPAHs16","ng/g",1882.866557,NA,5,"3","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5,"SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHsLMW","ng/g",1141.131247,"dNPH Surrogate recovery below minimum QA value (60%)","3","SumPAHsHMW","ng/g",2054.036244,"dNPH Surrogate recovery below minimum QA value (60%)",5,"4","SumPAHs42_DMNcorrected","ng/g",3195.16749,NA,5
