site_name,site_number,latitude,longitude,p450,SOD,condition_factor,avg_thickness,arsenic,cadmium,copper,lead,mercuryTotal,SumBDEs,SumCHLDs,SumDDTs,SumHCHs,SumPAHs16,SumPAHsHMW,SumPCBs2x17,Zinc,acenaphthene,anthracene,benz[a]anthracene,benzo[a]pyrene,benzo[b]fluoranthene,benzo[e]pyrene,benzo[ghi]perylene,benzo[k]fluoranthene,C1-benzanthracenes/chrysenes,C1-dibenzothiophenes,C1-fluoranthenes/pyrenes,C1-fluorenes,C1-naphthalenes,C1-phenanthrenes/anthracenes,C2-benzanthracenes/chrysenes,C2-dibenzothiophenes,C2-fluoranthenes/pyrenes,C2-fluorenes,C2-naphthalenes,C2-phenanthrenes/anthracenes,C3-benzanthracenes/chrysenes,C3-dibenzothiophenes,C3-fluoranthenes/pyrenes,C3-fluorenes,C3-naphthalenes,C3-phenanthrenes/anthracenes,C4-benzanthracenes/chrysenes,C4-dibenzothiophenes,C4-fluoranthenes/pyrenes,C4-naphthalenes,C4-phenanthrenes/anthracenes,chrysene,"dibenz[a,h]anthracene",dibenzothiophene,"indeno[1,2,3-cd]pyrene",phenanthrene
Brackenwood Ln,23,47.68234,-122.5064,1269238,0,0.1901,0.555,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,2.005830212,NA,2.182815231,NA,176.9850187,176.9850187,NA,90.53254438,NA,NA,12.97890137,NA,9.439200999,6.489450687,NA,11.79900125,7.079400749,NA,15.33870162,NA,NA,27.13770287,3.7756804,NA,8.259300874,4.719600499,10.02915106,NA,NA,NA,4.424625468,10.61910112,NA,30.08745318,NA,NA,NA,NA,23.00805243,21.82815231,NA,NA,NA,37.16685393
Brackenwood Ln,23,47.68234,-122.5064,1783953,23.205,0.2078,0.75,8.698224852,1.857988166,6.213017751,0.220118343,0.037455621,2.005830212,NA,2.182815231,NA,176.9850187,176.9850187,NA,90.53254438,NA,NA,12.97890137,NA,9.439200999,6.489450687,NA,11.79900125,7.079400749,NA,15.33870162,NA,NA,27.13770287,3.7756804,NA,8.259300874,4.719600499,10.02915106,NA,NA,NA,4.424625468,10.61910112,NA,30.08745318,NA,NA,NA,NA,23.00805243,21.82815231,NA,NA,NA,37.16685393
Broad Spit (Fisherman's Point),30,47.78184,-122.83474,1266317,0.897,0.1206,0.645,7.712418301,2.058823529,5.058823529,0.069934641,NA,NA,NA,NA,NA,35.49905081,18.75421552,NA,67.97385621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04690117,NA,NA,NA,NA,NA,12.72607482,NA,NA,4.424625468,10.61910112,NA,5.626264657,NA,NA,NA,NA,7.367727527,8.70731435,NA,NA,NA,16.74483529
Broad Spit (Fisherman's Point),30,47.78184,-122.83474,1780096,10.875,0.1735,0.56,7.712418301,2.058823529,5.058823529,0.069934641,NA,NA,NA,NA,NA,35.49905081,18.75421552,NA,67.97385621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04690117,NA,NA,NA,NA,NA,12.72607482,NA,NA,4.424625468,10.61910112,NA,5.626264657,NA,NA,NA,NA,7.367727527,8.70731435,NA,NA,NA,16.74483529
Broad Spit (Fisherman's Point),30,47.78184,-122.83474,1386547,9.277,0.2064,0.66,7.712418301,2.058823529,5.058823529,0.069934641,NA,NA,NA,NA,NA,35.49905081,18.75421552,NA,67.97385621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04690117,NA,NA,NA,NA,NA,12.72607482,NA,NA,4.424625468,10.61910112,NA,5.626264657,NA,NA,NA,NA,7.367727527,8.70731435,NA,NA,NA,16.74483529
Broad Spit (Fisherman's Point),30,47.78184,-122.83474,4813963,7.416,0.194,0.79,7.712418301,2.058823529,5.058823529,0.069934641,NA,NA,NA,NA,NA,35.49905081,18.75421552,NA,67.97385621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04690117,NA,NA,NA,NA,NA,12.72607482,NA,NA,4.424625468,10.61910112,NA,5.626264657,NA,NA,NA,NA,7.367727527,8.70731435,NA,NA,NA,16.74483529
Browns Point Lighthouse,54,47.30515,-122.44441,2165448,0,0.1794,0.84,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,NA,2.340272374,8.190953307,NA,175.520428,181.3711089,NA,90.34090909,4.212490272,5.031585603,12.28642996,NA,7.605885214,7.605885214,NA,9.946157588,9.946157588,NA,15.79683852,NA,NA,27.49820039,7.605885214,4.622037938,8.776021401,5.850680934,NA,35.1040856,4.212490272,5.558146887,7.020817121,10.53122568,16.38190661,29.25340467,NA,4.270997082,NA,11.11629377,28.08326848,21.64751946,NA,NA,NA,32.17874514
Browns Point Lighthouse,54,47.30515,-122.44441,9793068,1.51,0.1766,0.8,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,NA,2.340272374,8.190953307,NA,175.520428,181.3711089,NA,90.34090909,4.212490272,5.031585603,12.28642996,NA,7.605885214,7.605885214,NA,9.946157588,9.946157588,NA,15.79683852,NA,NA,27.49820039,7.605885214,4.622037938,8.776021401,5.850680934,NA,35.1040856,4.212490272,5.558146887,7.020817121,10.53122568,16.38190661,29.25340467,NA,4.270997082,NA,11.11629377,28.08326848,21.64751946,NA,NA,NA,32.17874514
Browns Point Lighthouse,54,47.30515,-122.44441,7655768,2.472,0.2028,0.82,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,NA,2.340272374,8.190953307,NA,175.520428,181.3711089,NA,90.34090909,4.212490272,5.031585603,12.28642996,NA,7.605885214,7.605885214,NA,9.946157588,9.946157588,NA,15.79683852,NA,NA,27.49820039,7.605885214,4.622037938,8.776021401,5.850680934,NA,35.1040856,4.212490272,5.558146887,7.020817121,10.53122568,16.38190661,29.25340467,NA,4.270997082,NA,11.11629377,28.08326848,21.64751946,NA,NA,NA,32.17874514
Browns Point Lighthouse,54,47.30515,-122.44441,9992165,1.531,0.2024,0.935,8.465909091,1.710227273,6.931818182,0.260795455,0.032954545,NA,2.340272374,8.190953307,NA,175.520428,181.3711089,NA,90.34090909,4.212490272,5.031585603,12.28642996,NA,7.605885214,7.605885214,NA,9.946157588,9.946157588,NA,15.79683852,NA,NA,27.49820039,7.605885214,4.622037938,8.776021401,5.850680934,NA,35.1040856,4.212490272,5.558146887,7.020817121,10.53122568,16.38190661,29.25340467,NA,4.270997082,NA,11.11629377,28.08326848,21.64751946,NA,NA,NA,32.17874514
