site_name,latitude,longitude,reporting_area,site_number,sample_id,p450,mercury,arsenic,cadmium,copper,lead,zinc,lmwPAH,PAH16,sumPCB,hmwPAH,sumPAH,PAHgroup,PAHgroup2
Purdy - Dexters,47.38566,-122.627255,13,57,145,5961109.649,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low,low
Purdy - Dexters,47.38566,-122.627255,13,57,146,5111770.767,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low,low
Purdy - Dexters,47.38566,-122.627255,13,57,147,3923932.654,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low,low
Purdy - Dexters,47.38566,-122.627255,13,57,148,3318363.023,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825,91.78878428,68.84158821,44.74703234,57.36799018,149.1567745,low,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,41,1820616.389,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,42,3013774.793,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,43,956165.3963,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low,low
Penn Cove Reference,48.21423,-122.718972,8.1,3,44,3372680.626,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444,109.7256294,64.37236927,34.38069722,46.81626856,160.9309232,low,low
Minter Bay,47.3539722,-122.69175,13,55,180,11216181.9,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low,low
Minter Bay,47.3539722,-122.69175,13,55,178,5146723.322,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low,low
Minter Bay,47.3539722,-122.69175,13,55,179,6537217.569,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low,low
Minter Bay,47.3539722,-122.69175,13,55,181,9219025.002,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100,98.68622449,78.94897959,42.10612245,65.79081633,164.4770408,low,low
North Camano,48.255358,-122.507014,8.1,7,303,8854710.291,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low,low
North Camano,48.255358,-122.507014,8.1,7,304,32449887.32,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low,low
North Camano,48.255358,-122.507014,8.1,7,305,5141533.342,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75,107.9148418,63.47931873,26.66131387,54.59221411,165.0462287,low,low
