site_name,analyte,dryvalue
Madrona Pont,SumCHLDs,-1.265565749
Aiston Preserve,SumCHLDs,-1.095784314
Penn Cove Reference,SumCHLDs,-1.389857973
Hood Canal Holly,SumCHLDs,-1.57078341
Broad Spit,SumCHLDs,-1.272607482
Penn Cove Baseline 1,SumCHLDs,-0.699343843
Penn Cove Baseline 2,SumCHLDs,-1.006530612
Penn Cove Baseline 3,SumCHLDs,-0.639488043
"Manchester, Stormwater Outfall",SumCHLDs,-1.368227249
"Suquamish, Stormwater Outfall",SumCHLDs,-0.902177419
"Silverdale, Dyes Inlet",SumCHLDs,-1.233733032
Kingston Marina,SumCHLDs,-1.235049608
Eagle Harbor Dr,SumCHLDs,-1.512416312
Point Defiance Ferry,SumCHLDs,-1.158039962
Donkey Creek Delta,SumCHLDs,-1.05793765
"Seattle Aquarium, Pier 59",SumCHLDs,-1.166456693
"Cherry Point Aquatic Reserve, Conoco Phillips",SumCHLDs,-1.026235932
Mukilteo,SumCHLDs,-1.229963973
Everett Harbor,SumCHLDs,-1.464631937
Tulalip Bay,SumCHLDs,-1.297788235
Edmonds Marina,SumCHLDs,-0.937130194
Edmonds Ferry,SumCHLDs,-1.227714953
Rich Passage,SumCHLDs,-0.8919967
Meyer's Point - Henderson Inlet,SumCHLDs,-1.338246269
"Purdy, Burley Lagoon",SumCHLDs,-1.046332197
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumCHLDs,-2.035089451
Elliot Bay Myrtle Edwards,SumCHLDs,-1.409149199
Jamestown,SumCHLDs,-1.392056221
Oak Bay County Park,SumCHLDs,-1.346577079
Maristone Island,SumCHLDs,-1.411104879
Penrose Point State Park,SumCHLDs,-1.122216243
Maple Hollow Park,SumCHLDs,-1.177777778
Kopachuck State Park,SumCHLDs,-1.079580553
Raft Island Park,SumCHLDs,-1.336773619
Minter Bay,SumCHLDs,-1.25002551
Chambers Bay Park,SumCHLDs,-0.825809199
Purdy - Dexters,SumCHLDs,-1.089991813
Gig Harbor Boat Launch,SumCHLDs,-1.231314168
Filucy Bay,SumCHLDs,-1.126875664
Arroyo Beach,SumDDTs,2.401331558
Brackenwood Ln,SumDDTs,2.182815231
Salmon Beach,SumDDTs,1.547930368
Skiff Point,SumDDTs,2.071815182
Blair Waterway,SumDDTs,9.901293723
"Chuckanut, Clark's Point",SumDDTs,4.418379052
Kitsap St Boat Launch,SumDDTs,7.080996384
"Eastsound, Fishing Bay",SumDDTs,1.3776771
"Elliott Bay, Harbor Island, Pier 17",SumDDTs,10.27018122
Williams Olson Park,SumDDTs,2.169022005
Rocky Point,SumDDTs,2.496338631
N Avenue Park,SumDDTs,10.31091811
Port Angeles Yacht Club,SumDDTs,7.813402062
Discovery Bay,SumDDTs,1.035556775
Squaxin Island,SumDDTs,1.294719101
Eld Inlet,SumDDTs,1.447859155
North Camano,SumDDTs,4.316593674
Reach Island,SumDDTs,1.459528689
Friday Harbor,SumDDTs,1.316066746
Tulalip Reservation,SumDDTs,1.296927966
Three Tree Point,SumDDTs,2.827753479
Cap Sante,SumDDTs,6.175430657
Locust Beach,SumDDTs,4.352148715
Blair Waterway #2,SumDDTs,17.71755909
West Bay Park,SumDDTs,2.969386721
Lions Park,SumDDTs,3.027560976
Madrona Pont,SumDDTs,2.591396534
Aiston Preserve,SumDDTs,1.82630719
Penn Cove Reference,SumDDTs,4.315874758
Penn Cove Baseline 1,SumDDTs,0.749296975
Penn Cove Baseline 3,SumDDTs,0.639488043
"Manchester, Stormwater Outfall",SumDDTs,2.394397685
"Suquamish, Stormwater Outfall",SumDDTs,3.222062212
"Silverdale, Dyes Inlet",SumDDTs,5.072013575
Kingston Marina,SumDDTs,1.885075718
Eagle Harbor Dr,SumDDTs,4.605995131
Point Defiance Ferry,SumDDTs,3.416217888
"Smith Cove, Terminal 91",SumDDTs,33.16519364
Donkey Creek Delta,SumDDTs,2.578723022
Comm Bay Skookum,SumDDTs,27.69802456
Thea Foss Waterway,SumDDTs,9.086779324
"Salmon Bay, Commodore Park",SumDDTs,23.06764706
"Seattle Aquarium, Pier 59",SumDDTs,10.36850394
"Cherry Point Aquatic Reserve, Conoco Phillips",SumDDTs,1.992105044
Mukilteo,SumDDTs,1.942048379
Everett Harbor,SumDDTs,1.86407701
