"","sample_id","latitude","longitude","lat_range","long_range","label","site_name","site_number","reporting_area","geo_group","p450","sod","shell","ci1","ci2","ci3","Analyte.x","Units.x","DryValue.x","Comments.x","p16","Analyte.y","Units.y","DryValue.y","Comments.y","p42","Analyte.x.x","Units.x.x","DryValue.x.x","Comments.x.x","phmw.x","Analyte.y.y","Units.y.y","DryValue.y.y","Comments.y.y","phmw.y","Analyte.x.x.x","Units.x.x.x","DryValue","Comments.x.x.x","pcb","Analyte.y.y.y","Units.y.y.y","plmw","Comments.y.y.y","DryValue_Group"
"33",216,48.520971,-122.600717,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cap Sante",64,7,4,4058856,5.642,0.705,33.972,0.6425,0.0487,"SumPAHs16","ng/g",63.66423358,NA,1,"SumPAHs42_DMNcorrected","ng/g",375.6189781,NA,2,"SumPAHsHMW","ng/g",120.9620438,NA,1,"SumPAHsHMW","ng/g",120.9620438,NA,1,"Sum40CBs","ng/g",22.2824818,NA,1,"SumPAHsLMW","ng/g",254.6569343,NA,"2"
"34",217,48.520971,-122.600717,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cap Sante",64,7,4,2991933,9.761,0.86,34.715,0.6677,0.0453,"SumPAHs16","ng/g",63.66423358,NA,1,"SumPAHs42_DMNcorrected","ng/g",375.6189781,NA,2,"SumPAHsHMW","ng/g",120.9620438,NA,1,"SumPAHsHMW","ng/g",120.9620438,NA,1,"Sum40CBs","ng/g",22.2824818,NA,1,"SumPAHsLMW","ng/g",254.6569343,NA,"2"
"35",127,47.1905742,-122.5834897,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chambers Bay Park",56,13,5,3977493,1.005,0.935,35.234,0.676,0.0566,"SumPAHs16","ng/g",70.78364566,NA,1,"SumPAHs42_DMNcorrected","ng/g",182.8577513,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"Sum40CBs","ng/g",35.3918228,NA,2,"SumPAHsLMW","ng/g",106.1754685,NA,"1"
"36",128,47.1905742,-122.5834897,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chambers Bay Park",56,13,5,3836553,1.463,0.975,34.381,0.6271,0.0506,"SumPAHs16","ng/g",70.78364566,NA,1,"SumPAHs42_DMNcorrected","ng/g",182.8577513,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"Sum40CBs","ng/g",35.3918228,NA,2,"SumPAHsLMW","ng/g",106.1754685,NA,"1"
"37",129,47.1905742,-122.5834897,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chambers Bay Park",56,13,5,6882929,7.19,0.695,32.133,0.6612,0.0547,"SumPAHs16","ng/g",70.78364566,NA,1,"SumPAHs42_DMNcorrected","ng/g",182.8577513,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"Sum40CBs","ng/g",35.3918228,NA,2,"SumPAHsLMW","ng/g",106.1754685,NA,"1"
"38",130,47.1905742,-122.5834897,"47.19 - 47.45",-0.31,"Group 5
Lat: 47.19 - 47.45
Long: -122.64 - -122.33","Chambers Bay Park",56,13,5,6222187,4.194,0.8,33.077,0.658,0.0537,"SumPAHs16","ng/g",70.78364566,NA,1,"SumPAHs42_DMNcorrected","ng/g",182.8577513,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"SumPAHsHMW","ng/g",76.68228279,NA,1,"Sum40CBs","ng/g",35.3918228,NA,2,"SumPAHsLMW","ng/g",106.1754685,NA,"1"
"39",33,48.8208,-122.7101,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,NA,17.324,0.66,33.067,0.6859,0.0494,"SumPAHs16","ng/g",126.770321,NA,1,"SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"SumPAHsHMW","ng/g",150.9170488,NA,1,"Sum40CBs","ng/g",30.1834098,NA,2,"SumPAHsLMW","ng/g",169.0270946,NA,"2"
"40",34,48.8208,-122.7101,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,4654335,6.966,0.865,32.345,0.6644,0.0526,"SumPAHs16","ng/g",126.770321,NA,1,"SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"SumPAHsHMW","ng/g",150.9170488,NA,1,"Sum40CBs","ng/g",30.1834098,NA,2,"SumPAHsLMW","ng/g",169.0270946,NA,"2"
"41",35,48.8208,-122.7101,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,2017393,22.233,0.545,35.666,0.727,0.0599,"SumPAHs16","ng/g",126.770321,NA,1,"SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"SumPAHsHMW","ng/g",150.9170488,NA,1,"Sum40CBs","ng/g",30.1834098,NA,2,"SumPAHsLMW","ng/g",169.0270946,NA,"2"
"42",36,48.8208,-122.7101,"48.48 - 48.82",-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5","Cherry Point Aquatic Reserve, Conoco Phillips",75,7,4,3364046,34.492,0.645,32.993,0.6861,0.0491,"SumPAHs16","ng/g",126.770321,NA,1,"SumPAHs42_DMNcorrected","ng/g",325.9808253,NA,2,"SumPAHsHMW","ng/g",150.9170488,NA,1,"SumPAHsHMW","ng/g",150.9170488,NA,1,"Sum40CBs","ng/g",30.1834098,NA,2,"SumPAHsLMW","ng/g",169.0270946,NA,"2"
