"site_name","p450_Range_Min","p450_Range_Max","p450_Percentile_2.5","p450_Percentile_97.5","p450_Median","SOD_Range_Min","SOD_Range_Max","SOD_Percentile_2.5","SOD_Percentile_97.5","SOD_Median","condition_factor_Range_Min","condition_factor_Range_Max","condition_factor_Percentile_2.5","condition_factor_Percentile_97.5","condition_factor_Median","avg_thickness_Range_Min","avg_thickness_Range_Max","avg_thickness_Percentile_2.5","avg_thickness_Percentile_97.5","avg_thickness_Median"
"Shilshole Bay",2013492,4026125,2055133.875,3937387.7,2705839,0.854,24.401,0.905525,23.53325,7.186,0.128,0.1727,0.12971,0.17129,0.15235,0.515,0.575,0.518375,0.575,0.5675
"Silverdale, Dyes Inlet",958833,2088081,1013201.85,2072302.425,1780725.5,6.569,73.345,6.724175,69.012025,12.105,0.1524,0.2061,0.15411,0.20607,0.19045,0.635,0.805,0.636125,0.794125,0.655
"Skiff Point",1964479,12721347,2039724.775,12142456.95,3985284.5,1.755,9.362,1.7655,8.954825,2.914,0.1482,0.1941,0.150075,0.1936125,0.1804,0.49,0.62,0.493375,0.61775,0.5625
"Smith Cove, Terminal 91",1617973,7732418,1659136.45,7476373.1,3242652.5,10.002,36.283,10.39275,34.847875,16.18,0.1494,0.2297,0.1511475,0.2257475,0.17485,0.605,0.845,0.612125,0.842375,0.755
"Squaxin Island",3512019,9006878,3724929.675,8826753.65,6478024,0.0025,16.642,0.0025,15.90295,3.39525,0.1595,0.1824,0.16052,0.18237,0.17755,0.695,0.955,0.706625,0.95275,0.8875
"Suquamish Stormwater Outfall",2044561,5633230,2215976.575,5611712.425,4838215.5,0.512,14.39,0.64805,13.764425,4.1875,0.1599,0.189,0.1617525,0.18894,0.1864,0.985,1.065,0.98725,1.061625,1.0175
"Thea Foss Waterway",1010594,8793166,1043823.875,8316283.375,1944195,0.255,48.798,1.5697,45.6364,13.817,0.043,0.1982,0.05468,0.19611,0.1605,0.85,0.95,0.852,0.9475,0.89
"Three Tree Point",4665257,9703015,4830230.15,9607904.125,7649884.5,0.0025,19.803,0.2795875,18.992625,6.3475,0.188,0.2196,0.1896125,0.219375,0.21305,0.73,0.955,0.732625,0.943375,0.7825
"Tulalip Bay",3670556,7831524,3833562.875,7557692.625,5575691.5,0.135,20.048,0.2165,18.676375,3.739,0.1114,0.2144,0.1174375,0.2130625,0.1839,0.735,1,0.7475,0.993125,0.865
"Tulalip Reservation",2521368,4597377,2614253.85,4568746.35,3987740.5,0.0025,10.007,0.0867624999999999,9.37595,1.3595,0.151,0.1871,0.151705,0.186095,0.16705,0.64,0.845,0.6535,0.843875,0.825
"West Bay Park",4006818,7647788,4009862.55,7615998.725,5635671.5,0.0025,5.789,0.1988875,5.622725,3.0965,0.1386,0.2197,0.141015,0.2182975,0.1859,0.66,0.845,0.669,0.842,0.7925
"Williams Olson Park",1267023,5178253,1299900.3,5069842,2719080,0.0025,17.073,0.2624125,16.18905,4.3775,0.1314,0.1901,0.131955,0.1899125,0.1632,0.575,0.785,0.578,0.779375,0.6625
