"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"ibr_bio","pah_add_index",0.0336626038682682,0.775852993011828,0.0177810733136334,0.82274774834673,"",""
"weight_change","pah_add_index",0.0334848866459104,0.777005608567457,0.0251898538609807,0.750977488642582,"",""
"ci3","pah_hmw_index",0.0315586819696409,0.78952868685159,0.0129581636430951,0.870254075417245,"",""
"ibr_bio","nutrient_metal_index",-0.0314105886708626,0.790493756161122,-0.0188818955942244,0.811878345746726,"",""
"p450","pbde_index",0.0304980408115992,0.79644738286767,0.0266326162551055,0.753006794425118,"",""
"weight_final","ddt_index",-0.0288717227680025,0.807086373403933,-0.018604885893735,0.815430790065391,"",""
"weight_initial","ddt_index",0.0264422909907052,0.823043867426857,0.0275352311227278,0.729740934829447,"",""
"p450","pah_hmw_index",0.0260199925953351,0.825825213880405,0.0159200296186598,0.840956889280745,"",""
"p450","hch_index",-0.0250307538166842,0.832348875581184,-0.0189489423509274,0.837252747400338,"",""
"shell","pah_add_index",0.0250136990468565,0.832461445973859,0.00518614638314308,0.947905751312679,"",""
"height","chlordane_index",0.0243153656598411,0.837073674834636,0.018907174319189,0.837898358720166,"",""
"ci2","hch_index",0.0242722461252695,0.837358644577879,0.0176856795275322,0.847965551457264,"",""
"ibr_combined","pah_add_index",0.0240658738609484,0.838722812755682,0.016299317204164,0.837302908802901,"",""
"length","pah_add_index",-0.0237696784903521,0.840681560795363,-0.00222263416420418,0.977660926922175,"",""
"weight_change","pcb_index",-0.022258422806368,0.850690328869306,-0.00851536467974824,0.914523273320258,"",""
"ci1","pbde_index",0.0198385314017199,0.866765339149574,0.0199744621913291,0.813426568532687,"",""
"ci3","nutrient_metal_index",-0.0196223620881155,0.868204051227664,-0.0159200296186598,0.840956889280745,"",""
"height","pah_add_index",0.0163647942254449,0.889933891317222,0.00963141471155143,0.903421750731383,"",""
"ibr_morph","pah_add_index",-0.0154169690395368,0.896272393573128,-0.0059270244378778,0.940476672968579,"",""
"ibr_morph","ddt_index",0.0148728628317468,0.899914015301484,0.0290236219942266,0.715750310261205,"",""
"ci1","pah_add_index",0.014439524316569,0.90281576541485,0.0133358049852251,0.866576033819995,"",""
"width","pbde_index",0.0139945021199878,0.905797075625907,0.00832269257972047,0.921665008723251,"",""
"width","ddt_index",0.0132729931247462,0.910633382036467,0.00893034522899281,0.910788219237721,"",""
"height","pbde_index",-0.0124828465457798,0.915933484100575,-0.00749042332174843,0.929476940803301,"",""
"sod","nutrient_metal_index",0.00961125509070714,0.935224520736123,0.0144390966308775,0.85558059927775,"",""
"height","pcb_index",-0.00813032210292484,0.945188546967861,-0.0144390966308775,0.85558059927775,"",""
"width","hch_index",-0.00778012174908192,0.947546053076769,-0.00126326282339516,0.989074174263093,"",""
"ci2","pah_hmw_index",-0.00741947426878934,0.949974357779792,-0.00777489818585709,0.921931134717833,"",""
"ibr_morph","pcb_index",-0.00238430211032951,0.983914636817251,-0.00999629766753054,0.899730439545855,"",""
"width","pcb_index",-0.00078489448352462,0.994704505192339,0.00703443169196594,0.92934577509173,"",""
"ibr_morph","total_metal_index",-0.00034061458718993,0.997701941677109,0.00555349870418363,0.944192830082301,"",""
"length","ddt_index",-0.000103695258787079,0.999300388021784,0.003720977178747,0.962764159926029,"",""
