site_name,reporting_area,latitude,longitude,p450,p450_z,p450_ai,sod,sod_z,sod_ai,shell,shell_z,shell_ai,ci1,ci1_z,ci1_ai,ci2,ci2_z,ci2_ai,ci3,ci3_z,ci3_ai
Penrose Point State Park,13,47.2619,-122.7376,7562838.75,0.615765357,1.634195763,4.423,-0.677620805,1.756731408,0.8575,0.691561006,2.374998862,26.3225,-3.022013972,2.88677231,0.6765,-0.46295573,1.039048263,0.06475,2.501251455,1.65335916
Point Defiance Ferry,11,47.3062,-122.5145,2116286.75,-1.072527966,0.05409756,6.454,-0.240910708,1.320021311,0.83875,0.514322285,2.197760141,36.8175,1.234631676,1.369873337,0.71425,0.976459754,0.400367221,0.05475,0.220756062,0.627136233
Port Angeles Yacht Club,6,48.12823,-123.45715,5668182.167,0.02846975,1.046900157,7.99825,0.091137331,0.987973273,0.800833333,0.155906201,1.839344057,34.22833333,0.184496846,0.319738508,0.688666667,0.000961856,0.575130677,0.059166667,1.227974936,0.380082641
"Purdy, Burley Lagoon",13,47.386977,-122.6367089,3937235,-0.508080079,0.510350328,10.05025,0.532362894,0.54674771,0.915,1.235093084,2.918530939,32.9,-0.35425916,0.219017499,0.69325,0.175725313,0.400367221,0.053,-0.178330632,1.026222927
"Purdy, Dexters",13,47.38566,-122.627255,4578794.25,-0.309212942,0.709217464,1.760875,-1.25003679,2.329147393,0.84375,0.561585944,2.2450238,33.7725,-0.000383664,0.134857997,0.679,-0.367630201,0.943722734,0.049,-1.090528789,1.938421084
Raft Island Park,13,47.32598,-122.66724,4185580.75,-0.431099179,0.587331228,3.778125,-0.816283249,1.895393852,0.65375,-1.234433096,0.44900476,35.5425,0.717507026,0.852748687,0.7245,1.367294422,0.791201888,0.0525,-0.292355401,1.140247696
Reach Island,13,47.346537,-122.82236,5721095,0.04487139,1.063301797,4.58375,-0.643055985,1.722166589,0.77,-0.135553025,1.54788483,32.295,-0.599639876,0.464398215,0.6665,-0.844257844,1.420350378,0.054,0.049718908,0.798173387
Rich Passage,10,47.578117,-122.524833,5061124.75,-0.15970269,0.858727716,2.31975,-1.129866256,2.208976859,0.81,0.242556246,1.925994102,34.6525,0.356533741,0.491775402,0.71225,0.900199331,0.324106798,0.0535,-0.064305862,0.912198157
Rocky Point,10,47.60255,-122.66992,9469801.25,1.206875486,2.225305892,9.8955,0.499088208,0.580022396,0.68875,-0.903587483,0.779850372,33.8525,0.032063373,0.167305034,0.71425,0.976459754,0.400367221,0.0615,1.760090452,0.912198157
"Salmon Bay, Commodore Park",10,47.6663,-122.4018,4444677.5,-0.350785742,0.667644665,3.79425,-0.812816016,1.891926619,0.7075,-0.726348762,0.957089094,34.4,0.254122781,0.389364442,0.71825,1.1289806,0.552888066,0.05725,0.79087991,0.057012385
Salmon Beach,11,47.29464,-122.53053,2076089.5,-1.084988097,0.06655769,7.299625,-0.059082557,1.13819316,0.86375,0.75064058,2.434078435,33.51,-0.106850504,0.028391157,0.684,-0.176979143,0.753071677,0.054,0.049718908,0.798173387
