site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,weight_initial,weight_change,weight_final,length,height,width,ci1,ci2,ci3,z_ci1,z_ci2,z_ci3,ai_z_ci1,ai_z_ci2,ai_z_ci3
51,Maple Hollow Park,13,47.30008,-122.74566,12906891.5,4.6215,0.775,15.13775,10.76925,4.3685,58.09,19.43,25.9075,36.405,0.71025,0.05425,1.067326642,0.823938908,0.106731292,1.202568304,0.247846375,0.741161003
11,Maristone Island,9,48.018127,-122.699524,4711148.333,5.722,0.699166667,15.06416667,11.0075,4.056666667,57.905,20.36166667,27.23833333,33.65333333,0.7255,0.055666667,-0.048716231,1.405424633,0.429801549,0.08652543,0.8293321,0.418090746
71,"Meyer's Point, Henderson Inlet",13,47.11795,-122.83359,2252669.75,15.21175,0.78875,14.16075,9.92275,4.23825,56.0125,19.55,25.25,35.8875,0.7025,0.05625,0.857434873,0.528429769,0.562830371,0.992676534,0.047662764,0.285061924
20,Miller Creek,11,47.4436,-122.360316,15899206.5,4.015375,0.82125,15.95475,11.064,4.8905,58.395,20.99,26.4025,34.2125,0.6955,0.05575,0.178075038,0.261518289,0.448805601,0.3133167,0.314574245,0.399086694
55,Minter Bay,13,47.3539722,-122.69175,8029787,5.00975,0.9175,15.73,10.238,5.49225,58.5675,20.445,23.6375,36.9575,0.6505,0.051,1.291413991,-1.454341228,-0.63442971,1.426655652,2.030433761,1.482322005
65,Mukilteo,8.2,47.94968,-122.30158,8713508,7.6065,0.79125,12.06025,8.4225,3.63775,54.9,18.66,25.16,32.595,0.699,0.05075,-0.477963488,0.394974029,-0.691442095,0.342721827,0.181118505,1.53933439
62,N Avenue Park,7,48.52108,-122.61531,6764939.25,1.446375,0.8225,14.89425,10.3425,4.552,56.5325,20.755,24.13,36.6475,0.6935,0.057,1.165681723,0.185257866,0.733867525,1.300923384,0.390834668,0.11402477
7,North Camano,8.1,48.255358,-122.507014,12423809,0.75175,0.7675,15.03,10.5455,4.48425,58.52,20.465,26.99,32.4425,0.70175,0.05225,-0.539815652,0.49983211,-0.349367786,0.404573991,0.076260423,1.197260081
10,Oak Bay County Park,9,48.02218,-122.728709,2335225.75,11.8395,0.77375,14.24175,9.78925,4.45275,55.8125,19.4525,25.7325,34.77,0.6845,0.056,0.404190327,-0.157914038,0.505817986,0.539431988,0.734006571,0.342074309
3,Penn Cove Reference,8.1,48.21423,-122.718972,2290809.25,12.593,0.60625,16.155,11.37375,4.78125,58.3025,21.1125,27.67,33.44,0.70375,0.0575,-0.135241661,0.576092533,0.847892295,0,0,0
