"site_name","latitude","longitude","arsenic","cadmium","copper","lead","mercury","zinc","z_arsenic","z_cadmium","z_mercury","z_copper","z_lead","z_zinc","ai_z_arsenic","ai_z_cadmium","ai_z_mercury","ai_z_copper","ai_z_lead","ai_z_zinc","heavy_metal_index","nutrient_metal_index","total_metal_index"
"Kingston Marina",47.7947,-122.5003,1230,292,853,33.1,7.27,12500,-1.32213161614631,-0.701312720949751,1.15412261285866,-0.617900523236768,-0.627500961729487,-0.903692600922776,2.22165506820702,3.27167417667946,5.00346151436102,0.397221764937923,0.17271481255846,1.02652865215915,10.4967907592475,1.59646522965553,12.093255988903
"Kitsap St Boat Launch",47.541533,-122.640383,1590,302,1620,99.4,6.16,17000,1.34385446570211,-0.281867313683154,0.390182821807667,0.853930847330317,2.30865085176433,1.44116980248644,0.444331013641404,2.85222876941286,4.23952172331002,1.07460960562916,3.10886662605228,1.31833375125007,7.53608150636429,5.50180998293151,13.0378914892958
"Kopachuck State Park",47.3115,-122.68725,1280,318,837,26.6,6.13,12900,-0.951855771445142,0.389245337943401,0.36953580042791,-0.648603654826173,-0.915358982660254,-0.695260387286401,1.85137922350585,2.1811161177863,4.21887470193027,0.427924896527327,0.115143208372306,0.818096438522771,8.25137004322242,1.36116454342241,9.61253458664483
"Lions Park",47.583016,-122.64217,1370,308,987,55.8,5.84,15100,-0.285359250983035,-0.0302000693231961,0.169947927090263,-0.360761796175505,0.377787819059496,0.451116787713661,1.18488270304375,2.6005615250529,4.01928682859262,0.140083037876659,1.17800359334744,0.32828073647729,7.80473105668927,1.64636736770139,9.45109842439066
"Locust Beach",48.76652,-122.5395,1470,291,1120,41,5.13,13600,0.455192438419306,-0.743257261676411,-0.318698245563977,-0.105542014838578,-0.277642751675171,-0.330504013422745,0.444331013641405,3.31361871740612,3.53064065593838,0.115136743460267,0.522573022612776,0.453340064659115,7.2885903869859,1.09104983073216,8.37964021771806
"Madrona Pont",47.579985,-122.67853,1540,303,998,90,5.38,15000,0.973578621000944,-0.239922772956495,-0.146639734066005,-0.339653393207789,1.89236386764907,0.399008734304567,0.074055168940234,2.8102842286862,3.70269916743635,0.118974634908943,2.69257964193701,0.276172683068197,6.58703856506279,3.08772695991415,9.67476552497694
"Manchester, Stormwater Outfall",47.556111,-122.542778,1290,305,808,42.7,4.71,13200,-0.877800602504908,-0.156033691503175,-0.607756544880569,-0.704253080831969,-0.202356807739432,-0.53893622705912,1.77732405456562,2.72639514723288,3.24158235662179,0.483574322533123,0.597858966548515,0.66177227829549,7.74530155842029,1.74320556737713,9.48850712579741
"Maple Hollow Park",47.29954,-122.74554,1510,349,889,24.9,6.19,14000,0.751413114180242,1.68952610046985,0.410829843187424,-0.548818477160608,-0.990644926595992,-0.12207179978637,0.148110337880468,0.880835355259854,4.26016874468978,0.328139718861762,0.190429152308045,0.24490785102274,5.2891144378301,0.763476722192548,6.05259116002265
"Maristone Island Bridge",48.018181,-122.699838,1300,309,869,24.9,4.64,12000,-0.803745433564674,0.0117444714034636,-0.655932928100002,-0.587197391647364,-0.990644926595992,-1.16423286796824,1.70326888562538,2.55861698432624,3.19340597340236,0.366518633348518,0.190429152308045,1.28706891920461,7.45529184335398,1.84401670486118,9.29930854821516
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,1170,298,866,30.7,5.27,11300,-1.76646262978772,-0.449645476589793,-0.222345479125113,-0.592954228820377,-0.733787000227001,-1.5289892418319,2.66598608184843,3.0200069323195,3.62699342237724,0.372275470521531,0.066428774060946,1.65182529306827,9.31298643654517,2.09052953765075,11.4035159741959
"Miller Creek",47.443611,-122.361944,1420,321,873,38.4,6.78,14300,0.0849165937181353,0.51507896012338,0.816887930322637,-0.579521608750013,-0.392785960047478,0.0342523604409111,0.814606858342575,2.05528249560633,4.66622683182499,0.358842850451167,0.407429814240469,0.0885836907954593,7.53611618577389,0.854856355487095,8.39097254126099
"Minter Bay",47.35399,-122.69176,1480,352,1310,41.2,5.78,15600,0.52924760735954,1.81535972264983,0.12865388433075,0.259057672785602,-0.268785581800378,0.71165705475913,0.370275844701171,0.755001733079875,3.97799278583311,0.479736431084448,0.531430192487569,0.588821003522759,5.10327036361415,1.59998762709478,6.70325799070893
