site_number,site_name,reporting_area,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,ibr_biomarker,ibr_morphometric,ibr_combined,chlordane_index,ddt_index,hch_index,heavy_metal_index,nutrient_metal_index,total_metal_index,pah_lmw_index,pah_hmw_index,pah_add_index,total_pah_index,pbde_index,pcb_index,pesticide_index
61,Friday Harbor,7,48.5069444,-123.0194444,5444136.6,6.7096,0.75,32.616,0.6726,0.0458,2.242513336,14.78641933,17.02893267,0,0.639665553,0,7.411514015,1.770621602,9.182135617,6.073490924,2.379780714,3.697571174,12.15084281,0,20.34464668,0
58,Gig Harbor Boat Launch,11,47.33785,-122.58277,3843185.75,14.972,0.965,30.2725,0.62675,0.05225,0.992735264,13.18815601,14.18089128,0,1.035648991,0,7.898132251,2.437937698,10.33606995,2.78210724,3.727344365,3.170756869,9.680208474,0,21.76587189,0
29,Hood Canal Holly,12,47.5706,-122.9717,1596840.167,1.640416667,0.676666667,34.305,0.689833333,0.054833333,2.570161468,2.740704739,5.310866206,0,0,0,4.383534424,1.673693635,6.057228059,2.845569566,0.045875216,5.735440409,8.626885191,0,15.30555999,0
2,Jamestown,6,48.024789,-122.998135,3175079,7.752666667,0.573333333,33.86166667,0.7035,0.054833333,1.314880393,7.963471815,9.278352208,0,0,0,7.739782859,1.345817222,9.085600081,2.277632043,0.040423786,2.139119284,4.457175113,0,24.03857658,0
36,Kingston Marina,10,47.794695,-122.499858,5460804.75,4.371,0.81125,31.25,0.63675,0.04825,2.750530967,7.456212645,10.20674361,0,0.883347669,0,10.49679076,1.59646523,12.09325599,1.302350026,0.778271513,2.826775496,4.907397035,0.725741309,9.083836439,0
25,Kitsap St Boat Launch,10,47.54167,-122.64034,2852984.25,10.748,0.8325,32.885,0.71075,0.05175,0.570975994,5.769303079,6.340279073,0,4.224805176,3.270551557,7.536081506,5.501809983,13.03789149,12.56911698,8.099808123,6.540335619,27.20926072,4.562570309,73.72371161,0
52,Kopachuck State Park,13,47.30973,-122.68868,7013734.75,4.72575,0.7775,30.045,0.67975,0.05425,3.155620851,6.998502996,10.15412385,0,0.670125818,0,8.251370043,1.361164543,9.612534587,1.240546126,0.245672961,2.474785685,3.961004772,0,13.25082025,0
37,Lions Park,10,47.5833538,-122.6414587,6373166.5,10.424,0.75,27.645,0.678,0.05375,1.731810625,15.96390252,17.69571315,0,1.401172164,0,7.804731057,1.646367368,9.451098424,2.935148797,1.294272453,2.885116225,7.114537475,3.296422016,22.19833782,0
76,Locust Beach,7,48.77636877,-122.5378679,2368800.25,6.15025,0.6875,32.66,0.731,0.047,1.409509543,8.466382553,9.875892096,0,2.450692672,0,7.288590387,1.091049831,8.379640218,2.73826912,0.030596212,3.58878615,6.357651482,0,15.52144023,1.858901601
28,Madrona Pont,10,47.57995505,-122.6786,7017559.75,4.52025,0.805,32.025,0.66025,0.0455,3.200993567,9.456139204,12.65713277,0,1.309791371,0,6.587038565,3.08772696,9.674765525,2.728050368,1.368938272,2.880201763,6.977190403,0.753654436,22.17701154,0
