sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm,IBR,IBRv2i
49,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,5588536,0.0025,0.355,0.032,0.688,0.047,13.388,4.171,9.217,58.26,25.96,19.08,5.115890482936202,-1.5091052433590892
50,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,420155,9.767,0.405,0.033,0.703,0.048,10.666,3.17,7.496,53.89,23.32,17.99,7.154718802806505,-3.0020979743805642
51,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,5289198,12.773,0.58,0.03,0.673,0.051,11.223,3.673,7.55,52.92,24.54,19.2,4.428864300422501,-1.5074141927315468
52,48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,776433,8.385,0.52,0.034,0.675,0.052,12.005,3.906,8.099,53.88,23.51,18.78,5.255740665203113,-2.176470933685877
53,47.54167,-122.64034,Kitsap St Boat Launch,25,10,3525403,1.604,0.805,0.049,0.739,0.07,13.992,3.654,10.338,52.9,23.4,17.18,4.114534742484652,-1.3506278434160326
54,47.54167,-122.64034,Kitsap St Boat Launch,25,10,990428,21.209,0.8,0.027,0.695,0.034,14.664,4.476,10.188,66.98,26.94,20.95,5.665208419403304,0.7700024409544224
55,47.54167,-122.64034,Kitsap St Boat Launch,25,10,1035758,10.072,0.855,0.033,0.696,0.052,18.167,5.527,12.64,62.58,28.33,21.36,5.2974093631723544,1.293785905844046
56,47.54167,-122.64034,Kitsap St Boat Launch,25,10,5860348,10.107,0.87,0.023,0.713,0.051,13.851,3.969,9.882,57.76,33.16,22.83,5.8343127320762065,1.2112508550985994
57,47.61889,-122.5275,Eagle Harbor Dr,31,10,2871510,11.306,0.815,0.043,0.703,0.055,12.097,3.598,8.499,53.69,21.21,17.22,5.161396379664971,-1.5624131578669411
58,47.61889,-122.5275,Eagle Harbor Dr,31,10,939065,1.798,0.91,0.05,0.725,0.064,14.403,3.956,10.447,54.65,24.48,15.65,4.8581230035591325,-1.3374743882981346
59,47.61889,-122.5275,Eagle Harbor Dr,31,10,2018231,12.545,1.02,0.046,0.705,0.061,16.881,4.979,11.903,57.86,24.89,17.91,4.578177599040199,0.4680824438723782
60,47.61889,-122.5275,Eagle Harbor Dr,31,10,1556797,24.79,0.825,0.038,0.674,0.052,11.686,3.812,7.874,53.31,24.07,16.16,6.4183640817670256,-1.5241272538508608
61,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,3110123,5.992,0.73,0.039,0.737,0.054,13.509,3.554,9.955,57.01,22.35,20.14,3.466337839255339,-0.8562814966078667
62,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,1670358,13.528,0.755,0.035,0.696,0.048,12.166,3.7,8.466,56,24.31,17.64,3.791436138410591,-1.388613888450963
63,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,4330874,10.958,0.74,0.039,0.724,0.062,14.817,4.088,10.729,55.76,24.77,20.09,1.925881588256226,-0.2744828027610505
64,48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,3613765,17.031,0.825,0.036,0.691,0.057,14.16,4.381,9.78,55.55,25.1,19.56,2.4875687877467088,-0.13621628159816607
65,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,3127319,17.331,0.8,0.036,0.689,0.053,14.951,4.656,10.295,57.75,24.7,20.19,2.764345042021998,0.1463557241418589
66,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,2281892,8.102,0.965,0.035,0.675,0.06,15.105,4.916,10.189,55.43,26.14,19.86,2.501340158396179,0.29735304780731614
67,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,935926,6.983,0.535,0.036,0.729,0.054,12.727,3.452,9.275,55.47,24.8,18.9,4.25613016889688,-1.9408447249226604
68,47.11795,-122.83359,Meyer's Point - Henderson Inlet,71,13,2665542,28.431,0.855,0.037,0.717,0.058,13.86,3.929,9.932,55.4,25.36,19.25,4.516020552898644,-0.15705534249002093
