site_name,latitude,longitude,reporting_area,site_number,sample_id,at,cf,PAHgroup3,PAHgroup4,PAHgroup5,PAHgroup6,Sum40CBs,SumBDEs,SumCHLDs,SumDDTs,SumHCHs
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,29,0.785,0.1464,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,30,0.66,0.1443,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,31,1.04,0.1696,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
"Elliott Bay, Harbor Island, Pier 17",47.58766,-122.35065,10,14,32,0.94,0.1887,3,4,4,5,108.4074684,4.393355299,-1.369357496,10.27018122,1.027018122
Everett Harbor,47.9726,-122.22977,8.2,66,206,0.885,0.1688,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,207,0.865,0.1313,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,208,0.675,0.1466,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
Everett Harbor,47.9726,-122.22977,8.2,66,209,0.68,0.1355,2,3,2,3,34.61857305,1.86407701,-1.464631937,1.86407701,-1.2649094
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,61,0.73,0.1907,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,62,0.755,0.1881,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,63,0.74,0.1812,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.482448,-122.583879,7,63,64,0.825,0.176,3,4,3,4,22.89475632,-2.035089451,-2.035089451,12.08334362,-1.717106724
Filucy Bay,47.19483,-122.748665,13,59,174,0.795,0.1058,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,175,0.815,0.1855,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,176,1.055,0.2005,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Filucy Bay,47.19483,-122.748665,13,59,177,0.76,0.1453,1,1,0,0,41.51647184,1.364112646,-1.126875664,1.601349628,-0.948947928
Friday Harbor,48.5069444,-123.0194444,7,61,222,0.895,0.1626,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,226,0.65,0.143,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,223,0.625,0.1507,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,224,0.735,0.0909,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Friday Harbor,48.5069444,-123.0194444,7,61,225,0.845,0.18,3,3,3,4,16.29415971,-1.378736591,-1.378736591,1.316066746,-1.190727056
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,134,1.1,0.1699,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,131,0.89,0.1675,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,132,0.845,0.1413,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Gig Harbor Boat Launch,47.33785,-122.58277,11,58,133,1.025,0.1383,2,3,3,3,55.40913758,1.723839836,-1.231314168,2.093234086,-1.046617043
Hood Canal Holly,47.5706,-122.9717,12,29,107,0.575,0.1956,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,108,0.63,0.1868,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,104,0.725,0.1717,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,105,0.69,0.182,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,106,0.755,0.2059,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Hood Canal Holly,47.5706,-122.9717,12,29,109,0.685,0.1992,1,1,0,0,18.43963134,-1.57078341,-1.57078341,-1.57078341,-1.297603687
Jamestown,48.024789,-122.998135,6,2,82,0.58,0.1693,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,83,0.615,0.1877,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,84,0.545,0.147,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,85,0.45,0.1769,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,86,0.61,0.1462,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Jamestown,48.024789,-122.998135,6,2,87,0.64,0.2162,1,1,0,0,32.48131182,-1.392056221,-1.392056221,-1.392056221,-1.126902655
Kingston Marina,47.794695,-122.499858,10,36,166,0.815,0.1922,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,167,0.845,0.1684,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,168,0.875,0.1712,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kingston Marina,47.794695,-122.499858,10,36,169,0.71,0.1303,2,2,1,2,36.40146214,1.690067885,-1.235049608,1.885075718,-1.040041775
Kitsap St Boat Launch,47.54167,-122.64034,10,25,54,0.8,0.1743,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,53,0.805,0.1889,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,55,0.855,0.1557,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kitsap St Boat Launch,47.54167,-122.64034,10,25,56,0.87,0.1833,3,4,4,4,116.3306549,7.080996384,-1.163306549,7.080996384,1.315042186
Kopachuck State Park,47.30973,-122.68868,13,52,249,0.86,1.5799,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,250,0.77,0.1619,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
Kopachuck State Park,47.30973,-122.68868,13,52,251,0.69,0.1407,1,1,0,0,31.71267874,1.48442326,-1.079580553,1.48442326,-0.877159199
