site_name,analyte,dryvalue
Salmon Beach,opDDT,-1.547930368
Salmon Beach,Oxychlordane,-1.547930368
Salmon Beach,ppDDD,-1.547930368
Salmon Beach,ppDDE,1.547930368
Salmon Beach,ppDDT,-1.369323017
Chimacum Creek delta,alpha_chlordane,-1.372631579
Chimacum Creek delta,alpha_hexachlorocyclohexane,-1.310239234
Chimacum Creek delta,aldrin,-1.372631579
Chimacum Creek delta,beta_chlordane,-1.559808612
Chimacum Creek delta,BDE100,-1.559808612
Chimacum Creek delta,BDE153,-1.372631579
Chimacum Creek delta,BDE154,-1.559808612
Chimacum Creek delta,BDE155,-1.559808612
Chimacum Creek delta,BDE183,-1.24784689
Chimacum Creek delta,BDE028,-1.559808612
Chimacum Creek delta,BDE047,-1.559808612
Chimacum Creek delta,BDE049,-1.559808612
Chimacum Creek delta,BDE066,-1.559808612
Chimacum Creek delta,BDE085,-1.559808612
Chimacum Creek delta,BDE099,-1.559808612
Chimacum Creek delta,beta_hexachlorocyclohexane,-0.873492823
Chimacum Creek delta,Br5DE04,-1.559808612
Chimacum Creek delta,Br5DE05,-1.559808612
Chimacum Creek delta,Br6DE01,-1.559808612
Chimacum Creek delta,Br7DE01,-1.24784689
Chimacum Creek delta,PCB101,1.996555024
Chimacum Creek delta,PCB105,-1.559808612
Chimacum Creek delta,PCB011,-1.559808612
Chimacum Creek delta,PCB110,2.308516746
Chimacum Creek delta,PCB118,2.558086124
Chimacum Creek delta,PCB128,-1.559808612
Chimacum Creek delta,PCB138,3.306794258
Chimacum Creek delta,PCB149,1.622200957
Chimacum Creek delta,PCB151,-1.559808612
Chimacum Creek delta,PCB153,3.05722488
Chimacum Creek delta,PCB156,-1.559808612
Chimacum Creek delta,PCB158,-1.559808612
Chimacum Creek delta,PCB017,-1.559808612
Chimacum Creek delta,PCB170,-1.559808612
Chimacum Creek delta,PCB171,-1.559808612
Chimacum Creek delta,PCB177,-1.559808612
Chimacum Creek delta,PCB018,1.996555024
Chimacum Creek delta,PCB180,-1.559808612
Chimacum Creek delta,PCB183,-1.559808612
Chimacum Creek delta,PCB187,-1.559808612
Chimacum Creek delta,PCB191,-1.559808612
Chimacum Creek delta,PCB194,-1.559808612
Chimacum Creek delta,PCB195,-1.559808612
Chimacum Creek delta,PCB198,-1.559808612
Chimacum Creek delta,PCB199,-1.559808612
Chimacum Creek delta,PCB205,-1.559808612
Chimacum Creek delta,PCB206,-1.497416268
Chimacum Creek delta,PCB208,-1.559808612
Chimacum Creek delta,PCB209,-1.559808612
Chimacum Creek delta,PCB028,1.871770335
Chimacum Creek delta,PCB031,1.996555024
Chimacum Creek delta,PCB033,1.622200957
Chimacum Creek delta,PCB044,-1.559808612
Chimacum Creek delta,PCB049,-1.559808612
Chimacum Creek delta,PCB052,-1.559808612
Chimacum Creek delta,PCB066,-1.559808612
Chimacum Creek delta,PCB070,-1.559808612
Chimacum Creek delta,PCB074,-1.559808612
Chimacum Creek delta,PCB082,-1.559808612
Chimacum Creek delta,PCB087,-1.559808612
Chimacum Creek delta,PCB095,-1.559808612
Chimacum Creek delta,PCB099,-1.559808612
Chimacum Creek delta,cis_nonachlor,-1.559808612
Chimacum Creek delta,dieldrin,-1.24784689
Chimacum Creek delta,Endosulfan_1,-1.372631579
Chimacum Creek delta,hexachlorobenzene,-1.559808612
Chimacum Creek delta,heptachlor,-1.372631579
Chimacum Creek delta,heptachlor_epoxide,-1.435023923
Chimacum Creek delta,gamma_hexachlorocyclohexane,-1.310239234
Chimacum Creek delta,mirex,-1.559808612
Chimacum Creek delta,nonachlor3,-1.559808612
Chimacum Creek delta,opDDD,-1.559808612
Chimacum Creek delta,opDDE,-1.559808612
Chimacum Creek delta,opDDT,-1.559808612
Chimacum Creek delta,Oxychlordane,-1.559808612
Chimacum Creek delta,ppDDD,-1.559808612
Chimacum Creek delta,ppDDE,-1.310239234
Chimacum Creek delta,ppDDT,-1.372631579
Skiff Point,alpha_chlordane,-1.894231023
Skiff Point,alpha_hexachlorocyclohexane,-1.835036304
Skiff Point,aldrin,-1.894231023
Skiff Point,beta_chlordane,-2.19020462
Skiff Point,BDE100,-2.19020462
Skiff Point,BDE153,-1.953425743
Skiff Point,BDE154,-2.19020462
Skiff Point,BDE155,-2.19020462
Skiff Point,BDE183,-1.775841584
Skiff Point,BDE028,-2.19020462
Skiff Point,BDE047,-2.19020462
Skiff Point,BDE049,-2.19020462
Skiff Point,BDE066,-2.19020462
Skiff Point,BDE085,-2.19020462
Skiff Point,BDE099,-2.19020462
Skiff Point,beta_hexachlorocyclohexane,-1.183894389
Skiff Point,Br5DE04,-2.19020462
Skiff Point,Br5DE05,-2.19020462
Skiff Point,Br6DE01,-2.19020462
Skiff Point,Br7DE01,-1.775841584
Skiff Point,PCB101,2.959735974
Skiff Point,PCB105,-2.131009901
Skiff Point,PCB011,-2.19020462
Skiff Point,PCB110,2.900541254
Skiff Point,PCB118,3.137320132
Skiff Point,PCB128,-2.19020462
Skiff Point,PCB138,4.735577558
Skiff Point,PCB149,2.663762376
Skiff Point,PCB151,-2.19020462
Skiff Point,PCB153,4.913161716
Skiff Point,PCB156,-2.19020462
Skiff Point,PCB158,-2.19020462
Skiff Point,PCB017,-2.19020462
Skiff Point,PCB170,-2.19020462
Skiff Point,PCB171,-2.19020462
Skiff Point,PCB177,-2.19020462
Skiff Point,PCB018,-2.19020462
Skiff Point,PCB180,-2.19020462
Skiff Point,PCB183,-2.131009901
Skiff Point,PCB187,-2.19020462
Skiff Point,PCB191,-2.19020462
Skiff Point,PCB194,-2.19020462
Skiff Point,PCB195,-2.131009901
Skiff Point,PCB198,-2.131009901
Skiff Point,PCB199,-2.19020462
Skiff Point,PCB205,-2.131009901
Skiff Point,PCB206,-2.131009901
Skiff Point,PCB208,-2.19020462
Skiff Point,PCB209,-2.19020462
Skiff Point,PCB028,-2.19020462
Skiff Point,PCB031,-2.131009901
Skiff Point,PCB033,-2.131009901
Skiff Point,PCB044,-2.19020462
Skiff Point,PCB049,-2.19020462
Skiff Point,PCB052,-2.19020462
Skiff Point,PCB066,-2.19020462
Skiff Point,PCB070,-2.19020462
Skiff Point,PCB074,-2.19020462
Skiff Point,PCB082,-2.19020462
Skiff Point,PCB087,-2.131009901
Skiff Point,PCB095,-2.19020462
Skiff Point,PCB099,-2.131009901
Skiff Point,cis_nonachlor,-2.19020462
Skiff Point,dieldrin,-1.716646865
Skiff Point,Endosulfan_1,-1.894231023
Skiff Point,hexachlorobenzene,-2.19020462
Skiff Point,heptachlor,-1.894231023
Skiff Point,heptachlor_epoxide,-2.012620462
Skiff Point,gamma_hexachlorocyclohexane,-1.835036304
Skiff Point,mirex,-2.19020462
Skiff Point,nonachlor3,-2.19020462
Skiff Point,opDDD,-2.19020462
Skiff Point,opDDE,-2.19020462
Skiff Point,opDDT,-2.19020462
Skiff Point,Oxychlordane,-2.19020462
Skiff Point,ppDDD,-2.19020462
Skiff Point,ppDDE,2.071815182
Skiff Point,ppDDT,-1.953425743
S of Skunk Island,alpha_chlordane,-1.321275698
S of Skunk Island,alpha_hexachlorocyclohexane,-1.321275698
S of Skunk Island,aldrin,-1.381333685
S of Skunk Island,beta_chlordane,-1.561507644
S of Skunk Island,BDE100,-1.561507644
S of Skunk Island,BDE153,-1.381333685
S of Skunk Island,BDE154,-1.561507644
S of Skunk Island,BDE155,-1.561507644
S of Skunk Island,BDE183,-1.261217712
S of Skunk Island,BDE028,-1.561507644
S of Skunk Island,BDE047,-1.561507644
S of Skunk Island,BDE049,-1.561507644
S of Skunk Island,BDE066,-1.561507644
S of Skunk Island,BDE085,-1.561507644
S of Skunk Island,BDE099,-1.561507644
S of Skunk Island,beta_hexachlorocyclohexane,-0.840811808
