site_number,Individual,weight,length,width,height,weight_final,weight_change,condition_factor,avg_thickness,economic_index
23,96,15.8383,60.24,26.11,19.7,4.3925,11.45,0.2629,0.555,0.0013
23,97,15.8919,58.67,27.49,19.06,5.7358,10.16,0.2709,0.625,0.0015
23,98,19.4573,62.93,29.59,20.53,6.3745,13.08,0.3092,0.75,0.0016
23,99,17.4894,61.43,27.83,22.01,4.5901,12.9,0.2847,0.755,0.0017
8,100,17.7318,60.98,25.96,21.22,5.4497,12.28,0.2908,0.825,0.0019
8,101,11.0963,52.86,24.82,17.8,4.4052,6.69,0.2099,0.75,0.0019
8,102,14.0518,55.95,24.15,20.32,4.8619,9.19,0.2511,0.995,0.0025
8,103,16.1098,55.17,24.85,23.36,6.5881,9.52,0.292,1.045,0.0026
29,104,15.2257,59.59,26.28,20.52,4.9982,10.23,0.2555,0.725,0.0017
29,105,14.7544,56.15,25.53,20.86,4.5332,10.22,0.2628,0.69,0.0017
29,106,17.157,58.76,26.68,22.35,5.0567,12.1,0.292,0.755,0.0018
29,107,16.6466,60.8,27.27,21.28,4.7552,11.89,0.2738,0.575,0.0013
29,108,16.3448,58.36,27.32,19.36,5.4465,10.9,0.2801,0.63,0.0015
29,109,17.4724,60.34,27.46,19.99,5.4547,12.02,0.2896,0.685,0.0016
43,110,14.6239,59.56,27.63,17.96,4.1242,10.5,0.2455,0.79,0.0018
43,111,14.0849,56.35,24.55,19.85,3.8854,10.2,0.25,0.79,0.0020
43,112,12.5979,54.89,23.83,17.61,3.7819,8.82,0.2295,0.87,0.0022
43,113,14.6816,56.32,26.16,19.62,4.1811,10.5,0.2607,0.905,0.0022
48,114,13.8722,59.74,25.48,18.67,3.4896,10.38,0.2322,0.635,0.0015
48,115,17.8843,61.58,27.21,21.49,5.3065,12.58,0.2904,0.93,0.0021
48,116,13.1118,56.19,26.09,19.63,4.301,8.81,0.2333,0.87,0.0021
48,117,18.2975,61.41,27.4,21.52,5.2982,13,0.298,0.895,0.0020
46,118,13.6374,58.63,28.6,16.85,4.2239,9.41,0.2326,0.87,0.0020
46,119,14.5754,57.26,24.62,19.86,4.4247,10.15,0.2545,0.89,0.0022
46,120,13.1584,55.99,24.13,18.48,4.2112,8.95,0.235,0.925,0.0023
46,121,16.6034,57.47,26.45,21.89,5.2085,11.39,0.2889,0.95,0.0023
46,122,7.9967,60.02,27.49,22.34,5.4188,2.58,0.1332,0.85,0.0019
40,123,16.972,56.34,30.2,21.25,5.3641,11.61,0.3012,0.935,0.0022
40,124,10.6403,50.89,22.22,18.5,3.4388,7.2,0.2091,0.685,0.0019
40,125,11.0115,51.9,23.67,18.02,3.4542,7.56,0.2122,0.8,0.0021
40,126,12.8244,59.3,22.35,19.98,3.9896,8.83,0.2163,1.035,0.0025
56,127,13.9772,56.01,24.49,19.35,4.9226,9.05,0.2495,0.885,0.0022
56,128,9.3078,51.48,23.58,17.17,3.7257,5.58,0.1808,1,0.0027
56,129,14.0031,59.61,25.39,17.98,5.1254,8.88,0.2349,1.08,0.0025
56,130,16.4765,58.77,27.32,21.55,5.7226,10.75,0.2804,1.26,0.0029
58,131,14.0161,54.58,25.56,21.34,4.8796,9.14,0.2568,0.89,0.0022
58,132,11.7041,53.71,25.97,18.25,4.1135,7.59,0.2179,0.845,0.0021
58,133,12.8422,53.86,26.87,17.51,5.3915,7.45,0.2384,1.025,0.0025
58,134,14.9748,55.15,26.35,20.68,5.604,9.37,0.2715,1.1,0.0027
67,135,13.6626,57.05,25.16,19,3.783,9.88,0.2395,0.875,0.0021
67,136,12.7114,55.93,25.61,18.64,3.7794,8.93,0.2273,0.945,0.0023
67,137,15.722,58.73,26.08,20.78,4.2933,11.43,0.2677,0.855,0.0020
67,138,16.2236,57.09,27.59,21.11,4.5926,11.63,0.2842,0.835,0.0020
67,139,8.6164,52.35,22.25,17.06,2.7854,5.83,0.1646,0.735,0.0020
67,140,17.5084,57.93,26.74,23.36,5.091,12.42,0.3022,1,0.0024
42,141,9.8288,50.13,22.49,17.76,3.3486,6.48,0.1961,0.745,0.0021
42,142,12.8984,51.51,24.26,20.19,4.96,7.94,0.2504,0.97,0.0026
42,143,13.3159,55.25,25.53,18.76,4.4603,8.86,0.241,0.9,0.0022
42,144,11.9719,55.21,22.75,20.03,4.1915,7.78,0.2168,0.815,0.0021
57,145,14.0672,58.56,26.46,18.76,4.5409,9.53,0.2402,0.805,0.0019
57,146,11.4684,53.29,23.38,19.4,3.8505,7.62,0.2152,0.88,0.0023
57,147,14.9505,60.38,23.89,19.65,4.825,10.13,0.2476,0.96,0.0023
57,148,17.36,61.03,29.32,19.31,5.2376,12.12,0.2845,0.73,0.0016
