site_number,individual ,valve,notch,top,opp,bottom,avg,total_avg,total_avg
2,84,L,0.36,0.13,0.34,1.18,0.5,,0.845
2,84,R,0.26,0.09,0.35,1.64,0.59,0.545,0.875
2,85,L,0.18,0.12,0.14,0.94,0.35,,0.71
2,85,R,0.27,0.13,0.15,1.65,0.55,0.45,0.9
2,86,L,0.32,0.29,0.33,2.08,0.76,,0.83
2,86,R,0.28,0.17,0.28,1.09,0.46,0.61,0.745
2,87,L,0.32,0.27,0.35,1.42,0.59,,0.765
2,87,R,0.44,0.3,0.39,1.64,0.69,0.64,0.795
10,88,L,0.46,0.37,0.43,1.36,0.66,,0.815
10,88,R,0.59,0.45,0.47,2.31,0.96,0.81,1.055
10,89,L,0.61,0.35,0.43,1.68,0.77,,0.76
10,89,R,0.51,0.28,0.4,2.11,0.83,0.8,0.95
10,90,L,0.3,0.57,0.35,1.16,0.6,,1.095
10,90,R,0.53,0.65,0.54,1.87,0.9,0.75,0.825
10,91,L,0.49,0.62,0.39,1.18,0.67,,0.8
10,91,R,0.43,0.65,0.37,1.74,0.8,0.735,0.78
15,92,L,0.5,0.41,0.63,1.46,0.75,,0.66
15,92,R,0.42,0.56,0.69,1.79,0.87,0.81,0.845
15,93,L,0.73,0.57,0.53,1.52,0.84,,0.805
15,93,R,0.68,0.55,0.33,1.84,0.85,0.845,0.63
15,94,L,0.46,0.23,0.37,1.05,0.53,,0.62
15,94,R,0.48,0.25,0.44,1.53,0.68,0.605,0.835
15,95,L,0.5,0.22,0.49,2.03,0.81,,0.745
15,95,R,0.29,0.26,0.43,1.39,0.59,0.7,0.845
23,96,L,0.33,0.49,0.56,0.93,0.58,,0.82
23,96,R,0.22,0.55,0.27,1.07,0.53,0.555,0.83
23,97,L,0.31,0.4,0.56,1.13,0.6,,0.64
23,97,R,0.3,0.19,0.48,1.64,0.65,0.625,0.84
23,98,L,0.47,0.16,0.7,1.35,0.67,,0.8
23,98,R,0.26,0.48,0.42,2.16,0.83,0.75,0.82
23,99,L,0.66,0.31,0.62,0.98,0.64,,0.935
23,99,R,0.79,0.22,0.33,2.12,0.87,0.755,0.85
8,100,L,0.29,0.27,0.47,1.55,0.65,,0.955
8,100,R,0.6,0.52,0.56,2.3,1,0.825,0.925
8,101,L,0.5,0.34,0.5,1.43,0.69,,0.695
8,101,R,0.44,0.37,0.44,1.97,0.81,0.75,0.8
8,102,L,0.45,0.73,0.63,2.07,0.97,,0.665
8,102,R,0.6,0.62,0.61,2.25,1.02,0.995,0.735
8,103,L,0.56,0.66,0.81,2.21,1.06,,0.9
8,103,R,0.68,0.7,0.62,2.11,1.03,1.045,0.885
29,104,L,0.19,0.4,0.26,1.3,0.54,,0.865
29,104,R,0.21,0.61,0.49,2.32,0.91,0.725,0.675
29,105,L,0.4,0.3,0.62,1.3,0.66,,0.68
29,105,R,0.41,0.11,0.27,2.07,0.72,0.69,0.9
29,106,L,0.33,0.94,0.22,1.49,0.75,,0.79
29,106,R,0.24,0.4,0.45,1.93,0.76,0.755,0.89
29,107,L,0.21,0.13,0.3,1.46,0.53,,0.71
29,107,R,0.33,0.24,0.22,1.7,0.62,0.575,0.955
29,108,L,0.39,0.38,0.14,1.46,0.59,,0.725
29,108,R,0.19,0.23,0.49,1.75,0.67,0.63,0.6
29,109,L,0.31,0.44,0.2,1.38,0.58,,0.88
29,109,R,0.26,0.3,0.4,2.19,0.79,0.685,0.58
43,110,L,0.29,0.27,0.39,1.8,0.69,,0.595
43,110,R,0.61,0.54,0.46,1.94,0.89,0.79,0.805
43,111,L,0.41,0.39,0.57,1.49,0.72,,0.635
43,111,R,0.48,0.36,0.49,2.1,0.86,0.79,0.895
43,112,L,0.4,0.47,0.47,1.94,0.82,,0.625
43,112,R,0.41,0.78,0.54,1.95,0.92,0.87,0.735
43,113,L,0.63,0.74,0.54,1.67,0.9,,0.845
43,113,R,0.64,0.59,0.57,1.82,0.91,0.905,0.65
48,114,L,0.36,0.27,0.53,1.41,0.64,,0.885
48,114,R,0.27,0.31,0.36,1.56,0.63,0.635,0.665
48,115,L,0.63,0.36,0.56,2.05,0.9,,0.82
48,115,R,0.49,0.52,0.71,2.13,0.96,0.93,0.39
48,116,L,0.29,0.8,0.47,1.38,0.74,,0.96
48,116,R,0.55,0.96,0.66,1.83,1,0.87,0.745
48,117,L,0.53,0.64,0.48,1.46,0.78,,0.895
48,117,R,0.65,0.69,0.58,2.12,1.01,0.895,0.685
46,118,L,0.56,0.53,0.88,1.34,0.83,,0.665
46,118,R,0.5,0.67,0.55,1.93,0.91,0.87,0.6
46,119,L,0.64,0.75,0.56,1.59,0.89,,0.745
46,119,R,0.55,0.59,0.64,1.77,0.89,0.89,0.74
46,120,L,0.68,0.61,0.52,1.86,0.92,,0.7
46,120,R,0.71,0.6,0.29,2.11,0.93,0.925,0.79
46,121,L,0.75,0.51,0.59,1.61,0.87,,0.825
46,121,R,0.73,0.6,0.64,2.13,1.03,0.95,0.93
46,122,L,0.5,0.72,0.55,1.24,0.75,,0.545
46,122,R,0.61,0.73,0.43,2.03,0.95,0.85,0.64
40,123,L,0.68,0.86,0.93,1.29,0.94,,0.89
40,123,R,0.58,0.71,0.98,1.43,0.93,0.935,0.92
40,124,L,0.51,0.42,0.55,1.23,0.68,,0.99
40,124,R,0.49,0.3,0.47,1.48,0.69,0.685,0.82
40,125,L,0.61,0.4,0.5,1.73,0.81,,0.86
40,125,R,0.4,0.48,0.56,1.71,0.79,0.8,0.77
40,126,L,0.57,0.74,0.57,1.37,0.81,,0.69
40,126,R,0.72,1.12,1.01,2.17,1.26,1.035,0.575
56,127,L,0.6,0.52,0.54,1.67,0.83,,0.79
56,127,R,0.7,0.73,0.59,1.75,0.94,0.885,0.615
56,128,L,0.66,0.71,0.8,2.09,1.07,,0.785
56,128,R,0.57,0.55,0.71,1.88,0.93,1,0.71
56,129,L,0.79,0.53,0.67,2.29,1.07,,0.49
56,129,R,0.59,0.98,0.49,2.28,1.09,1.08,0.62
56,130,L,0.78,0.6,0.82,2.69,1.22,,0.59
56,130,R,0.76,0.68,0.85,2.91,1.3,1.26,0.535
58,131,L,0.69,0.62,0.59,1.79,0.92,,0.61
58,131,R,0.66,0.55,0.59,1.62,0.86,0.89,0.57
58,132,L,0.45,0.61,0.69,1.71,0.87,,0.6
58,132,R,0.41,0.61,0.51,1.74,0.82,0.845,0.645
58,133,L,0.82,0.58,0.56,2.1,1.02,,0.755
58,133,R,0.64,0.65,0.63,2.2,1.03,1.025,0.635
58,134,L,0.68,0.5,0.7,2.34,1.06,,0.695
58,134,R,0.63,0.66,0.75,2.52,1.14,1.1,0.85
67,135,L,0.6,0.51,0.6,1.73,0.86,,0.645
67,135,R,0.56,0.56,0.59,1.85,0.89,0.875,0.56
67,136,L,0.47,0.31,0.64,2.14,0.89,,0.79
67,136,R,0.5,0.3,0.71,2.47,1,0.945,0.66
67,137,L,0.77,0.7,0.64,1.75,0.97,,0.655
67,137,R,0.31,0.34,0.53,1.77,0.74,0.855,0.85
67,138,L,0.43,0.53,0.63,1.97,0.89,,0.765
67,138,R,0.47,0.21,0.52,1.92,0.78,0.835,0.81
67,139,L,0.54,0.28,0.49,1.26,0.64,,0.73
67,139,R,0.39,0.44,0.47,2.01,0.83,0.735,0.765
67,140,L,0.43,0.47,0.64,2.34,0.97,,0.955
67,140,R,0.49,0.58,0.58,2.46,1.03,1,0.8
42,141,L,0.47,0.38,0.44,1.44,0.68,,0.92
42,141,R,0.41,0.61,0.61,1.6,0.81,0.745,0.965
42,142,L,0.77,0.56,0.53,1.82,0.92,,0.86
42,142,R,0.79,0.62,0.63,2.04,1.02,0.97,0.955
42,143,L,0.6,0.42,0.66,1.95,0.91,,0.875
42,143,R,0.54,0.66,0.69,1.67,0.89,0.9,0.645
42,144,L,0.57,0.56,0.45,1.73,0.83,,0.67
42,144,R,0.59,0.49,0.53,1.6,0.8,0.815,0.795
42,145,L,0.5,0.19,0.42,1.95,0.77,,0.725
57,145,R,0.54,0.24,0.47,2.09,0.84,0.805,0.64
57,146,L,0.51,0.41,0.51,1.91,0.84,,0.56
57,146,R,0.59,0.4,0.52,2.16,0.92,0.88,0.575
57,147,L,0.63,0.38,0.59,2.25,0.96,,0.515
57,147,R,0.53,0.52,0.61,2.17,0.96,0.96,0.575
57,148,L,0.43,0.29,0.57,1.61,0.73,,0.695
57,148,R,0.35,0.5,0.45,1.63,0.73,0.73,0.595
41,149,L,0.42,0.46,0.38,2.23,0.87,,0.745
41,149,R,0.47,0.31,0.56,2.28,0.91,0.89,0.72
41,150,L,0.56,0.33,0.4,1.43,0.68,,0.66
41,150,R,0.36,0.37,0.35,1.65,0.68,0.68,0.75
41,151,L,0.73,0.62,0.84,2.11,1.08,,0.805
41,151,R,0.64,0.76,0.74,2.12,1.07,1.075,0.785
41,152,L,0.63,0.24,0.38,1.59,0.71,,0.745
41,152,R,0.39,0.64,0.31,1.49,0.71,0.71,0.725
41,153,L,0.22,0.23,0.41,1.72,0.65,,0.855
28,153,R,0.47,0.22,0.45,1.95,0.77,0.71,0.745
28,154,L,0.4,0.27,0.5,1.87,0.76,,0.61
28,154,R,0.29,0.37,0.48,2.1,0.81,0.785,0.705
28,155,L,0.3,0.17,0.31,1.7,0.62,,0.9
28,155,R,0.47,0.43,0.6,1.79,0.82,0.72,0.695
28,156,L,0.49,0.27,0.78,2.43,0.99,,0.61
28,156,R,0.53,0.32,0.56,2.66,1.02,1.005,0.675
49,157,L,0.35,0.21,0.62,2.11,0.82,,
49,157,R,0.36,0.27,0.34,2.29,0.82,0.82,
49,158,L,0.54,0.53,0.54,2.31,0.98,,
49,158,R,0.46,0.46,0.6,2.2,0.93,0.955,
49,159,L,0.48,0.41,0.43,1.64,0.74,,
49,159,R,0.52,0.45,0.46,1.62,0.76,0.75,
49,160,L,0.39,0.22,0.48,1.83,0.73,,
49,160,R,0.39,0.4,0.52,1.77,0.77,0.75,
49,161,L,0.49,0.45,0.48,1.92,0.84,,
49,161,R,0.39,0.44,0.57,1.87,0.82,0.83,
12,162,L,0.31,0.51,0.49,1.72,0.76,,
12,162,R,0.25,0.43,0.37,1.85,0.73,0.745,
12,163,L,0.37,0.44,0.53,1.79,0.78,,
12,163,R,0.41,0.36,0.54,2.01,0.83,0.805,
12,164,L,0.38,0.42,0.54,1.57,0.73,,
12,164,R,0.45,0.34,0.51,1.77,0.77,0.75,
12,165,L,0.58,0.39,0.5,2.09,0.89,,
12,165,R,0.36,0.8,0.41,1.88,0.86,0.875,
36,166,L,0.46,0.15,0.45,2,0.77,,
36,166,R,0.47,0.13,0.64,2.18,0.86,0.815,
36,167,L,0.24,0.38,0.57,2.22,0.85,,
36,167,R,0.29,0.27,0.47,2.33,0.84,0.845,
36,168,L,0.54,0.24,0.55,2.43,0.94,,
36,168,R,0.45,0.2,0.3,2.28,0.81,0.875,
36,169,L,0.35,0.09,0.46,1.77,0.67,,
36,169,R,0.3,0.11,0.46,2.13,0.75,0.71,
32,170,L,0.16,0.2,0.61,2.56,0.88,,
32,170,R,0.28,0.33,0.54,2.52,0.92,0.9,
32,171,L,0.33,0.46,0.55,2.06,0.85,,
32,171,R,0.37,0.39,0.42,2.07,0.81,0.83,
32,172,L,0.44,0.39,0.39,1.62,0.71,,
32,172,R,0.31,0.42,0.48,1.92,0.78,0.745,
32,173,L,0.33,0.2,0.34,1.99,0.72,,
32,173,R,0.23,0.24,0.38,2.37,0.81,0.765,
59,174,L,0.29,0.34,0.53,2.12,0.82,,
59,174,R,0.26,0.26,0.37,2.18,0.77,0.795,
59,175,L,0.24,0.55,0.56,1.94,0.82,,
59,175,R,0.24,0.52,0.48,1.99,0.81,0.815,
59,176,L,0.41,0.68,0.49,2.62,1.05,,
59,176,R,0.36,0.83,0.54,2.49,1.06,1.055,
59,177,L,0.45,0.2,0.58,1.57,0.7,,
59,177,R,0.5,0.26,0.57,1.94,0.82,0.76,
55,178,L,0.34,0.46,0.79,2.13,0.93,,
55,178,R,0.66,0.42,0.62,2.16,0.97,0.95,
55,179,L,0.57,0.17,0.68,3.24,1.17,,
55,179,R,0.58,0.41,0.52,2.55,1.02,1.095,
55,180,L,0.47,0.21,0.51,2.16,0.84,,
55,180,R,0.28,0.08,0.49,2.38,0.81,0.825,
55,181,L,0.41,0.27,0.47,1.89,0.76,,
55,181,R,0.4,0.47,0.51,1.98,0.84,0.8,
73,182,L,0.23,0.45,0.54,1.89,0.78,,
73,182,R,0.24,0.18,0.68,2.02,0.78,0.78,
73,183,L,0.23,0.18,0.53,1.8,0.69,,
73,183,R,0.29,0.3,0.28,1.65,0.63,0.66,
73,184,L,0.47,0.47,0.73,1.92,0.9,,
73,184,R,0.47,0.11,0.62,1.97,0.79,0.845,
73,185,L,0.2,0.28,0.64,2.08,0.8,,
73,185,R,0.26,0.34,0.53,2.09,0.81,0.805,
72,186,L,0.33,0.17,0.42,1.58,0.63,,
72,186,R,0.32,0.25,0.38,1.57,0.63,0.63,
72,187,L,0.21,0.25,0.34,1.36,0.54,,
72,187,R,0.29,0.28,0.54,1.69,0.7,0.62,
72,188,L,0.38,0.37,0.52,2.06,0.83,,
72,188,R,0.47,0.31,0.5,2.07,0.84,0.835,
72,189,L,0.28,0.21,0.62,1.82,0.73,,
72,189,R,0.29,0.3,0.42,2.01,0.76,0.745,
70,190,L,0.55,0.54,0.85,1.6,0.89,,
70,190,R,0.22,0.29,0.63,2.06,0.8,0.845,
70,191,L,0.3,0.2,0.61,1.57,0.67,,
70,191,R,0.33,0.39,0.88,2.28,0.97,0.82,
70,192,L,0.46,0.68,0.47,1.25,0.72,,
70,192,R,0.73,0.76,0.57,1.68,0.94,0.83,
70,193,L,0.34,0.18,0.55,1.14,0.55,,
70,193,R,0.4,0.37,0.43,1.71,0.73,0.64,
54,194,L,0.51,0.48,0.79,1.57,0.84,,
54,194,R,0.62,0.49,0.81,1.44,0.84,0.84,
54,195,L,0.55,0.45,0.56,1.62,0.8,,
54,195,R,0.48,0.52,0.27,1.94,0.8,0.8,
54,196,L,0.39,0.64,0.66,1.35,0.76,,
54,196,R,0.49,0.79,0.52,1.72,0.88,0.82,
54,197,L,0.79,0.52,0.58,1.44,0.83,,
54,197,R,0.76,0.96,0.75,1.69,1.04,0.935,
38,198,L,0.49,0.73,0.59,1.4,0.8,,
38,198,R,0.48,0.47,0.62,2.01,0.9,0.85,
38,199,L,0.68,0.63,0.6,1.43,0.84,,
38,199,R,0.82,0.56,0.81,2.09,1.07,0.955,
38,200,L,0.53,0.36,0.78,1.82,0.87,,
38,200,R,0.49,0.52,0.56,2.35,0.98,0.925,
38,201,L,0.46,0.33,0.51,1.52,0.71,,
38,201,R,0.2,0.45,0.39,1.67,0.68,0.695,
51,202,L,0.53,0.39,0.88,1.55,0.84,,
51,202,R,0.43,0.44,0.53,1.62,0.76,0.8,
51,203,L,0.49,0.36,0.4,1.66,0.73,,
51,203,R,0.29,0.29,0.37,1.46,0.6,0.665,
51,204,L,0.44,0.56,0.43,1.34,0.69,,
51,204,R,0.3,0.52,0.62,1.67,0.78,0.735,
51,205,L,0.63,0.57,0.57,1.27,0.76,,
51,205,R,0.54,0.56,0.74,2.3,1.04,0.9,
66,206,L,0.86,0.28,0.83,1.42,0.85,,
66,206,R,0.53,0.39,0.81,1.96,0.92,0.885,
66,207,L,0.55,0.35,0.98,1.58,0.87,,
66,207,R,0.77,0.44,0.63,1.6,0.86,0.865,
66,208,L,0.48,0.34,0.61,1.26,0.67,,
66,208,R,0.56,0.33,0.45,1.37,0.68,0.675,
66,209,L,0.36,0.54,0.55,1.21,0.67,,
66,209,R,0.29,0.39,0.39,1.67,0.69,0.68,
62,210,L,0.38,0.43,0.65,2.44,0.98,,
62,210,R,0.37,0.38,0.45,2.06,0.82,0.9,
62,211,L,0.35,0.29,0.47,1.8,0.73,,
62,211,R,0.32,0.52,0.65,1.91,0.85,0.79,
62,212,L,0.63,0.35,0.71,1.62,0.83,,
62,212,R,0.71,0.24,0.61,2.23,0.95,0.89,
62,213,L,0.24,0.26,0.56,1.85,0.73,,
62,213,R,0.3,0.37,0.49,1.6,0.69,0.71,
64,214,L,0.44,0.42,0.47,2.14,0.87,,
64,214,R,0.42,0.58,0.55,2.6,1.04,0.955,
64,215,L,0.34,0.42,0.64,1.51,0.73,,
64,215,R,0.29,0.31,0.59,1.69,0.72,0.725,
64,216,L,0.22,0.43,0.36,1.39,0.6,,
64,216,R,0.23,0.28,0.3,1.6,0.6,0.6,
64,217,L,0.48,0.21,0.74,1.96,0.85,,
64,217,R,0.59,0.39,0.64,2.02,0.91,0.88,
53,218,L,0.24,0.31,0.43,1.31,0.57,,
53,218,R,0.24,0.22,0.2,1.68,0.59,0.58,
53,219,L,0.37,0.33,0.34,0.86,0.48,,
