"analyte","Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig","class.x","class.y"
"alpha_hexachlorocyclohexane","p450","alpha_hexachlorocyclohexane",0.160310995927434,0.172093114684994,0.104035542391707,0.189738577916262,"","","hch","hch"
"alpha_hexachlorocyclohexane","ibr1morph","alpha_hexachlorocyclohexane",0.282428730099963,0.0150296745325124,0.187708256201407,0.0179797335010215,"*","*","hch","hch"
"alpha_hexachlorocyclohexane","ci3","alpha_hexachlorocyclohexane",-0.0253464595530273,0.830265662921023,-0.0122861186127568,0.877558533748369,"","","hch","hch"
"anthracene","ibr1bio","anthracene",0.162710107367642,0.165700198922982,0.102554609403924,0.196119711709585,"","","lmw","lmw"
"anthracene","ci2","anthracene",-0.0202302936197012,0.864159074802059,-0.00889383372225799,0.910817248832852,"","","lmw","lmw"
"anthracene","ci3","anthracene",0.0342643839545015,0.771953646607416,0.0130307318620148,0.870201765502246,"","","lmw","lmw"
"anthracene","ibr1morph","anthracene",0.0561717882265827,0.63383537987761,0.0396149574231766,0.617539339374611,"","","lmw","lmw"
"anthracene","shell","anthracene",0.148342331226239,0.207180635642218,0.100519460704277,0.205931407952178,"","","lmw","lmw"
"anthracene","ci1","anthracene",0.0947804130378671,0.421823456560843,0.0562858739512479,0.478106303060619,"","","lmw","lmw"
"anthracene","p450","anthracene",0.170470196223621,0.14622585795261,0.106997408367271,0.1774376040746,"","","lmw","lmw"
"anthracene","sod","anthracene",0.108804146612366,0.355335894748716,0.0714550166604961,0.367758444598329,"","","lmw","lmw"
"anthracene","ibr1overall","anthracene",0.228493150684931,0.0504160103468058,0.148463532025176,0.0612950335923865,"","","lmw","lmw"
"bde028","p450","bde028",0.18142910033321,0.12172780189833,0.121066271751203,0.127004206096957,"","","pbde","pbde"
"bde028","ibr1overall","bde028",0.328604220659015,0.00442991562706236,0.220288781932618,0.00549124855492314,"**","**","pbde","pbde"
"bde028","shell","bde028",0.31593835959646,0.00610384071296941,0.219955867887957,0.00564540831673611,"**","**","pbde","pbde"
"bde028","sod","bde028",-0.092217697149204,0.433701257424806,-0.0655312847093669,0.408797115340602,"","","pbde","pbde"
"bde028","ibr1bio","bde028",0.166412439837097,0.156182176774114,0.119585338763421,0.131719487888373,"","","pbde","pbde"
"bde028","ci3","bde028",-0.0598330509261702,0.612579550118844,-0.0338799028412384,0.67094913324665,"","","pbde","pbde"
"bde028","ci1","bde028",0.0706410265922853,0.549786909104651,0.0577670811604913,0.466602098246176,"","","pbde","pbde"
"bde028","ibr1morph","bde028",0.253698630136986,0.0294428097164847,0.164753794890781,0.0378294794950719,"*","*","pbde","pbde"
"bde028","ci2","bde028",-0.0366248287858866,0.756713914715512,-0.026681501166774,0.7368532973598,"","","pbde","pbde"
"bde047","ci1","bde047",0.0405334360132253,0.731683803154961,0.0377707838357058,0.634065635966284,"","","pbde","pbde"
"bde047","p450","bde047",0.193957793409848,0.0977318120717801,0.128470936690115,0.105370377611489,"","","pbde","pbde"
"bde047","ibr1overall","bde047",0.277215845982969,0.0170622386825148,0.169937060348019,0.0321909157193346,"*","*","pbde","pbde"
"bde047","ibr1bio","bde047",0.239570529433543,0.0400357118407126,0.16401332839689,0.0386998570320612,"*","*","pbde","pbde"
"bde047","shell","bde047",0.28587297097932,0.0135465444562288,0.202151682966166,0.0109695709704895,"*","*","pbde","pbde"
"bde047","ci2","bde047",-0.0513014180809993,0.664227213945166,-0.040022251750161,0.614236818861365,"","","pbde","pbde"
"bde047","ibr1morph","bde047",0.0877748981858571,0.456248538468201,0.0596075527582377,0.452445342480868,"","","pbde","pbde"
"bde047","sod","bde047",0.17571269900037,0.134079813992825,0.115142539800074,0.146681049441063,"","","pbde","pbde"
"bde047","ci3","bde047",0.0409157926858337,0.729249714729991,0.0294122233456905,0.712260313060316,"","","pbde","pbde"
"bde049","ibr1overall","bde049",0.350166604961125,0.00235033222453412,0.235098111810441,0.00304283192813545,"**","**","pbde","pbde"
"bde049","shell","bde049",0.33853923793624,0.00317474470514062,0.239243734886564,0.00260908570505134,"**","**","pbde","pbde"
"bde049","p450","bde049",0.207937800814513,0.0755245372568379,0.141799333580155,0.0738793310783324,"","","pbde","pbde"
"bde049","ci1","bde049",0.0943657487308264,0.423866279631011,0.0740603604621683,0.350635471041058,"","","pbde","pbde"
