"analyte","corr_lat","p_lat","corr_long","p_long","lat_sig","long_sig"
"PCB052",-0.394950018511662,0.000548068323732052,0.363554239170678,0.00155203914980913,"***","**"
"PCB066",-0.297623102554609,0.0102548351356944,0.294483524620511,0.0111149229453389,"*","*"
"PCB070",-0.142776749352092,0.224403702484856,0.229855609033691,0.0490304383230061,"","*"
"PCB074",-0.118430211032951,0.314179296262603,0.0733209922251018,0.533903266650711,"",""
"PCB082",-0.130485005553499,0.267177137028372,-0.00265087004813032,0.982171618990702,"",""
"PCB087",-0.218837467604591,0.061186979834097,0.245642354683451,0.0351469869954312,"","*"
"PCB095",-0.436741947426879,0.000117100165774845,0.424539059607553,0.000187400056318803,"***","***"
"PCB099",-0.480725657164013,1.86193072520739e-05,0.217830433172899,0.0624109408944271,"***",""
"PCB101",-0.499740836727138,7.80608769994176e-06,0.375964457608293,0.00104047973585025,"***","**"
"PCB105",-0.342317660125879,0.00297468249929796,0.417963717141799,0.000239797661844412,"**","***"
"PCB110",-0.398356164383562,0.000486649595832368,0.462865605331359,4.0404946239994e-05,"***","***"
"PCB118",-0.44231025546094,9.39616193538087e-05,0.368263606071825,0.00133584923229236,"***","**"
"PCB128",-0.0782673084042947,0.506609775192583,0.189100333209922,0.106550914186304,"",""
"PCB138",-0.461029248426509,4.3658184865351e-05,0.365894113291374,0.00144095326353307,"***","**"
"PCB149",-0.457386153276564,5.08467815683311e-05,0.385590522028878,0.000755152108751753,"***","***"
"PCB151",-0.0998889300259163,0.396301589171678,0.137149203998519,0.243347835441615,"",""
"PCB153",-0.447611995557201,7.59419050487483e-05,0.342880414661237,0.00292540724274027,"***","**"
"PCB156",-0.127197334320622,0.279496081168039,0.00374676045908923,0.974761896515834,"",""
"PCB158",-0.109396519807479,0.352710518049666,0.0203924472417623,0.862841180305002,"",""
"PCB170",-0.15095149944465,0.198771550161976,-0.0147056645686783,0.90088595878734,"",""
"PCB171",-0.127908182154757,0.27680085083973,-0.00647167715660866,0.956348361903043,"",""
"PCB177",-0.127463902258423,0.278483319391829,0.112299148463532,0.340021453154168,"",""
"PCB180",-0.195231395779341,0.095517182242697,0.255209181784524,0.0284655755172119,"","*"
"PCB183",-0.151306923361718,0.197707006165792,0.0903221029248426,0.443242935217155,"",""
"PCB187",-0.220821917808219,0.058832303937316,0.240755275823769,0.0390396278565356,"","*"
"PCB191",-0.134453905960755,0.252802105495439,-0.00697519437245464,0.952948081330138,"",""
"PCB194",-0.130485005553499,0.267177137028372,-0.00265087004813032,0.982171618990702,"",""
"PCB195",-0.156815994076268,0.181728556823429,-0.0292780451684561,0.804049363587236,"",""
"PCB198",-0.161258793039615,0.169546157904968,-0.0221695668271011,0.851011940464194,"",""
"PCB199",-0.12550907071455,0.285967423949249,-0.0095816364309515,0.93536145475621,"",""
"PCB205",-0.156815994076268,0.181728556823429,-0.0292780451684561,0.804049363587236,"",""
"PCB206",-0.162798963346909,0.165466847973293,0.000666419844502036,0.995592645488302,"",""
"PCB208",-0.130485005553499,0.267177137028372,-0.00265087004813032,0.982171618990702,"",""
"PCB209",-0.14313217326916,0.22324307812892,-0.0148537578674565,0.899891976703819,"",""
"Retene",-0.109218807848945,0.353496859685309,0.53353572750833,1.47769667888125e-06,"","***"
"acenaphthene",-0.257786005183265,0.0268619537364647,0.143161791928915,0.223146550573352,"*",""
"acenaphthylene",-0.0131062569418734,0.911630398344149,-0.262969270640503,0.0238676681813473,"","*"
"aldrin",-0.124205849685302,0.291030464442809,0.00306553128470937,0.979367728126037,"",""
"alpha_chlordane",-0.270670122176971,0.0199468890715762,0.266582747130692,0.0219528794117748,"*","*"
"alpha_hexachlorocyclohexane",-0.121954831543873,0.299914656053278,0.0243021103295076,0.836860518639818,"",""
"anthracene",-0.0951203258052573,0.419319535014799,0.292558311736394,0.0116729471718355,"","*"
"benz_a_anthracene",-0.0246575342465753,0.834506864217227,0.580925583117364,1.07145178120338e-07,"","***"
"benzo_a_pyrene",0.0128396890040726,0.913422738733814,0.134631617919289,0.252171099058346,"",""
"benzo_b_fluoranthene",-0.0970455386893743,0.409934871472113,0.47231395779341,2.69509066804349e-05,"","***"
"benzo_e_pyrene",-0.0808737504627915,0.492523755899568,0.500510921880785,7.52856474744957e-06,"","***"
"benzo_ghi_perylene",-0.0417771195853388,0.723231712014762,0.125746019992595,0.285053203397517,"",""
"benzo_k_fluoranthene",-0.0907367641614217,0.441145662852437,0.491862273232136,1.12544946758894e-05,"","***"
"beta_chlordane",-0.276208811551277,0.01748110790397,0.173846723435765,0.138311743292324,"*",""
"beta_hexachlorocyclohexane",-0.142391706775268,0.225665827790927,0.173491299518697,0.139129183579919,"",""
"chrysene",-0.105368382080711,0.370801339614576,0.565346168085894,2.65092338382321e-07,"","***"
"cis_nonachlor",-0.114520547945205,0.330507558352492,0.0297519437245465,0.800941190270126,"",""
"dibenz_ah_anthracene",0.0545723805997779,0.643541015879816,-0.0966308774527952,0.411945730619615,"",""
"dibenzothiophene",0.0365938541281007,0.756435152551368,-0.0713069233617179,0.545222455801876,"",""
"dieldrin",-0.173224731580896,0.139744662131384,0.434609403924472,0.000127282132261924,"","***"
"fluoranthene",-0.00330248056275454,0.977765615235668,0.534483524620511,1.4070654129321e-06,"","***"
"fluorene",-0.10095520177712,0.391259397863367,0.370159200296187,0.00125682551440219,"","**"
"gamma_hexachlorocyclohexane",-0.0952684191040355,0.418593253220864,0.0458052573121066,0.697773903991165,"",""
"heptachlor",-0.114342835986672,0.331262369749515,-0.00111069974083673,0.992587698894816,"",""
"heptachlor_epoxide",-0.118815253609774,0.312599953392495,-0.00928544983339504,0.937358531026224,"",""
"hexachlorobenzene",-0.130485005553499,0.267177137028372,-0.00265087004813032,0.982171618990702,"",""
"indeno_123cd_pyrene",0.060999629766753,0.604917912175405,0.0193557941503147,0.869755751161249,"",""
"mirex",-0.111677156608663,0.342715997783778,0.00324324324324324,0.97816613543004,"",""
"naphthalene",-0.0551943724546464,0.639759368465595,0.294838948537579,0.011014491454519,"","*"
"nonachlor3",-0.127908182154757,0.27680085083973,-0.00647167715660866,0.956348361903043,"",""
"opDDD",-0.151366160681229,0.19752998205687,0.317763791188449,0.00599805641863074,"","**"
"opDDE",-0.111647537948908,0.342844643624419,-0.00661977045538689,0.955348195471142,"",""
"opDDT",-0.184953720844132,0.114560103918476,0.0909144761199556,0.440248547860524,"",""
"perylene",0.0800740466493891,0.496823502144474,0.284176231025546,0.0143969620801251,"","*"
"phenanthrene",0.138452425027767,0.238865365558866,0.573106256941873,1.69894123489028e-07,"","***"
"ppDDD",-0.14496853017401,0.217313850324397,0.39394298407997,0.000567540657710232,"","***"
"ppDDE",-0.0924546464272492,0.432516822869649,0.616616068122917,9.55473532836709e-09,"","***"
"ppDDT",-0.0811106997408367,0.491253538941499,0.282636060718252,0.0149533689178366,"","*"
"pyrene",-0.0296038504257682,0.801912163720709,0.535816364309515,1.31312693207929e-06,"","***"
"trans_Nonachlor",-0.278607922991485,0.0164974917495799,0.313143280266568,0.00680402042139117,"*","**"
