"Metric","Analyte","Spearman_r","Spearman_p","Kendall_tau","Kendall_p","Spearman_sig","Kendall_sig"
"sod","mixture_index_pca",0.206314885388845,0.0777993775930868,0.139285074290128,0.0792998794471323,"",""
"shell","chlordane",0.0814537288763511,0.490250730250243,0.0612966717386612,0.507244300482307,"",""
"shell","ddt",0.12381305578936,0.293259547064629,0.104578819792992,0.189564985591653,"",""
"shell","hch",0.0918234538822544,0.436513984989888,0.0688605722917504,0.45547132943932,"",""
"shell","pah_lmw",0.118431087978722,0.31490621576259,0.0866506217407369,0.274820728093791,"",""
"shell","pah_hmw",0.254322505171764,0.028771103341817,0.168857621853744,0.0333325355584891,"*","*"
"shell","pah_add",0.0906512644157185,0.442416466442502,0.0626157879213831,0.430276564141975,"",""
"shell","total_pah",0.152122562925777,0.195708905452666,0.106646919065522,0.178937183483112,"",""
"shell","pbde",0.0753651596730386,0.523352079737511,0.0570210006833822,0.500557881131273,"",""
"shell","pcb",-0.0270124177157921,0.819292348370906,-0.0236993153478939,0.765188517783151,"",""
"shell","pesticide",0.154670529046214,0.188238377304993,0.120605818453531,0.185903080587358,"",""
"shell","mixture_index_sum",-0.0422957593181482,0.720487181123695,-0.0185150901155421,0.815497906169357,"",""
"shell","heavy_metal_ng",-0.046812638376984,0.692061511818961,-0.0259211261617589,0.743913644476636,"",""
"shell","nutrient_metal_ng",-0.157379913961471,0.180522897172902,-0.105165711856279,0.18504929132794,"",""
"shell","mixture_index_pca",0.114876822489802,0.329751173281293,0.0859100181361153,0.27894401212928,"",""
"ci1","chlordane",0.0658010859500017,0.577520686054164,0.0528096937880795,0.567714988150327,"",""
"ci1","ddt",0.0639651610632298,0.588206918583039,0.0476285078879616,0.550126874674394,"",""
"ci1","hch",0.0686991251938431,0.560836893049862,0.0656896668165483,0.476412865873868,"",""
"ci1","pah_lmw",0.124176231025546,0.291146218791894,0.0921880784894483,0.245228437251419,"",""
"ci1","pah_hmw",0.124502036282858,0.289874596394083,0.0929285449833395,0.241457810452677,"",""
"ci1","pah_add",-0.0262873391404206,0.824064162216396,-0.016299317204164,0.837302908802901,"",""
"ci1","total_pah",0.0978748611625324,0.405930426976475,0.0751573491299519,0.343461765262561,"",""
"ci1","pbde",-0.0821592596621109,0.486487619060614,-0.0574265788000713,0.497440395037172,"",""
"ci1","pcb",0.0546612365790448,0.643000220944198,0.0322102924842651,0.684738158768191,"",""
"ci1","pesticide",-0.0280199557351697,0.812672538953721,-0.028339898628961,0.755887987954064,"",""
"ci1","mixture_index_sum",0.0711588300629396,0.546059352927506,0.0499814883376527,0.528688447097777,"",""
"ci1","heavy_metal_ng",0.100333209922251,0.394196000928403,0.0729359496482784,0.357914090398791,"",""
"ci1","nutrient_metal_ng",0.0579192891521659,0.623301555260078,0.0388744909292854,0.6241287362131,"",""
"ci1","mixture_index_pca",0.047700851536468,0.685906604423765,0.0336912254720474,0.671075076549831,"",""
"ci2","chlordane",0.117379134319362,0.319254356584443,0.0919279854829533,0.319885093869136,"",""
"ci2","ddt",0.110050296789888,0.350608023104854,0.0744195435749401,0.350457038126551,"",""
"ci2","hch",0.0447302821451395,0.705116312582255,0.0353713590550645,0.701401144468611,"",""
"ci2","pah_lmw",0.0900555349870418,0.444594137855289,0.0640503517215846,0.419467540924854,"",""
"ci2","pah_hmw",0.0249241021843762,0.832742579402789,0.0129581636430951,0.870254075417245,"",""
"ci2","pah_add",-0.0272351643263287,0.81782773682416,-0.0207445855325723,0.793824416338659,"",""
"ci2","total_pah",0.0608515364679748,0.605796246127697,0.0485005553498704,0.540972903075379,"",""
"ci2","pbde",0.0796346390124027,0.500023530060931,0.0624201943479036,0.460803405646114,"",""
"ci2","pcb",0.101814142910033,0.387225649695435,0.0736764161421695,0.353054692626099,"",""
"ci2","pesticide",0.105171321457765,0.37250442926565,0.0872424330342525,0.338547883101182,"",""
"ci2","mixture_index_sum",0.175149944465013,0.135345597983973,0.121066271751203,0.127004206096957,"",""
"ci2","heavy_metal_ng",0.122873009996298,0.29626957811381,0.0744168826360607,0.348237232885279,"",""
"ci2","nutrient_metal_ng",0.226330988522769,0.0526810004567863,0.158830062939652,0.0452815257282506,"","*"
"ci2","mixture_index_pca",0.0819400222139948,0.48682145149535,0.0603480192521288,0.446849422859956,"",""
"ci3","chlordane",0.122086129284078,0.300096160016101,0.0948524577264834,0.306272295632021,"",""
"ci3","ddt",0.0494625572529849,0.675577610402848,0.0298675052836514,0.70873226418589,"",""
"ci3","hch",-0.00884334225377785,0.940390055880601,-0.00887245307749054,0.923621634965697,"",""
"ci3","pah_lmw",0.128164113084726,0.276491449531032,0.0850673401952769,0.285111291936836,"",""
"ci3","pah_hmw",0.0412500930244958,0.727123739477088,0.0189451281657604,0.811839471601893,"",""
"ci3","pah_add",0.0823100741933192,0.485685202784379,0.0505484216340044,0.525536037877349,"",""
"ci3","total_pah",0.156128269504923,0.184058112433916,0.100669210449432,0.205888596608463,"",""
"ci3","pbde",0.0378359532165001,0.748929935287172,0.0187887690007315,0.824859841741639,"",""
"ci3","pcb",0.109560839534002,0.352767880914531,0.0657507389282271,0.408698447183142,"",""
"ci3","pesticide",-0.0461857342948253,0.695982520179524,-0.0340102564843136,0.70996459830642,"",""
"ci3","mixture_index_sum",-0.0739539369735396,0.53118147311746,-0.0494059224714927,0.534726869103358,"",""
"ci3","heavy_metal_ng",-0.0974153902413318,0.408975089498273,-0.0679795775359636,0.392998303167616,"",""
"ci3","nutrient_metal_ng",0.0789750434494118,0.503591944294288,0.056835384497281,0.475127632593714,"",""
"ci3","mixture_index_pca",0.0346145304841101,0.769687392250736,0.0189451281657604,0.811839471601893,"",""
"weight_initial","chlordane",0.0720529706008332,0.54181906093197,0.0528096937880795,0.567714988150327,"",""
"weight_initial","ddt",-0.0159542562448121,0.892678508291084,-0.00669775892174461,0.933029968725761,"",""
"weight_initial","hch",-0.0905008034099334,0.443177325822324,-0.0732692437569192,0.427051447897929,"",""
"weight_initial","pah_lmw",-0.168189559422436,0.151761198971247,-0.107737874861163,0.174457268357902,"",""
"weight_initial","pah_hmw",-0.183798593113662,0.116872252066467,-0.111440207330618,0.160114200293105,"",""
"weight_initial","pah_add",0.0434666706350053,0.713080138551373,0.029635122189389,0.708885140369525,"",""
"weight_initial","total_pah",-0.178556090336912,0.12782162831614,-0.106997408367271,0.1774376040746,"",""
"weight_initial","pbde",-0.11245470745861,0.340117529023032,-0.0782333102493725,0.355296763283115,"",""
"weight_initial","pcb",-0.134335431321733,0.253223377468065,-0.0966308774527952,0.223217081282528,"",""
"weight_initial","pesticide",0.119895306461852,0.308917761387772,0.0961333816237304,0.291621593521298,"",""
"weight_initial","mixture_index_sum",-0.239274342835987,0.0402880199529976,-0.163272861902999,0.0395871920543581,"*","*"
"weight_initial","heavy_metal_ng",-0.209211403184006,0.0737214614218384,-0.158089596445761,0.0462947088574602,"","*"
"weight_initial","nutrient_metal_ng",-0.196031099592743,0.0941469348593858,-0.134394668641244,0.0902604903189645,"",""
"weight_initial","mixture_index_pca",-0.164368752313958,0.161384348640989,-0.0981118104405775,0.216204020010138,"",""
"weight_change","chlordane",0.0770544783214984,0.514056681680175,0.0580254660140627,0.530097935196092,"",""
"weight_change","ddt",0.0167541910983124,0.887331803729145,0.0119071269719904,0.881243925918034,"",""
"weight_change","hch",-0.104847434601834,0.373986767732887,-0.0833753463440805,0.366102146399568,"",""
"weight_change","pah_lmw",-0.143546834505739,0.221894366207896,-0.101073676416142,0.202656693687989,"",""
"weight_change","pah_hmw",-0.200621991854869,0.0865782708054812,-0.129951869677897,0.101416606314878,"",""
"weight_change","pah_add",0.0253098944174528,0.830506881747375,0.0140766830399598,0.859238934022473,"",""
"weight_change","total_pah",-0.165109218807849,0.159484829589731,-0.110699740836727,0.162909082774237,"",""
"weight_change","pbde",-0.0973225676384451,0.409423788212579,-0.0632524636058756,0.454847349667163,"",""
"weight_change","pcb",-0.0703591262495372,0.550589398582574,-0.0485005553498704,0.540972903075379,"",""
"weight_change","pesticide",0.105441486320225,0.371270691779945,0.0839083273131982,0.357330511950672,"",""
"weight_change","mixture_index_sum",-0.18211032950759,0.120316202802671,-0.129951869677897,0.101416606314878,"",""
"weight_change","heavy_metal_ng",-0.139577934098482,0.235040549277278,-0.0995927434283598,0.209350997173523,"",""
"weight_change","nutrient_metal_ng",-0.139311366160681,0.235942546712152,-0.0966308774527952,0.223217081282528,"",""
"weight_change","mixture_index_pca",-0.139637171417993,0.234840432125961,-0.0914476119955572,0.249040181242364,"",""
"weight_final","chlordane",0.0593259197044976,0.615600654572828,0.0449860354491048,0.626424756605977,"",""
"weight_final","ddt",-0.0405892870109425,0.731328089269313,-0.0230700585082314,0.772238584733743,"",""
"weight_final","hch",-0.0752439629883355,0.524022189952697,-0.0606366155229676,0.510982795803777,"",""
"weight_final","pah_lmw",-0.153024805627545,0.192619563469835,-0.0958904109589041,0.226784016210298,"",""
"weight_final","pah_hmw",-0.0985857089966679,0.402516418657283,-0.0551647537948908,0.48683994263848,"",""
"weight_final","pah_add",0.0864149993714671,0.464116468456595,0.0711242932545336,0.370226530536377,"",""
"weight_final","total_pah",-0.140525731210663,0.231852916504335,-0.0833024805627545,0.293710925001994,"",""
"weight_final","pbde",-0.152708381151181,0.193972764140914,-0.119846773147975,0.156761691535485,"",""
"weight_final","pcb",-0.139962976675305,0.233741910273716,-0.0981118104405775,0.216204020010138,"",""
"weight_final","pesticide",0.0967383182509682,0.412254587577665,0.0783514844447745,0.390061517615192,"",""
"weight_final","mixture_index_sum",-0.305146242132543,0.0084268688449569,-0.20918178452425,0.0083715371238611,"**","**"
"weight_final","heavy_metal_ng",-0.265368382080711,0.022581158797073,-0.166975194372455,0.0353176043919135,"*","*"
"weight_final","nutrient_metal_ng",-0.273039614957423,0.0188576798026947,-0.187708256201407,0.0179797335010215,"*","*"
"weight_final","mixture_index_pca",-0.164990744168826,0.159787629077772,-0.0995927434283598,0.209350997173523,"",""
"length","chlordane",0.0473133699111142,0.688935445679485,0.0423781493361132,0.64655957716325,"",""
"length","ddt",0.0548103510731705,0.642777932877746,0.0379539672232194,0.633940014679651,"",""
"length","hch",-0.0404176241282389,0.73242158659238,-0.0341080962316693,0.711579328076232,"",""
"length","pah_lmw",-0.170025916327286,0.147292071296227,-0.123287671232877,0.120178897596759,"",""
"length","pah_hmw",-0.176512402813773,0.132296592708155,-0.124028137726768,0.117968739864505,"",""
"length","pah_add",0.0782400071430095,0.507583944233981,0.0496388296672266,0.531729812893551,"",""
"length","total_pah",-0.188389485375787,0.107891997544391,-0.128470936690115,0.105370377611489,"",""
"length","pbde",-0.111893680647564,0.342547506164383,-0.0782333102493725,0.355296763283115,"",""
"length","pcb",-0.136112550907071,0.246954732003903,-0.113661606812292,0.151947020945764,"",""
"length","pesticide",0.166016307981863,0.157466503150203,0.139476755997435,0.126006270777869,"",""
"length","mixture_index_sum",-0.129951869677897,0.269149431212914,-0.0914476119955572,0.249040181242364,"",""
"length","heavy_metal_ng",-0.143339503887449,0.222568002415846,-0.0966308774527952,0.223217081282528,"",""
"length","nutrient_metal_ng",-0.117423176601259,0.318334260096285,-0.0877452795261014,0.268719391814125,"",""
"length","mixture_index_pca",-0.116149574231766,0.323639559218519,-0.0840429470566457,0.289440818729235,"",""
"width","chlordane",0.173869377771518,0.13846611044877,0.137565992460306,0.136615451674401,"",""
"width","ddt",0.0947626529229924,0.421910834867685,0.0625124166029496,0.432857852714741,"",""
"width","hch",0.0576682561958412,0.625520132664209,0.0492672501124112,0.59329803501132,"",""
"width","pah_lmw",-0.0440577563865235,0.708778978216696,-0.0248056275453536,0.754530385579736,"",""
"width","pah_hmw",-0.0944390966308774,0.42266981233087,-0.06108848574602,0.441293091975251,"",""
"width","pah_add",0.0401196629472672,0.73432086970539,0.0237080977515112,0.76518189927455,"",""
"width","total_pah",-0.0666271751203258,0.571967091460468,-0.04183635690485,0.597956678828556,"",""
"width","pbde",0.0567727964622667,0.630906467348081,0.0399489243826583,0.63691556342263,"",""
"width","pcb",0.0886930766382821,0.451536295796284,0.0633098852276934,0.424863595137693,"",""
"width","pesticide",0.174796666011823,0.136341980764501,0.139476755997435,0.126006270777869,"",""
"width","mixture_index_sum",-0.0909737134394668,0.439949738566493,-0.0655312847093669,0.408797115340602,"",""
"width","heavy_metal_ng",-0.0894631617919289,0.447605076311795,-0.0736764161421695,0.353054692626099,"",""
"width","nutrient_metal_ng",-0.0752165864494631,0.523357729904694,-0.0588670862643465,0.45808064197723,"",""
"width","mixture_index_pca",-0.0131951129211403,0.911033049431282,-0.012217697149204,0.877607927650004,"",""
"height","chlordane",0.0242707093409066,0.837368801312711,0.018907174319189,0.837898358720166,"",""
"height","ddt",0.000103695258787079,0.999300388021785,-0.0029767817429976,0.970207433142713,"",""
"height","hch",-0.0680923190407114,0.564311250980628,-0.0530570385825967,0.565193484300647,"",""
"height","pah_lmw",-0.133654202147353,0.255655028064758,-0.0840429470566457,0.289440818729235,"",""
"height","pah_hmw",-0.158533876342096,0.176944394064871,-0.090707145501666,0.252893155133198,"",""
"height","pah_add",0.0580691024054023,0.623115282357852,0.0488979516124919,0.537872232769811,"",""
"height","total_pah",-0.135609033691225,0.248719884592274,-0.090707145501666,0.252893155133198,"",""
"height","pbde",0.00818164099442493,0.944843113433426,0.00332907703188819,0.968623586163486,"",""
"height","pcb",-0.00502036282858201,0.966153333016257,-0.00629396519807479,0.936766554170405,"",""
"height","pesticide",-0.0521225209646649,0.659183002770883,-0.0394535843658084,0.665159494705315,"",""
"height","mixture_index_sum",-0.222599037393558,0.056786960218126,-0.146982599037394,0.06392619444056,"",""
"height","heavy_metal_ng",-0.187826730840429,0.108962984300555,-0.121066271751203,0.127004206096957,"",""
"height","nutrient_metal_ng",-0.167745279526101,0.15285754953894,-0.119585338763421,0.131719487888373,"",""
"height","mixture_index_pca",-0.102317660125879,0.38487268820377,-0.0729359496482784,0.357914090398791,"",""
"ibr_bio","chlordane",-0.00591696225882268,0.960095687978501,-0.00456380069773527,0.960614893588389,"",""
"ibr_bio","ddt",-0.19919859212998,0.0888499119110172,-0.134699373870642,0.0910274367646028,"",""
"ibr_bio","hch",-0.11921573744206,0.311687879694291,-0.0997977630482176,0.279332665919697,"",""
"ibr_bio","pah_lmw",-0.123406145871899,0.294166526692218,-0.0736764161421695,0.353054692626099,"",""
"ibr_bio","pah_hmw",-0.109811181044058,0.350879960967282,-0.0892262125138837,0.260723213338807,"",""
"ibr_bio","pah_add",0.0728492513981571,0.537350526875549,0.0488979516124919,0.537872232769811,"",""
"ibr_bio","total_pah",-0.126753054424287,0.28118948745422,-0.0818215475749722,0.302377333526091,"",""
