"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
"pcb","3","p450","a39",0.813186813186813,0.000723607723699615
"pcb","3","p450","a4",0.56043956043956,0.0463459058940647
"pcb","3","p450","a41",0.813186813186813,0.000723607723699615
"pcb","3","p450","a42",0.813186813186813,0.000723607723699615
"pcb","3","p450","a43",0.813186813186813,0.000723607723699615
"pcb","3","p450","a44",0.807692307692308,0.00083916000972728
"pcb","3","p450","a45",0.752747252747253,0.00298223338916981
"pcb","3","p450","a46",0.813186813186813,0.000723607723699615
"pcb","3","p450","a47",0.807692307692308,0.00083916000972728
"pcb","3","p450","a48",0.813186813186813,0.000723607723699615
"pcb","3","p450","a49",0.813186813186813,0.000723607723699615
"pcb","3","p450","a5",0.604395604395604,0.0286727056714069
"pcb","3","p450","a54",0.752747252747253,0.00298223338916981
"pcb","3","p450","a56",0.730769230769231,0.004547733743967
"pcb","3","p450","a58",0.824175824175824,0.000530222837597405
"pcb","3","p450","a59",0.813186813186813,0.000723607723699615
"pcb","3","p450","a6",0.78021978021978,0.00165250065744305
"pcb","3","p450","a60",0.818681318681319,0.000620988384929966
"pcb","3","p450","a63",0.824175824175824,0.000530222837597405
"pcb","3","p450","a64",0.708791208791209,0.00668178413585796
"pcb","3","p450","a65",0.78021978021978,0.00165250065744305
"pcb","3","p450","a66",0.813186813186813,0.000723607723699615
"pcb","3","p450","a67",0.78021978021978,0.00165250065744305
"pcb","3","p450","a68",0.752747252747253,0.00298223338916981
"pcb","3","p450","a69",0.78021978021978,0.00165250065744305
"pcb","3","p450","a7",0.873626373626374,9.52889729037842e-05
"pcb","3","p450","a70",0.824175824175824,0.000530222837597405
"pcb","3","p450","a71",0.752747252747253,0.00298223338916981
"pcb","3","p450","a73",0.824175824175824,0.000530222837597405
"pcb","3","p450","a74",0.824175824175824,0.000530222837597405
"pcb","3","p450","a75",0.824175824175824,0.000530222837597405
"pcb","3","p450","a8",0.752747252747253,0.00298223338916981
"pcb","3","p450","a9",0.802197802197802,0.000968778913924995
"pcb","3","p450","a93",0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
"pcb","3","sod","a22",-0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
"pcb","3","ci1","a37",0.712718059941681,0.00625333548890827
"pcb","3","ci1","a51",0.599456662819165,0.0303598788601964
"pcb","3","ci1","a55",0.599456662819165,0.0303598788601964
